Jurisdiction,site,year,plotid,obs,pre_post_fire,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,0.05E_percent,0.05E_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,CWD,CONES,Boulder/Bedrock,SMROCK,ROCK,ASH,BASALVEG,CRYPTOGRAMS,STUMPS,RD,TOT_Black_percent,PRE % SHRUB COVER,% SHRUB TORCHED,% SHRUB SCORCHED,% SHRUB UNBURNED,History,NOTES,
TNC,Independence,2020,Indy05,"VS, MM",prefire,NA,no,0,16,45,CV,CV,"ABCO, CEVE, MONODO",10,3,1390,51,30,4,0,na,28,4,2,1.1,0.05,0.2,0,na,19,1.7,0.05,1.7,0,na,13,1.7,19,0.5,0.05,0.3,1,0.3,28,47,0,2,0.05,0.05,22,0.05,0,1,0.05,0.05,0,,,,,,,sm mammal burrows,top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy03,"VS, MM",prefire,NA,no,0,24,30,UN,UN,"SYRO, MONODO, ABCO",10,12,1401,59,19,24,0,na,15,24,5,1.75,0.05,0.1,0,na,29,1.7,0.05,0.5,0.05,2,5,1.7,29,0.1,11,0.2,0.05,0.3,23,57.5,0.05,1,0.05,1,16,0.05,0,1,0.05,0.5,0,,,,,,,"sm mammal burrows, big red ant hill",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy11,"VS, MM",prefire,NA,no,0,3,45,UN,UN,"arnica, CEVE, ABMA",10.5,55,1406,51,18,21,0,na,14,21,4,11.3,0,na,0,na,10,1.7,0,na,0.05,1.9,10,1.7,10,0.5,27,0.3,1,0.3,8,85,0.05,1,1,1,2,0.05,0,1,0.5,0.5,0,,,,,,,"treaded, woodchips; small mammal burrows, anthills, skid trails",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy14,"VS, MM",prefire,NA,no,0,8,350,CV,CV,"PIJE, ARCNEV, ABCO",7,24,1411,30,28,11,0,na,27,11,1,1.4,0.05,0.4,0,na,14,0.3,0,na,0,na,1,1.7,14,0.2,2,0.3,0.05,0.3,27,35,0.05,3,0.05,4,28,1,0,2,0.05,0.05,0,,,,,,,"sm mammal burrows, anthills",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy20,"VS, MM",prefire,NA,no,0,6,0,CV,LL,"CEVE, ABCO",10,18,1430,35,5,6,0,na,3,6,2,1.6,0.05,0.5,0,na,28,1.8,2,0.5,14,1.9,28,1.8,28,0.5,3,0.4,1,0.4,1,92,0.05,0.05,0.05,5,0.05,1,0,0.5,0.05,0.5,0,,,,,,,"treaded, woodchips; small mammal burrows",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy21,"VS, MM",prefire,NA,no,0,2,270,LL,LL,"PIJE, CEVE, lupinus3",6,60,1433,21,12,4,0,na,11,4,1,6,0.05,0.1,0,na,7,1.7,0.05,1.7,3,1.9,7,1.7,7,0.5,3,0.5,0.05,0.3,8,83,0.05,2,0.5,3,2,0.05,0,1,0.05,0.5,0,,,,,,,"sm mammal burrows, anthills, deer scat",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy29,"VS, MM",prefire,NA,no,0,1,170,LL,LL,"ABCO, CEVE, PIJE",5.5,50,1442,39,27,14,0,na,27,14,0,na,0.05,0.1,0,na,12,1.7,0.05,0.5,1,2,2,1.8,12,0.5,0.05,0.3,0.05,0.6,0.5,98,0.05,0.05,0.05,0,0.05,0.05,0,1,0.05,0.5,0,,,,,,,"treaded, woodchips; small mammal burrows",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy36,"VS, MM",prefire,NA,no,0,1,na,LL,LL,"PICO, PIJE, CEAPRO",2,30,1448,37,49,14.5,2,19,49,13,0.05,3.3,0.05,0.3,0,na,9,0.1,0.05,0.9,0,na,0.05,1.5,9,0.1,8,0.3,0.05,0.5,1,92,0.05,0.5,3,0.05,0.05,0.05,0,3,0.05,0.5,0,,,,,,,"browsing, bear scat",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy30,"VS, MM",prefire,NA,no,0,16,160,CV,CV,"CEVE, ABCO, CEAPRO",5,75,1480,75,28,6,0,na,27,6,1,1.3,0.05,0.2,0,na,47,1.7,0.05,1,0.05,1.9,43,1.8,47,0.5,0.05,0.3,0.05,0.3,60,4,0.05,0,0.05,2,1,0.05,0,1,0,0,0,,,,,,,"sm mammal burrows, anthills",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy28,"VS, MM",prefire,NA,no,0,7,45,LL,LL,"ABCO, CEVE, ABMA",9,18,1489,41,25,7,3,13,23,9.75,2,2.4,0.05,0.1,0,na,12,1.7,0.05,1.7,0,na,11,1.8,12,0.5,0.05,0.3,0.05,0.2,1,87,0.05,4,1,3,1,0.05,0,3,0.05,0,0,,,,,,,sm mammal burrows,top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy31,"VS, MM",prefire,NA,no,0,2,80,CV,CV,"ABCO, CEVE, ABMA",8,2,1806,43,37,4,3,10,32,8,1,2,0.05,0.1,0,na,13,1.7,0.05,1.5,0,na,11,1.6,13,0.5,3,0.3,0.05,0.3,4,88,0.05,3,0.05,3,1,1,0,0.05,0.05,0.05,0,,,,,,,sm mammal burrows,top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy37,"VS, MM, KM, PM",prefire,NA,no,0,11,90,LL,LL,"ABMA, ABCO, PIJE",4,8,1819,66,65,19,1,4,60,19,4,2,0.05,0.1,0,na,4,0.2,0.05,0.5,0,na,1,1.2,4,0.2,0.05,0.3,0.05,0.3,1,95,0.05,2,0.05,0.05,0.05,0.05,0,2,0.05,0.05,0,,,,,,,"treated, woodchips; skid injuries per heavies",top3 existing veg determined from species cover% during QAQC 0 KM
TNC,Independence,2020,Indy25,"ag, km, pm",prefire,NA,no,0,6,44,LL,LL,"PICO, ABCO, POTR",4.7,48,1001,95,65,23.5,0,na,50,23.5,15,2,4,0.3,0,na,0.5,0.5,0,na,0,na,0.5,0.7,0.5,0.5,65,0.3,20,1.5,0.05,96,0,0.05,2,0,0.05,0.05,0,2,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy39,"ag, km, pm",prefire,NA,no,0,21,320,LL,LL,"CEVE, ABCO, ABMA",6.4,4,1012,95,65,6,0,na,60,6,5,2,2,0.5,0,na,72,1,0,na,0,na,72,1,72,0.5,0.05,0.2,0,na,0.5,97.25,0.05,0.05,0.05,0.5,0.05,0.05,0,1.75,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy34,"ag, km, pm",prefire,NA,no,0,16,323,LL,LL,"ABCO, PIJE, ABMA",10.7,39,1040,60,32,5,0,na,32,5,0.05,1.5,0.05,0.1,0,na,16,1.2,0,na,0,na,15,1.2,16,0.5,7,0.5,15,0.3,3,93.75,0.05,0.25,1.25,0.5,0.25,0.25,0,0.75,0,,0,,,,,,,pimo tree right outside the plot at S transect,
TNC,Independence,2020,Indy32,"ag, km, pm",prefire,NA,no,0,32,333,LL,LL,"ABCO, ABMA, CEVE",4.75,49,1047,95,70,5,0.5,8.8,65,5,6,3.5,1,1,0,na,38,1,2,0.2,0,na,36,1,38,0.5,2,0.2,6,0.2,4,81.5,0,0.5,0.05,7,0.05,5,0,2,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy33,"ag, km, pm",prefire,NA,no,0,36,325,LL,LL,"ABCO, ABMA, RICE",7.8,80,1074,70,26,8,1,12.5,25,8,1,2,0.05,0.1,0,na,40,0.7,0.05,0.1,0,na,39,0.7,40,0.5,7,0.5,1,0.3,10,66,0,3,0.05,15,1,4,0,1,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy23,"ag, km, pm",prefire,NA,no,0,8,312,LL,LL,"PICO, ABMA, ABCO",10.5,54,1086,75,35,7,1,13.6,35,7,1,3,0.05,0.5,0,na,28,0.8,0,na,0,na,22,0.8,28,0.5,3,0.2,2,0.25,30,51,0,5,0.05,3,10,0.05,0,1,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy18,"ag, km, pm",prefire,NA,no,0,16,292,LL,LL,"QUEVAC, ABCO, ARCNEV",6.3,48,1089,85,22,7,2,7,20,6,2,1.7,0.5,1.3,0,na,70,0.8,0,na,0,na,60,0.8,70,0.5,2.5,0.25,2.5,0.2,1,76.5,0,6,0.05,12,2,1,0,1.5,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy22,"km, pm",prefire,NA,no,0,23,316,LL,LL,"CEVE, PIJE, ABMA",2.7,5,1515,85,59,14,0.5,6.5,60,16,1,3.2,1,0.6,0,na,62,1.3,0,na,0,na,52,1.3,62,0.5,6,0.25,0.05,0.2,0.05,85.5,0,1.5,"1.5, PIJE",5,1,4,0,1.5,0.05,,0,,,,,,,,
TNC,Independence,2020,Indy27,"km, pm",prefire,NA,no,0,28,338,LL,LL,"CEVE, PIJE, ABCO",1.5,5,1532,75,46,9,0,na,45,9,1,2,0.75,1.3,0,na,41,1,0,na,0,na,40,1,41,0.5,11,0.2,0.05,0.25,2.5,81.25,0,1.5,".5, PIJE",11,2.5,1.5,0,1.25,0.05,0.5,0,,,,,,,stumps column added this plot,
