site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
independence,Indy12,2020,prefire,NA,,ABCO,live,TSE,4,0.15,5,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,ABMA,live,TSE,1,na,9,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,PICO,live,TSE,28,0.05,0,na,na,na,,,na,na,na,,
independence,Indy12,2020,prefire,NA,,PICO,live,TSE,7,0.05,1,na,na,na,,,na,na,na,,
independence,Indy13,2020,prefire,NA,,ABMA,live,TSE,1,0.5,18,na,na,na,,,na,na,na,,
independence,Indy14,2020,prefire,NA,,na,na,na,na,na,na,na,na,na,,,na,na,na,"PIJE and PICP tse none found in vicinity; ABCO tse @ d 11.1m, .4m h, ac 10 ",
independence,Indy16,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,5.7,,,na,na,na,"PICO tse @ d 7.3, h .5, a 10",
independence,Indy16,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,0.5,,,na,na,na,"ABCO tse @ 10.3m, h .4m, a 10",
independence,Indy16,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,4,,,na,na,na,,
independence,Indy16,2020,prefire,NA,,POTR,live,TSA,na,na,na,,,2.5,,,na,na,na,,
independence,Indy16,2020,prefire,NA,,POTR,live,TSA,na,na,na,,,1.8,,,na,na,na,,
independence,Indy16,2020,prefire,NA,,POTR,live,TSA,na,na,na,,,2.5,,,na,na,na,,
independence,Indy16,2020,prefire,NA,,POTR,live,TSA,na,na,na,,,2.4,,,na,na,na,,
independence,Indy16,2020,prefire,NA,,POTR,live,TSA,na,na,na,,,2,,,na,na,na,one individual - split,
independence,Indy17,2020,prefire,NA,,ABCO,live,TSE,25,0.1,1,na,na,na,,,na,na,na,,
independence,Indy17,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,0.3,,,na,na,na,,
independence,Indy17,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,0.9,,,na,na,na,,
independence,Indy17,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,2.3,,,na,na,na,,
independence,Indy17,2020,prefire,NA,,PICO,live,TSE,8,0.1,1,na,na,na,,,na,na,na,,
independence,Indy17,2020,prefire,NA,,PICO,live,TSA,na,na,na,,,1.9,,,na,na,na,,
