project,site,year,plotid,obs,pre_post_fire,pre_post_thin,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,TRE_percent,TRE_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,ASH,CWD,stumps,CONES,Boulder/Bedrock,ROCK,SMROCK,BASALVEG,CRYPTOGRAMS,RD,BURNPILE,TOT_Black_percent,PRE % SHRUB COVER,%FORB SCORCH,%GRAM SCORCH,shrub_scorch_percent,shrub_torch_percent,shrub_unburn_percent,%UNDERSTORY TORCH,%UNDERSTORY SCORCH,history,NOTES,
CPFMP,BearMountain,2019,BM01,nr rh la ms,prefire,,NA,no,0,6,348,LL,LL,,4.1,18,975,35,30,14,0.05,5.9,,14,0,0,,0.27,0.05,0.17,,,0,0,,,,,,,10,,,,0.05,99.5,0,0,0.05,,0.05,0,0,0,0.5,0,0,,,,,,,,,,,"this plot pis on small tablet. all plots in rim fire burned 2012, low tomoderate severity",,
CPFMP,BearMountain,2021,BM10,"ag, jw, km, mm, mv",postfire,,2yr,yes,,4,30,LL,LL,"pipo, cade, quke",9,178,4315,97,20,12,0,na,20,12,0,na,tr,0.1,0,na,0.25,0.3,tr,0.25,0,na,0,na,0.25,0.3,20,0.2,70,0.1,2,96.5,tr,0.25,,,0.25,0,0,tr,1,tr,0,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM10,nr rh la ms,postfire,,immediate,yes,2,4,30,LL,LL,"pipo,cade,quke",2.8,29,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.5,83.5,7,2,,0.05,,,,,,,,,tr,,,0,100,0,,,,some forbs and grasses remaining unburned (.5)// BS,
CPFMP,BearMountain,2019,BM10,nr rh la ms,prefire,,NA,no,0,4,30,LL,LL,"pipo,cade,quke",2.8,29,984,96,30,26,0.05,1.7,30,26,0,0,0.05,0.043,0,0,0.05,0.35,0,0,0,0,0,x,0.05,0.3,20,0.25,20,0.45,0.05,98,0,0,1.5,,0.05,0,0,0,0.5,0,0,,,,,,,,,,,,,
CPFMP,BearMountain,2021,BM11,"ag, jw, km, mm, mv",postfire,,2yr,yes,,10,89,LL,LL,"pipo, cade, quke",6.1,220,985,100,7,5,3,4,6.75,5,0.25,1.6,tr,0.2,0,na,33,0.25,1,0.5,0,na,0,na,33,0.25,20,0.15,20,0.2,1,97.5,tr,0,1,,tr,tr,0,tr,0.5,tr,0,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM11,nr rh la ms,postfire,,immediate,yes,2,10,89,LL,LL,"pipo,cade,quke",6.1,220,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,82,2,1,,,,,,,,,,,50,,,49,50,1,,,,"scorched and torched seelings, scorched torched and unburned shrubs (chfo&arvi)",
CPFMP,BearMountain,2019,BM11,nr rh la ms,prefire,,NA,no,0,10,89,LL,LL,"pipo,cade,quke",6.1,220,985,99,3,6,1,4,2,6,0,0,0.05,1.25,0,0,50,,0,0,0,0,20,0.46,50,0.28,5,0.3,5,0.35,0.05,99.5,0,0,0.05,,0,0,0,0.05,0.5,0,0,,,,,,,,,,,,,
CPFMP,BearMountain,2021,BM12,"ag, jw, km, mm, mv",postfire,,2yr,yes,,8,53,LL,LL,"pipo, pila, cade",4.7,207,986,90,25,0.15,5,1,24,,tr,1.5,1,0.1,1,0.4,5,0.2,2,1.2,0,na,0,na,5,0.2,6,0.15,50,0.2,0.5,88.75,.tr,0.5,9,,0.25,0,0,tr,1,tr,0,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM12,nr rh la ms,postfire,,immediate,yes,3,8,53,LL,LL,"pipo,pila,cade",4.7,207,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.05,63.5,25,7,,0.05,,,,,,,,,4,,,5,95,tr,,,,nearly 100% seedling mortality,
CPFMP,BearMountain,2019,BM12,nr rh la ms,prefire,,NA,no,0,8,53,LL,LL,"pipo,pila,cade",4.7,207,986,45,11,35,0.5,30,11,35,0,0,25,1,0,0,4,0.75,0,0,0.05,2.4,2,1.2,3,0.3,2,0.1,4,0.4,1,85,0,0,12,,0.5,0,0,0,1.5,0.05,0,,,,,,,,,,,,,
CPFMP,BearMountain,2021,BM13,"km, mm, mv",postfire,,2yr,yes,,15,46,LL,LL,"pipo, cade, quke",8.9,141,987,98,11,1.1,tr,8.7,10,10,0,na,0.75,1,0.75,1,80,0.25,0,na,0,na,0,na,80,0.25,2,0.1,21,0.25,0.5,94.75,tr,0,4,,".5, pipo",0,tr,tr,0.25,tr,0,,,,,,,,,,,,.5% pipo cones,
CPFMP,BearMountain,2019,BM13,nr rh la ms,postfire,,immediate,yes,3,15,46,LL,LL,"pipo, cade, quke",8.9,141,987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,93.5,2.5,1.5,,,,,,,,,,,95,,,3,97,0,,,,mortality of all seedlings,
CPFMP,BearMountain,2019,BM13,nr rh la ms,prefire,,NA,no,0,15,46,LL,LL,"pipo, cade, quke",8.9,141,987,97,8,10,0.05,4,8,10,0,0,0.05,0.7,0.5,1.5,95,0.35,0,0,0,0,45,0.45,95,0.3,0.5,0.15,0.5,0.4,1,98,0,0,0.5,,0.05,0,0,0,0.5,0.05,0,,,,,,,,,,,,,
CPFMP,BearMountain,2021,BM14,"ag, jw, km, mm, mv",postfire,,2yr,yes,,19,147,LL,LL,"pipo, cade, quke",2.1,110,988,96,7.5,7,3,7,7.5,7,0.25,2,0.25,0.3,0,na,25,0.3,0.5,0.5,0,na,2,0.6,25,0.3,5,0.3,70,0.2,4,92.5,tr,0,2.5,,tr,tr,tr,tr,1,tr,0,,,,,,,,,,,,old road goes se to nw,
CPFMP,BearMountain,2019,BM14,nr rh la ms,postfire,,immediate,yes,2,19,147,LL,LL,"pipo,cade,quke",2.1,110,988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,25,61.5,0.5,3,,0.05,,,,,,,,,30,,,25,70,5,,,,not all forbs and grasses consumed,
