site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm
BearMountain,BM01,2021,postfire,2yr,S,,2,2,3,11.3,3,0,0,0,1.1,0.7,0,0.7,1.4,,,CPFMP,mv,,,NA,NA,NA
BearMountain,BM01,2021,postfire,2yr,W,,2,2,3,11.3,1,2,0,0,4,2.8,0,3.1,3.5,,,CPFMP,mv,,,NA,NA,NA
BearMountain,BM02,2019,postfire,immediate,0,,2,2,4,11.3,0,2,2,1,3,,0.05,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,postfire,immediate,180,,2,2,4,11.3,2,0,0,0.05,3,,0,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,postfire,immediate,270,21,2,2,4,11.3,0,0,0,0,1,,0,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,postfire,immediate,90,21,2,2,4,11.3,0,0,0,0,1.5,,0.5,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,prefire,,0,,2,2,4,11.3,8,1,1,2,1,,0,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,prefire,,180,,2,2,4,11.3,3,1,0,0,2,,1.5,0.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,prefire,,270,21,2,2,4,11.3,7,0,0,0,2,,0,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2019,prefire,,90,21,2,2,4,11.3,0,0,0,0,14,,0,5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM02,2021,postfire,2yr,E,,2,2,3,11.3,0,0,0,0,2,1.2,1.5,3.3,3,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM02,2021,postfire,2yr,N,,2,2,3,11.3,0,1,1,0.5,2,2,0,3,2.8,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM02,2021,postfire,2yr,S,,2,2,3,11.3,1,0,0,0,0,0,0,4.8,3.2,,2-offset1fttoRduetostump,CPFMP,mm,,,NA,NA,NA
BearMountain,BM02,2021,postfire,2yr,W,,2,2,3,11.3,2,1,0,0,1.5,1.8,0,0.3,1.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM03,2019,postfire,immediate,0,,2,2,4,11.3,0,0,2,1,2,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,postfire,immediate,180,,2,2,4,11.3,2,1,0,0,0,,0,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,postfire,immediate,270,,2,2,4,11.3,0,0,0,0,2,,0,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,postfire,immediate,90,,2,2,4,11.3,0,2,1,0,1,,0,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,prefire,,0,,2,2,4,11.3,2,1,3,1,4,,1,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,prefire,,180,,2,2,4,11.3,2,2,6,1,3.5,,2,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,prefire,,270,,2,2,4,11.3,5,1,1,4,1.5,,7,37,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2019,prefire,,90,,2,2,4,11.3,1,1,7,0,0.5,,0.5,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM03,2021,postfire,2yr,E,,2,2,3,11.3,3,1,1,0,2.5,2.8,0.5,2.8,3.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM03,2021,postfire,2yr,N,,2,2,3,11.3,0,4,0,1.8,3.2,4,1.5,4.4,4.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM03,2021,postfire,2yr,S,,2,2,3,11.3,7,1,0,0.5,2.8,3,1.1,1.8,3.6,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM03,2021,postfire,2yr,W,,2,2,3,11.3,0,1,0,0.5,3.9,4,0.5,5.5,5.6,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM04,2019,postfire,immediate,0,,2,2,4,11.3,6,4,0,0,1,,0,3,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,postfire,immediate,180,,2,2,4,11.3,1,0,0,0,0,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,postfire,immediate,270,,2,2,4,11.3,0,0,0,0,0,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,postfire,immediate,90,,2,2,4,11.3,0,0,0,1,2,,0,0.05,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,prefire,,0,,2,2,4,11.3,8,0,0,2,3,,2,4,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,prefire,,180,,2,2,4,11.3,7,0,0,0,3,,0.05,8,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,prefire,,270,,2,2,4,11.3,2,3,0,6,2,,3,,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2019,prefire,,90,,2,2,4,11.3,5,0,0,2,1,,3,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM04,2021,postfire,2yr,E,,2,2,3,11.3,3,0,0,0.8,3,2.6,0,1.5,2.5,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM04,2021,postfire,2yr,N,,2,2,3,11.3,0,0,0,0,1.2,1.8,1.8,2.2,2.4,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM04,2021,postfire,2yr,S,,2,2,3,11.3,13,0,0,0.8,3.7,5,0.5,4,3.3,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM04,2021,postfire,2yr,W,,2,2,3,11.3,0,1,0,0,3,3.4,0,0.5,1.2,,,CPFMP,mm,,,NA,NA,NA
BearMountain,BM05,2019,postfire,immediate,0,,2,2,4,11.3,0,1,1,0,0,,0.05,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,postfire,immediate,180,,2,2,4,11.3,0,0,0,0,0,,0,0,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,postfire,immediate,270,,2,2,4,11.3,4,0,0,0,2,,0,2,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,postfire,immediate,90,,2,2,4,11.3,4,1,0,0,1,,0,1,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,prefire,,0,,2,2,4,11.3,1,0,1,0,0.5,,2,1.5,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,prefire,,180,,2,2,4,11.3,1,0,0,,,,,,,,,CPFMP,"RH, MS",,,NA,NA,NA
BearMountain,BM05,2019,prefire,,270,,2,2,4,11.3,15,1,5,0,1,,5,12,,,,CPFMP,"RH, MS",,,NA,NA,NA
