jurisdiction,site,plot_id,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,,
StanislausNF,BearMountain,BM14,2019,postfire,,0,,2,2,4,11.3,20,3,0,0.05,0.05,0.05,1.5,,,,,,
StanislausNF,BearMountain,BM14,2019,postfire,,180,20,2,2,4,11.3,5,1,1,0,0,0,2,,,,,,
StanislausNF,BearMountain,BM14,2019,postfire,,90,,2,2,4,11.3,1,1,0,0,0.05,0,0.05,,,,,,
StanislausNF,BearMountain,BM14,2019,postfire,,270,,2,2,4,11.3,2,0,0,0,0.05,0.05,1,,,,,,
StanislausNF,BearMountain,BM15,2019,prefire,,0,27,2,2,4,11.3,4,5,0,0,2.5,0,0.5,,,,,,
StanislausNF,BearMountain,BM15,2019,prefire,,180,,2,2,4,11.3,13,2,0,3,0.05,0.05,,,,,,,
StanislausNF,BearMountain,BM15,2019,prefire,,90,,2,2,4,11.3,1,4,0,0,4,0,2,,,,,,
StanislausNF,BearMountain,BM15,2019,prefire,,270,,2,2,4,11.3,1,1,0,0,1,0,1,,,,,,
StanislausNF,BearMountain,BM15,2019,postfire,,0,27,2,2,4,11.3,1,8,1,0.05,1,0,0.5,,,,,,
StanislausNF,BearMountain,BM15,2019,postfire,,180,,2,2,4,11.3,8,3,0,0.5,0.5,0,0,,,,,,
StanislausNF,BearMountain,BM15,2019,postfire,,90,,2,2,4,11.3,16,3,2,2,1,0.05,2.5,,,,,,
StanislausNF,BearMountain,BM15,2019,postfire,,270,,2,2,4,11.3,5,1,0,0,0.05,0.05,3,,,,,,
StanislausNF,BearMountain,BM16,2019,prefire,,0,,2,2,4,11.3,1,1,2,0,8,0,2,,,,,,
StanislausNF,BearMountain,BM16,2019,prefire,,180,,2,2,4,11.3,2,2,0,0,5,0,4,,,,,,
StanislausNF,BearMountain,BM16,2019,prefire,,90,,2,2,4,11.3,7,15,1,1,4,0.05,5,,,,,,
StanislausNF,BearMountain,BM16,2019,prefire,,270,,2,2,4,11.3,4,2,2,1,3,1,1,,,,,,
StanislausNF,BearMountain,BM16,2019,postfire,,0,,2,2,4,11.3,2,0,2,0.5,1.5,0,0,,,,,,
StanislausNF,BearMountain,BM16,2019,postfire,,180,,2,2,4,11.3,4,2,0,0.05,2,0.05,1,,,,,,
StanislausNF,BearMountain,BM16,2019,postfire,,90,,2,2,4,11.3,0,1,2,1,3,0,1,,,,,,
StanislausNF,BearMountain,BM16,2019,postfire,,270,,2,2,4,11.3,19,3,1,1.5,2,0.05,1,,,,,,
StanislausNF,BearMountain,BM17,2019,prefire,,0,,2,2,4,11.3,11,1,0,0.5,0.5,1,1,,,,,,
StanislausNF,BearMountain,BM17,2019,prefire,,180,,2,2,4,11.3,11,9,10,5,3,0.05,0.05,,,,,,
StanislausNF,BearMountain,BM17,2019,prefire,,90,32,2,2,4,11.3,0,0,0,1,3,0.05,2,,,,,,
StanislausNF,BearMountain,BM17,2019,prefire,,270,32,2,2,4,11.3,0,2,0,1,2,0.05,2,,,,,,
StanislausNF,BearMountain,BM17,2019,postfire,,0,,2,2,4,11.3,0,1,6,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM17,2019,postfire,,180,,2,2,4,11.3,0,1,0,0,0.05,0,0,,,,,,
StanislausNF,BearMountain,BM17,2019,postfire,,90,32,2,2,4,11.3,1,0,0,0,2.5,0,0,,,,,,
StanislausNF,BearMountain,BM17,2019,postfire,,270,32,2,2,4,11.3,0,1,0,0,3,1,1,,,,,,
StanislausNF,BearMountain,BM18,2019,prefire,,0,,2,2,4,11.3,17,8,0,0.05,1,0,2,,,,,,
StanislausNF,BearMountain,BM18,2019,prefire,,180,,2,2,4,11.3,21,8,3,0.05,0.5,3.5,1,,,,,,
StanislausNF,BearMountain,BM18,2019,prefire,,90,,2,2,4,11.3,0,9,2,0,2,0,8,,,,,,
StanislausNF,BearMountain,BM18,2019,prefire,,270,,2,2,4,11.3,4,0,0,0,2,0,2,,,,,,
StanislausNF,BearMountain,BM18,2019,postfire,,0,,2,2,4,11.3,7,2,0,0.05,1.5,1,1,,,,,,
StanislausNF,BearMountain,BM18,2019,postfire,,180,,2,2,4,11.3,2,2,0,0,0,0.5,3,,,,,,
StanislausNF,BearMountain,BM18,2019,postfire,,90,,2,2,4,11.3,8,3,6,0,0,3,1,,,,,,
StanislausNF,BearMountain,BM18,2019,postfire,,270,,2,2,4,11.3,6,0,0,0,3,3,0.5,,,,,,
StanislausNF,BearMountain,BM19,2019,prefire,,0,,2,2,4,11.3,12,5,0,2,3,0.05,1,,,,,,
StanislausNF,BearMountain,BM19,2019,prefire,,180,,2,2,4,11.3,0,5,0,0.05,2,1,2,,,,,,
StanislausNF,BearMountain,BM19,2019,prefire,,90,,2,2,4,11.3,1,2,0,0,2,5,3,,,,,,
StanislausNF,BearMountain,BM19,2019,prefire,,270,,2,2,4,11.3,0,0,0,0,2,0,1,,,,,,
StanislausNF,BearMountain,BM19,2019,postfire,,0,,2,2,4,11.3,0,0,0,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM19,2019,postfire,,180,,2,2,4,11.3,0,3,0,0,2,0,3,,,,,,
StanislausNF,BearMountain,BM19,2019,postfire,,90,,2,2,4,11.3,3,0,0,0,2,0,0.5,,,,,,
StanislausNF,BearMountain,BM19,2019,postfire,,270,,2,2,4,11.3,0,0,0,0,0,0,0,,,,,,
StanislausNF,BearMountain,BM2,2019,prefire,,0,,2,2,4,11.3,8,1,1,2,1,0,2,,,,,,
StanislausNF,BearMountain,BM2,2019,prefire,,180,,2,2,4,11.3,3,1,0,0,2,1.5,0.5,,,,,,
StanislausNF,BearMountain,BM2,2019,prefire,,90,21,2,2,4,11.3,0,0,0,0,14,0,5,,,,,,
StanislausNF,BearMountain,BM2,2019,prefire,,270,21,2,2,4,11.3,7,0,0,0,2,0,1,,,,,,
StanislausNF,BearMountain,BM2,2019,postfire,,0,,2,2,4,11.3,0,2,2,1,3,0.05,1.5,,,,,,
StanislausNF,BearMountain,BM2,2019,postfire,,180,,2,2,4,11.3,2,0,0,0.05,3,0,0,,,,,,
StanislausNF,BearMountain,BM2,2019,postfire,,90,21,2,2,4,11.3,0,0,0,0,1.5,0.5,0,,,,,,
StanislausNF,BearMountain,BM2,2019,postfire,,270,21,2,2,4,11.3,0,0,0,0,1,0,0,,,,,,
StanislausNF,BearMountain,BM20,2019,prefire,,0,21,2,2,4,11.3,3,2,0,1,1,0.05,1,,,,,,
StanislausNF,BearMountain,BM20,2019,prefire,,180,20,2,2,4,11.3,12,4,1,0.05,0.05,0,3,,,,,,
StanislausNF,BearMountain,BM20,2019,prefire,,90,,2,2,4,11.3,2,2,0,2,2,3,5,,,,,,
StanislausNF,BearMountain,BM20,2019,prefire,,270,,2,2,4,11.3,0,4,1,0.05,1,2,2,,,,,,
StanislausNF,BearMountain,BM20,2019,postfire,,0,21,2,2,4,11.3,7,7,5,0,1,0.05,1.5,,,,,,
StanislausNF,BearMountain,BM20,2019,postfire,,180,20,2,2,4,11.3,7,1,3,0,1.5,0,0.05,,,,,,
StanislausNF,BearMountain,BM20,2019,postfire,,90,,2,2,4,11.3,3,2,0,0,1,0,0,,,,,,
StanislausNF,BearMountain,BM20,2019,postfire,,270,,2,2,4,11.3,2,2,0,0,1,0,0,,,,,,
StanislausNF,BearMountain,BM21,2019,prefire,,0,,2,2,4,11.3,2,0,4,0.05,0.05,0,1,,,,,,
