"","site_plotid_time_azimuth","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"414","Calaveras_BigTrees25_2020_prefire_NA_0",0,6308.25
"415","Calaveras_BigTrees25_2020_prefire_NA_180",64,20597.21
"416","Calaveras_BigTrees25_2020_prefire_NA_270",0,19654
"417","Calaveras_BigTrees25_2020_prefire_NA_90",0,6521
"418","Calaveras_BigTrees27_2020_prefire_NA_0",0,420.25
"419","Calaveras_BigTrees27_2020_prefire_NA_180",0,771.25
"420","Calaveras_BigTrees27_2020_prefire_NA_270",0,756.25
"421","Calaveras_BigTrees27_2020_prefire_NA_90",0,110.25
"422","Calaveras_BigTrees28_2020_prefire_NA_0",0,625
"423","Calaveras_BigTrees28_2020_prefire_NA_180",0,1411.2
"424","Calaveras_BigTrees28_2020_prefire_NA_270",1024,748.21
"425","Calaveras_BigTrees28_2020_prefire_NA_90",783.29,492.49
"426","Calaveras_BigTrees29_2020_prefire_NA_0",0,1084.5
"427","Calaveras_BigTrees29_2020_prefire_NA_180",0,900
"428","Calaveras_BigTrees29_2020_prefire_NA_270",0,9764
"429","calaveras_BigTrees29_2022_postfire_immediate_0",0,1082
"430","calaveras_BigTrees29_2022_postfire_immediate_180",0,1156
"431","calaveras_BigTrees29_2022_postfire_immediate_270",4900,3600
"432","Calaveras_BigTrees30_2020_prefire_NA_0",0,400
"433","Calaveras_BigTrees30_2020_prefire_NA_180",625,86.49
"434","Calaveras_BigTrees30_2020_prefire_NA_270",0,9511.6
"435","Calaveras_BigTrees30_2020_prefire_NA_90",0,1054.49
