project,site,plotid,observer,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,offset_dist_direction,notes,burnpile_ht_m
CPFMP,BearMountain,BM20,"RH, MS",2019,postfire,immediate,0,21,2,2,4,11.3,7,7,5,0,1,,0.05,1.5,,,,,
CPFMP,BearMountain,BM20,"RH, MS",2019,postfire,immediate,180,20,2,2,4,11.3,7,1,3,0,1.5,,0,0.05,,,,,
CPFMP,BearMountain,BM20,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,3,2,0,0,1,,0,0,,,,,
CPFMP,BearMountain,BM20,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,2,2,0,0,1,,0,0,,,,,
CPFMP,BearMountain,BM21,mm,2021,postfire,2yr,N,0,2,2,3,11.3,3,0,0,0,0.5,0.8,0.2,1.8,2,,,,
CPFMP,BearMountain,BM21,mm,2021,postfire,2yr,S,0,2,2,3,11.3,20,3,0,0,4.5,4.8,0,2.8,3.3,,,,
CPFMP,BearMountain,BM21,mm,2021,postfire,2yr,E,0,2,2,3,11.3,5,0,0,1,1.2,1.5,1,2.5,2.8,,,,
CPFMP,BearMountain,BM21,mm,2021,postfire,2yr,W,0,2,2,3,11.3,2,0,0,0,1,1,0.5,0.8,1.1,,,,
CPFMP,BearMountain,BM21,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,6,1,3,1,2.5,,1,1,,,,,
CPFMP,BearMountain,BM21,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,5,0,0,1,2.5,,1,1,,,,,
CPFMP,BearMountain,BM21,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,5,0,0,2,1,,0.5,0.5,,,,,
CPFMP,BearMountain,BM21,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,2,0,0,0,1.5,,0.05,0.05,,,,,
CPFMP,BearMountain,BM22,mm,2021,postfire,2yr,N,0,2,2,3,11.3,6,3,4,2,2.1,2,0.2,2.2,1.8,,,,
CPFMP,BearMountain,BM22,mm,2021,postfire,2yr,S,0,2,2,3,11.3,20,15,0,0,0.6,0.8,0,0,0.6,,,,
CPFMP,BearMountain,BM22,mm,2021,postfire,2yr,E,0,2,2,3,11.3,37,15,2,0,2,2,0,2.8,1.5,,,,
CPFMP,BearMountain,BM22,mm,2021,postfire,2yr,W,0,2,2,3,11.3,1,6,0,0,0.2,0.5,0,1.2,1,,,,
CPFMP,BearMountain,BM22,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,0,1,0,0,,0,0,,,,,
CPFMP,BearMountain,BM22,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,5,3,1,0,0,,0,0,,,,,
CPFMP,BearMountain,BM22,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,45,15,5,0.05,0.05,,0,1.5,,,,,
CPFMP,BearMountain,BM22,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,2,4,1,0.05,2,,1,1,,,,,
