site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,project,burnpile_ht_m,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth
Antelope,Antelope16,2020,prefire,,0,0,2,2,4,11.3,1,2,0,0,3.5,70.2,0,0.5,23.8,,,CPFMP,,,,35.1,1.75,12.15,Antelope_Antelope16_2020_prefire_NA_0
Antelope,Antelope16,2020,prefire,,180,0,2,2,4,11.3,1,0,0,0,0.5,23.2,0,0,5.8,,,CPFMP,,,,11.6,0.25,2.9,Antelope_Antelope16_2020_prefire_NA_180
Antelope,Antelope16,2020,prefire,,270,0,2,2,4,11.3,4,2,0,6,2,3.7,0,0.25,12.8,,,CPFMP,,,,4.85,1,6.525,Antelope_Antelope16_2020_prefire_NA_270
Antelope,Antelope16,2020,prefire,,90,0,2,2,4,11.3,0,0,0,0,1.5,24.8,0,2,65.3,,,CPFMP,,,,12.4,0.75,33.65,Antelope_Antelope16_2020_prefire_NA_90
Antelope,Antelope17,2020,prefire,,0,0,2,2,4,11.3,1,1,0,0,0.1,0.3,0,0.1,0.5,,,CPFMP,,,,0.15,0.05,0.3,Antelope_Antelope17_2020_prefire_NA_0
Antelope,Antelope17,2020,prefire,,180,0,2,2,4,11.3,22,0,0,0,1.1,3.7,0,0,4,,,CPFMP,,,,1.85,0.55,2,Antelope_Antelope17_2020_prefire_NA_180
Antelope,Antelope17,2020,prefire,,270,0,2,2,4,11.3,2,0,2,4.2,3.4,7.3,0,0.3,15,,,CPFMP,,,,5.75,1.7,7.65,Antelope_Antelope17_2020_prefire_NA_270
Antelope,Antelope17,2020,prefire,,90,0,2,2,4,11.3,3,0,0,0,0,0.2,0,1.2,2.2,,,CPFMP,,,,0.1,0,1.7,Antelope_Antelope17_2020_prefire_NA_90
Antelope,Antelope18,2020,prefire,,0,0,2,2,4,11.3,5,3,0,0,1,13.5,7,1.5,22,,,CPFMP,,,,6.75,4,11.75,Antelope_Antelope18_2020_prefire_NA_0
Antelope,Antelope18,2020,prefire,,180,0,2,2,4,11.3,1,0,0,0,3.5,56.8,0,0.5,38.7,,,CPFMP,,,,28.4,1.75,19.6,Antelope_Antelope18_2020_prefire_NA_180
Antelope,Antelope18,2020,prefire,,270,0,2,2,4,11.3,0,1,3,1,8.5,12.7,0.25,3,10,,,CPFMP,,,,6.85,4.375,6.5,Antelope_Antelope18_2020_prefire_NA_270
Antelope,Antelope18,2020,prefire,,90,0,2,2,4,11.3,0,0,0,0,5.5,12.5,0,1.5,38.2,,,CPFMP,,,,6.25,2.75,19.85,Antelope_Antelope18_2020_prefire_NA_90
Antelope,Antelope19,2020,prefire,,0,0,2,2,4,11.3,6,4,0,0,2,1.8,0,2.7,3,,,CPFMP,,,,0.9,1,2.85,Antelope_Antelope19_2020_prefire_NA_0
Antelope,Antelope19,2020,prefire,,180,0,2,2,4,11.3,2,5,0,0,0.8,1.1,3.2,0.5,1.2,,,CPFMP,,,,0.55,2,0.85,Antelope_Antelope19_2020_prefire_NA_180
