plot_id,location,mass,fuel_size
fm19-20,FrenchMeadows,10.8441957,mass_cwd_sound
fm19-20,FrenchMeadows,0.595860506,mass_cwd_rotten
fm19-21,FrenchMeadows,0.266271864,mass_1hr
fm19-21,FrenchMeadows,1.698732204,mass_10hr
fm19-21,FrenchMeadows,3.661483051,mass_100hr
fm19-21,FrenchMeadows,13.3726933,mass_cwd_sound
fm19-21,FrenchMeadows,4.085652722,mass_cwd_rotten
fm19-3,FrenchMeadows,0.489257452,mass_1hr
fm19-3,FrenchMeadows,3.263189127,mass_10hr
fm19-3,FrenchMeadows,2.822827964,mass_100hr
fm19-3,FrenchMeadows,46.12711058,mass_cwd_sound
fm19-3,FrenchMeadows,45.6402535,mass_cwd_rotten
fm19-4,FrenchMeadows,0.266809545,mass_1hr
fm19-4,FrenchMeadows,2.127703052,mass_10hr
fm19-4,FrenchMeadows,2.539991532,mass_100hr
fm19-4,FrenchMeadows,33.95328611,mass_cwd_sound
fm19-5,FrenchMeadows,1.227809153,mass_1hr
fm19-5,FrenchMeadows,5.450099153,mass_10hr
fm19-5,FrenchMeadows,2.534872882,mass_100hr
fm19-5,FrenchMeadows,4.749410486,mass_cwd_sound
fm19-6,FrenchMeadows,0.072277252,mass_1hr
fm19-6,FrenchMeadows,1.310513305,mass_10hr
fm19-6,FrenchMeadows,0.579427259,mass_100hr
fm19-7,FrenchMeadows,0.4911586,mass_1hr
fm19-7,FrenchMeadows,3.062225528,mass_10hr
fm19-7,FrenchMeadows,1.41689843,mass_100hr
fm19-7,FrenchMeadows,15.8408735,mass_cwd_sound
fm19-7,FrenchMeadows,13.10233419,mass_cwd_rotten
fm19-8,FrenchMeadows,0.543818443,mass_1hr
fm19-8,FrenchMeadows,3.830788768,mass_10hr
fm19-8,FrenchMeadows,1.150462123,mass_100hr
fm19-8,FrenchMeadows,7.594928054,mass_cwd_sound
fm19-8,FrenchMeadows,39.76278938,mass_cwd_rotten
fm19-9,FrenchMeadows,0.426729957,mass_1hr
fm19-9,FrenchMeadows,1.879182383,mass_10hr
fm19-9,FrenchMeadows,0,mass_100hr
fm19-9,FrenchMeadows,2.117463321,mass_cwd_rotten
bliss1,LakesDistrict,0.314856704,mass_1hr
bliss1,LakesDistrict,1.471481087,mass_10hr
bliss1,LakesDistrict,0.836482081,mass_100hr
bliss1,LakesDistrict,5.942599856,mass_cwd_sound
bliss1,LakesDistrict,35.63963258,mass_cwd_rotten
bliss2,LakesDistrict,0.276120957,mass_1hr
bliss2,LakesDistrict,1.738387866,mass_10hr
bliss2,LakesDistrict,1.936888902,mass_100hr
bliss2,LakesDistrict,58.59632693,mass_cwd_rotten
bliss3,LakesDistrict,0.251021186,mass_1hr
bliss3,LakesDistrict,1.766291457,mass_10hr
bliss3,LakesDistrict,2.249118533,mass_100hr
bliss3,LakesDistrict,25.93621391,mass_cwd_sound
bliss3,LakesDistrict,21.28744348,mass_cwd_rotten
bliss4,LakesDistrict,0.14071928,mass_1hr
bliss4,LakesDistrict,0.425247878,mass_10hr
bliss4,LakesDistrict,1.128108557,mass_100hr
bliss4,LakesDistrict,37.47365366,mass_cwd_sound
bliss4,LakesDistrict,0.378366393,mass_cwd_rotten
bliss5,LakesDistrict,0.089384157,mass_1hr
bliss5,LakesDistrict,1.069206177,mass_10hr
bliss5,LakesDistrict,0.567283554,mass_100hr
bliss5,LakesDistrict,19.84028832,mass_cwd_sound
bliss5,LakesDistrict,15.27003011,mass_cwd_rotten
bliss6,LakesDistrict,0.403281924,mass_1hr
bliss6,LakesDistrict,1.94699441,mass_10hr
bliss6,LakesDistrict,4.15047622,mass_100hr
bliss6,LakesDistrict,93.35535109,mass_cwd_sound
bliss6,LakesDistrict,18.33451789,mass_cwd_rotten
bliss10,LakesDistrict,0.44687997,mass_1hr
bliss10,LakesDistrict,1.94699441,mass_10hr
bliss10,LakesDistrict,3.043682561,mass_100hr
bliss10,LakesDistrict,3.724246102,mass_cwd_sound
bliss10,LakesDistrict,33.16963273,mass_cwd_rotten
bliss11,LakesDistrict,0.432347288,mass_1hr
bliss11,LakesDistrict,1.80792338,mass_10hr
bliss11,LakesDistrict,0.553396829,mass_100hr
bliss12,LakesDistrict,0.11752941,mass_1hr
bliss12,LakesDistrict,1.265289714,mass_10hr
bliss12,LakesDistrict,1.118864414,mass_100hr
bliss13,LakesDistrict,0.260482904,mass_1hr
bliss13,LakesDistrict,0.569760145,mass_10hr
bliss13,LakesDistrict,0.283401456,mass_100hr
bliss13,LakesDistrict,0.979891253,mass_cwd_sound
bliss14,LakesDistrict,0.191957377,mass_1hr
bliss14,LakesDistrict,1.62498814,mass_10hr
bliss14,LakesDistrict,1.967978716,mass_100hr
bliss14,LakesDistrict,15.71008423,mass_cwd_sound
bliss15,LakesDistrict,0.287020469,mass_1hr
bliss15,LakesDistrict,2.016529924,mass_10hr
bliss15,LakesDistrict,2.213587317,mass_100hr
bliss15,LakesDistrict,2.170686196,mass_cwd_sound
bliss15,LakesDistrict,5.026283585,mass_cwd_rotten
bliss7,LakesDistrict,0.254321934,mass_1hr
bliss7,LakesDistrict,1.80792338,mass_10hr
bliss7,LakesDistrict,1.106793659,mass_100hr
bliss7,LakesDistrict,1.705185614,mass_cwd_sound
bliss7,LakesDistrict,13.1974576,mass_cwd_rotten
bliss8,LakesDistrict,0.066740625,mass_1hr
bliss8,LakesDistrict,0.780605026,mass_10hr
bliss8,LakesDistrict,1.411915351,mass_100hr
bliss8,LakesDistrict,3.0338313,mass_cwd_sound
bliss8,LakesDistrict,3.349534557,mass_cwd_rotten
bliss9,LakesDistrict,0.104271768,mass_1hr
bliss9,LakesDistrict,0.285094995,mass_10hr
bliss9,LakesDistrict,3.970613683,mass_100hr
bliss9,LakesDistrict,14.9112758,mass_cwd_sound
bliss9,LakesDistrict,3.39431177,mass_cwd_rotten
burton1,LakesDistrict,0.214357059,mass_1hr
burton1,LakesDistrict,1.182103749,mass_10hr
burton1,LakesDistrict,2.766984146,mass_100hr
burton1,LakesDistrict,1.207211054,mass_cwd_sound
burton1,LakesDistrict,18.37526126,mass_cwd_rotten
burton10,LakesDistrict,0.29791998,mass_1hr
burton10,LakesDistrict,2.225136468,mass_10hr
burton10,LakesDistrict,0.830095244,mass_100hr
burton10,LakesDistrict,9.090299238,mass_cwd_sound
burton11,LakesDistrict,0.396015583,mass_1hr
burton11,LakesDistrict,3.476775732,mass_10hr
burton11,LakesDistrict,4.427174634,mass_100hr
burton11,LakesDistrict,1.330950187,mass_cwd_sound
burton11,LakesDistrict,20.23813882,mass_cwd_rotten
burton12,LakesDistrict,0.029065364,mass_1hr
burton12,LakesDistrict,0.417213088,mass_10hr
burton12,LakesDistrict,0.830095244,mass_100hr
burton12,LakesDistrict,7.714078636,mass_cwd_sound
burton12,LakesDistrict,0.226352073,mass_cwd_rotten
burton13,LakesDistrict,0.388749242,mass_1hr
burton13,LakesDistrict,1.877458895,mass_10hr
burton13,LakesDistrict,25.86449684,mass_cwd_sound
burton13,LakesDistrict,9.622226609,mass_cwd_rotten
burton14,LakesDistrict,0.14895999,mass_1hr
burton14,LakesDistrict,0.834426176,mass_10hr
burton14,LakesDistrict,1.660190488,mass_100hr
burton14,LakesDistrict,1.561074794,mass_cwd_sound
burton14,LakesDistrict,0.144865327,mass_cwd_rotten
burton15,LakesDistrict,0.254321934,mass_1hr
burton15,LakesDistrict,4.172130878,mass_10hr
burton15,LakesDistrict,3.043682561,mass_100hr
burton15,LakesDistrict,17.29559205,mass_cwd_sound
burton15,LakesDistrict,2.992374401,mass_cwd_rotten
burton16,LakesDistrict,0.323352173,mass_1hr
burton16,LakesDistrict,1.390710293,mass_10hr
burton16,LakesDistrict,3.043682561,mass_100hr
burton16,LakesDistrict,0.365181344,mass_cwd_sound
burton16,LakesDistrict,9.764828414,mass_cwd_rotten
burton17,LakesDistrict,0.305186321,mass_1hr
burton17,LakesDistrict,1.80792338,mass_10hr
burton17,LakesDistrict,1.660190488,mass_100hr
burton17,LakesDistrict,3.603524997,mass_cwd_sound
burton17,LakesDistrict,11.89706494,mass_cwd_rotten
burton18,LakesDistrict,0.236156082,mass_1hr
burton18,LakesDistrict,3.824453305,mass_10hr
burton18,LakesDistrict,1.106793659,mass_100hr
burton18,LakesDistrict,4.762447609,mass_cwd_sound
burton18,LakesDistrict,23.17166168,mass_cwd_rotten
burton19,LakesDistrict,0.432347288,mass_1hr
burton19,LakesDistrict,1.112568234,mass_10hr
burton19,LakesDistrict,1.660190488,mass_100hr
burton19,LakesDistrict,11.14783958,mass_cwd_rotten
burton2,LakesDistrict,0.30155315,mass_1hr
burton2,LakesDistrict,2.711885071,mass_10hr
burton2,LakesDistrict,3.043682561,mass_100hr
burton2,LakesDistrict,0.301802764,mass_cwd_sound
burton2,LakesDistrict,12.32034331,mass_cwd_rotten
burton20,LakesDistrict,0.515910209,mass_1hr
burton20,LakesDistrict,4.311201907,mass_10hr
burton20,LakesDistrict,0.830095244,mass_100hr
burton20,LakesDistrict,7.855925935,mass_cwd_sound
burton20,LakesDistrict,14.39146478,mass_cwd_rotten
burton21,LakesDistrict,0.22525657,mass_1hr
burton21,LakesDistrict,0.695355146,mass_10hr
burton21,LakesDistrict,1.106793659,mass_100hr
burton21,LakesDistrict,29.61137814,mass_cwd_rotten
burton22,LakesDistrict,0.345151196,mass_1hr
burton22,LakesDistrict,1.877458895,mass_10hr
burton22,LakesDistrict,4.980571463,mass_100hr
burton22,LakesDistrict,7.938167188,mass_cwd_sound
burton22,LakesDistrict,9.56337507,mass_cwd_rotten
burton23,LakesDistrict,0.330618514,mass_1hr
burton23,LakesDistrict,1.94699441,mass_10hr
burton23,LakesDistrict,0.553396829,mass_100hr
burton24,LakesDistrict,0.079929751,mass_1hr
burton24,LakesDistrict,0.695355146,mass_10hr
burton24,LakesDistrict,1.936888902,mass_100hr
burton24,LakesDistrict,0.872209987,mass_cwd_sound
burton24,LakesDistrict,0.144865327,mass_cwd_rotten
burton3,LakesDistrict,0.39647824,mass_1hr
burton3,LakesDistrict,4.467833956,mass_10hr
burton3,LakesDistrict,3.668595465,mass_100hr
burton3,LakesDistrict,16.25797598,mass_cwd_sound
