"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"209","burtonsp","BURTON24","prefire","2019","DEAD",0.631697364275076,2,20,49.421
"210","burtonsp","BURTON24","prefire","2019","LIVE",62.1680723405936,75,750,1853.2875
"211","burtonsp","BURTON25","prefire","2020","DEAD",7.45161847684637,3,30,74.1315
"212","burtonsp","BURTON25","prefire","2020","LIVE",50.3388021916423,12,120,296.526
"213","burtonsp","BURTON26","prefire","2020","LIVE",26.058889362725,5,50,123.5525
"214","burtonsp","BURTON27","prefire","2020","LIVE",28.6814649374136,10,100,247.105
"215","burtonsp","BURTON28","prefire","2020","DEAD",8.04902264493496,1,10,24.7105
"216","burtonsp","BURTON28","prefire","2020","LIVE",35.7104542197183,5,50,123.5525
"217","burtonsp","BURTON30","prefire","2020","LIVE",43.0522063787312,12,120,296.526
"218","burtonsp","BURTON31","prefire","2020","DEAD",34.7379209123605,5,50,123.5525
"219","burtonsp","BURTON31","prefire","2020","LIVE",48.0589596511101,13,130,321.2365
"220","burtonsp","BURTON32","prefire","2020","DEAD",15.2547276589183,5,50,123.5525
"221","burtonsp","BURTON32","prefire","2020","LIVE",78.528488722283,15,150,370.6575
"222","burtonsp","BURTON33","prefire","2020","LIVE",22.1877367478216,3,30,74.1315
"223","burtonsp","BURTON34","prefire","2020","DEAD",20.4806313395246,3,30,74.1315
"224","burtonsp","BURTON34","prefire","2020","LIVE",74.7020657304191,16,160,395.368
"225","burtonsp","BURTON35","prefire","2020","DEAD",9.05123014412587,2,20,49.421
"226","burtonsp","BURTON35","prefire","2020","LIVE",82.9936879937073,19,190,469.4995
"227","burtonsp","BURTON37","prefire","2020","LIVE",42.8297178665173,14,140,345.947
"228","burtonsp","BURTON38","postfire","2020","DEAD",0.436670579624235,1,10,24.7105
"229","burtonsp","BURTON38","postfire","2020","LIVE",38.2551180592112,5,50,123.5525
"230","burtonsp","BURTON39","postfire","2020","DEAD",4.25769341198682,5,50,123.5525
"231","burtonsp","BURTON39","postfire","2020","LIVE",53.6339572006494,10,100,247.105
"232","burtonsp","BURTON40","postfire","2020","DEAD",21.4371388366102,18,180,444.789
"233","burtonsp","BURTON40","postfire","2020","LIVE",51.8414487307685,10,100,247.105
"234","burtonsp","BURTON41","postfire","2020","DEAD",19.2476628465836,10,100,247.105
"235","burtonsp","BURTON41","postfire","2020","LIVE",39.4867037619834,7,70,172.9735
"236","burtonsp","BURTON42","prefire","2020","DEAD",15.681131628026,4,40,98.842
"237","burtonsp","BURTON42","prefire","2020","LIVE",51.9484669860438,5,50,123.5525
"238","burtonsp","BURTON43","prefire","2020","DEAD",9.0639809250509,3,30,74.1315
"239","burtonsp","BURTON43","prefire","2020","LIVE",39.6835354516967,15,150,370.6575
"240","burtonsp","BURTON44","prefire","2020","DEAD",5.65925071193008,1,10,24.7105
"241","burtonsp","BURTON44","prefire","2020","LIVE",43.3789330101967,10,100,247.105
"242","burtonsp","BURTON45","prefire","2020","DEAD",5.19550655636914,2,20,49.421
"243","burtonsp","BURTON45","prefire","2020","LIVE",30.6166870565063,12,120,296.526
"244","burtonsp","BURTON46","prefire","2020","DEAD",7.58638472150907,2,20,49.421
"245","burtonsp","BURTON46","prefire","2020","LIVE",36.0990134052586,19,190,469.4995
"246","burtonsp","BURTON47","prefire","2020","LIVE",13.5036980422064,4,40,98.842
