"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"1071","calaveras","bigtrees29","prefire","2020","[40-60]",0,0,0
"1072","calaveras","bigtrees29","prefire","2020","[>100]",2,20,49.421
"1073","calaveras","bigtrees29","prefire","2020","[60-80]",0,0,0
"1074","calaveras","bigtrees29","prefire","2020","[80-100]",0,0,0
"1075","calaveras","bigtrees30","postfire","2022","[<20]",0,0,0
"1076","calaveras","bigtrees30","postfire","2022","[20-40]",0,0,0
"1077","calaveras","bigtrees30","postfire","2022","[40-60]",2,20,49.421
"1078","calaveras","bigtrees30","postfire","2022","[>100]",1,10,24.7105
"1079","calaveras","bigtrees30","postfire","2022","[60-80]",1,10,24.7105
"1080","calaveras","bigtrees30","postfire","2022","[80-100]",1,10,24.7105
"1081","calaveras","bigtrees30","prefire","2020","[<20]",0,0,0
"1082","calaveras","bigtrees30","prefire","2020","[20-40]",1,10,24.7105
"1083","calaveras","bigtrees30","prefire","2020","[40-60]",2,20,49.421
"1084","calaveras","bigtrees30","prefire","2020","[>100]",2,20,49.421
"1085","calaveras","bigtrees30","prefire","2020","[60-80]",2,20,49.421
"1086","calaveras","bigtrees30","prefire","2020","[80-100]",0,0,0
"1087","calaveras","bigtrees32","postfire","2022","[<20]",2,20,49.421
"1088","calaveras","bigtrees32","postfire","2022","[20-40]",0,0,0
"1089","calaveras","bigtrees32","postfire","2022","[40-60]",1,10,24.7105
"1090","calaveras","bigtrees32","postfire","2022","[>100]",1,10,24.7105
"1091","calaveras","bigtrees32","postfire","2022","[60-80]",1,10,24.7105
"1092","calaveras","bigtrees32","postfire","2022","[80-100]",0,0,0
"1093","calaveras","bigtrees32","prefire","2020","[<20]",5,50,123.5525
"1094","calaveras","bigtrees32","prefire","2020","[20-40]",2,20,49.421
"1095","calaveras","bigtrees32","prefire","2020","[40-60]",1,10,24.7105
"1096","calaveras","bigtrees32","prefire","2020","[>100]",1,10,24.7105
"1097","calaveras","bigtrees32","prefire","2020","[60-80]",1,10,24.7105
"1098","calaveras","bigtrees32","prefire","2020","[80-100]",0,0,0
"1099","calaveras","bigtrees33","prefire","2020","[<20]",1,10,24.7105
"1100","calaveras","bigtrees33","prefire","2020","[20-40]",0,0,0
"1101","calaveras","bigtrees33","prefire","2020","[40-60]",1,10,24.7105
"1102","calaveras","bigtrees33","prefire","2020","[>100]",0,0,0
"1103","calaveras","bigtrees33","prefire","2020","[60-80]",0,0,0
"1104","calaveras","bigtrees33","prefire","2020","[80-100]",0,0,0
"1105","calaveras","bigtrees34","postfire","2022","[<20]",1,10,24.7105
"1106","calaveras","bigtrees34","postfire","2022","[20-40]",8,80,197.684
"1107","calaveras","bigtrees34","postfire","2022","[40-60]",2,20,49.421
"1108","calaveras","bigtrees34","postfire","2022","[>100]",1,10,24.7105
"1109","calaveras","bigtrees34","postfire","2022","[60-80]",1,10,24.7105
"1110","calaveras","bigtrees34","postfire","2022","[80-100]",0,0,0
"1111","calaveras","bigtrees34","prefire","2020","[<20]",1,10,24.7105
"1112","calaveras","bigtrees34","prefire","2020","[20-40]",8,80,197.684
"1113","calaveras","bigtrees34","prefire","2020","[40-60]",3,30,74.1315
"1114","calaveras","bigtrees34","prefire","2020","[>100]",1,10,24.7105
"1115","calaveras","bigtrees34","prefire","2020","[60-80]",1,10,24.7105
"1116","calaveras","bigtrees34","prefire","2020","[80-100]",0,0,0
"1117","calaveras","bigtrees35","postfire","2022","[<20]",1,10,24.7105
"1118","calaveras","bigtrees35","postfire","2022","[20-40]",3,30,74.1315
"1119","calaveras","bigtrees35","postfire","2022","[40-60]",2,20,49.421
"1120","calaveras","bigtrees35","postfire","2022","[>100]",4,40,98.842
"1121","calaveras","bigtrees35","postfire","2022","[60-80]",0,0,0
"1122","calaveras","bigtrees35","postfire","2022","[80-100]",0,0,0
"1123","calaveras","bigtrees35","prefire","2020","[<20]",1,10,24.7105
"1124","calaveras","bigtrees35","prefire","2020","[20-40]",3,30,74.1315
"1125","calaveras","bigtrees35","prefire","2020","[40-60]",1,10,24.7105
"1126","calaveras","bigtrees35","prefire","2020","[>100]",4,40,98.842
"1127","calaveras","bigtrees35","prefire","2020","[60-80]",0,0,0
"1128","calaveras","bigtrees35","prefire","2020","[80-100]",0,0,0
"1129","calaveras","bigtrees36","prefire","2020","[<20]",2,20,49.421
"1130","calaveras","bigtrees36","prefire","2020","[20-40]",5,50,123.5525
"1131","calaveras","bigtrees36","prefire","2020","[40-60]",0,0,0
"1132","calaveras","bigtrees36","prefire","2020","[>100]",1,10,24.7105
"1133","calaveras","bigtrees36","prefire","2020","[60-80]",1,10,24.7105
"1134","calaveras","bigtrees36","prefire","2020","[80-100]",2,20,49.421
"1135","caples","1","postfire","2020","[<20]",0,0,0
"1136","caples","1","postfire","2020","[20-40]",1,10,24.7105
"1137","caples","1","postfire","2020","[40-60]",2,20,49.421
"1138","caples","1","postfire","2020","[>100]",0,0,0
"1139","caples","1","postfire","2020","[60-80]",0,0,0
"1140","caples","1","postfire","2020","[80-100]",1,10,24.7105
"1141","caples","1","prefire","2013-2018","[<20]",3,30,74.1315
"1142","caples","1","prefire","2013-2018","[20-40]",4,40,98.842
"1143","caples","1","prefire","2013-2018","[40-60]",3,30,74.1315
"1144","caples","1","prefire","2013-2018","[>100]",0,0,0
"1145","caples","1","prefire","2013-2018","[60-80]",0,0,0
"1146","caples","1","prefire","2013-2018","[80-100]",1,10,24.7105
"1147","caples","1","prefire","2019","[<20]",0,0,0
"1148","caples","1","prefire","2019","[20-40]",0,0,0
"1149","caples","1","prefire","2019","[40-60]",2,20,49.421
"1150","caples","1","prefire","2019","[>100]",0,0,0
"1151","caples","1","prefire","2019","[60-80]",0,0,0
"1152","caples","1","prefire","2019","[80-100]",1,10,24.7105
"1153","caples","10","prefire","2013-2018","[<20]",0,0,0
"1154","caples","10","prefire","2013-2018","[20-40]",2,20,49.421
"1155","caples","10","prefire","2013-2018","[40-60]",0,0,0
"1156","caples","10","prefire","2013-2018","[>100]",0,0,0
"1157","caples","10","prefire","2013-2018","[60-80]",0,0,0
"1158","caples","10","prefire","2013-2018","[80-100]",0,0,0
"1159","caples","100","postfire","2020","[<20]",7,70,172.9735
"1160","caples","100","postfire","2020","[20-40]",6,60,148.263
"1161","caples","100","postfire","2020","[40-60]",0,0,0
"1162","caples","100","postfire","2020","[>100]",0,0,0
"1163","caples","100","postfire","2020","[60-80]",0,0,0
"1164","caples","100","postfire","2020","[80-100]",0,0,0
"1165","caples","100","prefire","2013-2018","[<20]",13,130,321.2365
"1166","caples","100","prefire","2013-2018","[20-40]",8,80,197.684
"1167","caples","100","prefire","2013-2018","[40-60]",0,0,0
"1168","caples","100","prefire","2013-2018","[>100]",0,0,0
"1169","caples","100","prefire","2013-2018","[60-80]",0,0,0
"1170","caples","100","prefire","2013-2018","[80-100]",0,0,0
"1171","caples","101","prefire","2013-2018","[<20]",1,10,24.7105
"1172","caples","101","prefire","2013-2018","[20-40]",3,30,74.1315
"1173","caples","101","prefire","2013-2018","[40-60]",1,10,24.7105
"1174","caples","101","prefire","2013-2018","[>100]",0,0,0
"1175","caples","101","prefire","2013-2018","[60-80]",1,10,24.7105
"1176","caples","101","prefire","2013-2018","[80-100]",0,0,0
"1177","caples","102","postfire","2020","[<20]",0,0,0
"1178","caples","102","postfire","2020","[20-40]",2,20,49.421
"1179","caples","102","postfire","2020","[40-60]",0,0,0
"1180","caples","102","postfire","2020","[>100]",0,0,0
"1181","caples","102","postfire","2020","[60-80]",0,0,0
"1182","caples","102","postfire","2020","[80-100]",0,0,0
"1183","caples","102","prefire","2013-2018","[<20]",9,90,222.3945
"1184","caples","102","prefire","2013-2018","[20-40]",5,50,123.5525
"1185","caples","102","prefire","2013-2018","[40-60]",0,0,0
"1186","caples","102","prefire","2013-2018","[>100]",0,0,0
"1187","caples","102","prefire","2013-2018","[60-80]",0,0,0
"1188","caples","102","prefire","2013-2018","[80-100]",0,0,0
"1189","caples","103","postfire","2020","[<20]",4,40,98.842
"1190","caples","103","postfire","2020","[20-40]",12,120,296.526
"1191","caples","103","postfire","2020","[40-60]",4,40,98.842
"1192","caples","103","postfire","2020","[>100]",0,0,0
"1193","caples","103","postfire","2020","[60-80]",3,30,74.1315
"1194","caples","103","postfire","2020","[80-100]",1,10,24.7105
"1195","caples","103","prefire","2013-2018","[<20]",7,70,172.9735
"1196","caples","103","prefire","2013-2018","[20-40]",12,120,296.526
"1197","caples","103","prefire","2013-2018","[40-60]",5,50,123.5525
"1198","caples","103","prefire","2013-2018","[>100]",0,0,0
"1199","caples","103","prefire","2013-2018","[60-80]",3,30,74.1315
"1200","caples","103","prefire","2013-2018","[80-100]",1,10,24.7105
"1201","caples","104","prefire","2013-2018","[<20]",9,90,222.3945
"1202","caples","104","prefire","2013-2018","[20-40]",8,80,197.684
"1203","caples","104","prefire","2013-2018","[40-60]",2,20,49.421
"1204","caples","104","prefire","2013-2018","[>100]",1,10,24.7105
"1205","caples","104","prefire","2013-2018","[60-80]",0,0,0
"1206","caples","104","prefire","2013-2018","[80-100]",1,10,24.7105
"1207","caples","105","postfire","2020","[<20]",21,210,518.9205
"1208","caples","105","postfire","2020","[20-40]",7,70,172.9735
"1209","caples","105","postfire","2020","[40-60]",2,20,49.421
"1210","caples","105","postfire","2020","[>100]",0,0,0
"1211","caples","105","postfire","2020","[60-80]",1,10,24.7105
"1212","caples","105","postfire","2020","[80-100]",2,20,49.421
"1213","caples","105","prefire","2013-2018","[<20]",32,320,790.736
"1214","caples","105","prefire","2013-2018","[20-40]",7,70,172.9735
"1215","caples","105","prefire","2013-2018","[40-60]",1,10,24.7105
"1216","caples","105","prefire","2013-2018","[>100]",0,0,0
"1217","caples","105","prefire","2013-2018","[60-80]",1,10,24.7105
"1218","caples","105","prefire","2013-2018","[80-100]",3,30,74.1315
"1219","caples","106","prefire","2013-2018","[<20]",14,140,345.947
"1220","caples","106","prefire","2013-2018","[20-40]",4,40,98.842
"1221","caples","106","prefire","2013-2018","[40-60]",2,20,49.421
"1222","caples","106","prefire","2013-2018","[>100]",2,20,49.421
"1223","caples","106","prefire","2013-2018","[60-80]",1,10,24.7105
"1224","caples","106","prefire","2013-2018","[80-100]",0,0,0
"1225","caples","107","prefire","2013-2018","[<20]",22,220,543.631
"1226","caples","107","prefire","2013-2018","[20-40]",18,180,444.789
"1227","caples","107","prefire","2013-2018","[40-60]",4,40,98.842
"1228","caples","107","prefire","2013-2018","[>100]",0,0,0
"1229","caples","107","prefire","2013-2018","[60-80]",4,40,98.842
"1230","caples","107","prefire","2013-2018","[80-100]",1,10,24.7105
"1231","caples","108","prefire","2013-2018","[<20]",11,110,271.8155
"1232","caples","108","prefire","2013-2018","[20-40]",6,60,148.263
"1233","caples","108","prefire","2013-2018","[40-60]",6,60,148.263
"1234","caples","108","prefire","2013-2018","[>100]",0,0,0
"1235","caples","108","prefire","2013-2018","[60-80]",1,10,24.7105
"1236","caples","108","prefire","2013-2018","[80-100]",1,10,24.7105
"1237","caples","109","prefire","2013-2018","[<20]",6,60,148.263
"1238","caples","109","prefire","2013-2018","[20-40]",3,30,74.1315
"1239","caples","109","prefire","2013-2018","[40-60]",5,50,123.5525
"1240","caples","109","prefire","2013-2018","[>100]",1,10,24.7105
"1241","caples","109","prefire","2013-2018","[60-80]",1,10,24.7105
"1242","caples","109","prefire","2013-2018","[80-100]",0,0,0
"1243","caples","11","postfire","2020","[<20]",5,50,123.5525
"1244","caples","11","postfire","2020","[20-40]",26,260,642.473
"1245","caples","11","postfire","2020","[40-60]",2,20,49.421
"1246","caples","11","postfire","2020","[>100]",0,0,0
"1247","caples","11","postfire","2020","[60-80]",0,0,0
"1248","caples","11","postfire","2020","[80-100]",0,0,0
"1249","caples","11","prefire","2013-2018","[<20]",19,190,469.4995
"1250","caples","11","prefire","2013-2018","[20-40]",26,260,642.473
"1251","caples","11","prefire","2013-2018","[40-60]",1,10,24.7105
"1252","caples","11","prefire","2013-2018","[>100]",0,0,0
"1253","caples","11","prefire","2013-2018","[60-80]",0,0,0
"1254","caples","11","prefire","2013-2018","[80-100]",0,0,0
"1255","caples","110","prefire","2013-2018","[<20]",8,80,197.684
"1256","caples","110","prefire","2013-2018","[20-40]",11,110,271.8155
"1257","caples","110","prefire","2013-2018","[40-60]",10,100,247.105
"1258","caples","110","prefire","2013-2018","[>100]",0,0,0
"1259","caples","110","prefire","2013-2018","[60-80]",4,40,98.842
"1260","caples","110","prefire","2013-2018","[80-100]",0,0,0
"1261","caples","111","postfire","2020","[<20]",0,0,0
"1262","caples","111","postfire","2020","[20-40]",0,0,0
"1263","caples","111","postfire","2020","[40-60]",0,0,0
"1264","caples","111","postfire","2020","[>100]",2,20,49.421
