"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"8698","CPFMP","springsfire","2019","springs14","prefire",NA,"153","LIVE","PIJE","30.7","15","7",NA,"IN","2.5","4.5",NA,NA,NA,NA,NA,"2",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699","CPFMP","springsfire","2020","springs14","postfire","1yr","154","LIVE","PIJE","30.7","14","10",NA,NA,NA,"4","na","9","75","9","75",NA,NA,NA,3.7,"75",NA,NA,NA,NA,NA,NA,NA,NA
"8700","CPFMP","springsfire","2020","springs43","prefire",NA,"2367","LIVE","PIJE","30.7","9.3","2.3",NA,NA,"3.2",NA,"na",NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8701","CPFMP","downieville","2020","RedAnt30a","prefire",NA,"1658","LIVE","PIPO","30.7","18.2","6",55,NA,"4.2",NA,"na",NA,NA,NA,NA,"na","na",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8702","CPFMP","Modoc","2020","MOD014","prefire",NA,"392","LIVE","PIPO","30.7","18","4.5",NA,NA,"5.5","0.1","na",NA,"0",NA,"0",NA,NA,NA,0.4,"0",NA,NA,NA,NA,NA,NA,NA,NA
"8703","CPFMP","modoc","2021","MOD014","postfire","immediate","392","LIVE","PIPO","30.7",NA,NA,NA,NA,NA,"0.3",NA,"5.4","20","na","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"8704","CPFMP","slypark","2021","SPI2","postfire","1yr","na","LIVE","PIPO","30.7","21","13.1",NA,NA,"na","1","na","10.3","70","na","0","dead top",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"8705","CPFMP","henrycoe","2022","HCM014","postfire","1yr","4500","LIVE","QUDO","30.7","0.6","na",NA,NA,NA,"na","na","na","0","na","0","na","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8706","CPFMP","calaveras","2020","BigTrees17","prefire",NA,"na","LIVE","CADE","30.75","14.1","4.3",90,NA,"6",NA,"na",NA,NA,NA,NA,"na","na",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8707","CPFMP","concow","2021","CONCOW003","prefire",NA,"na","DEAD","ABCO","30.8","18","na",NA,NA,"na","5","2","na","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8708","CPFMP","frenchmeadows","2019","FM019-15","prefire",NA,NA,"DEAD","ABCO","30.8","3",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8709","CPFMP","bearmountain","2019","BM24","prefire",NA,NA,"DEAD","CADE","30.8","11",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8710","CPFMP","shaverlake","2021","SHL016","prefire",NA,"na","DEAD","SALIX","30.8","6.3","na",NA,NA,"na","na","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8711","CPFMP","shaverlake","2022","SHL016","postfire","immediate","na","DEAD","SALIX","30.8","6.3","na",NA,NA,NA,"na","2","na","0","na","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8712","CPFMP","caples","2013-2018","17","prefire",NA,"543","LIVE","ABCO","30.8","14.5","1.9",NA,"IN","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8713","CPFMP","caples","2013-2018","23","prefire",NA,"605","LIVE","ABCO","30.8","11.6","0.9",NA,"IN","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8714","CPFMP","caples","2013-2018","92","prefire",NA,"441","LIVE","ABCO","30.8","16.4","6.9",NA,"CO","4.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
