"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"3095","slypark","hcp1","prefire","2019","[>100]",0,0,0
"3096","slypark","hcp1","prefire","2019","[80-100]",0,0,0
"3097","slypark","hcp2","prefire","2019","[60-80]",0,0,0
"3098","slypark","hcp2","prefire","2019","[20-40]",0,0,0
"3099","slypark","hcp2","prefire","2019","[<20]",0,0,0
"3100","slypark","hcp2","prefire","2019","[40-60]",1,10,24.7105
"3101","slypark","hcp2","prefire","2019","[>100]",0,0,0
"3102","slypark","hcp2","prefire","2019","[80-100]",0,0,0
"3103","slypark","spi11","prefire","2019","[60-80]",0,0,0
"3104","slypark","spi11","prefire","2019","[20-40]",0,0,0
"3105","slypark","spi11","prefire","2019","[<20]",1,10,24.7105
"3106","slypark","spi11","prefire","2019","[40-60]",0,0,0
"3107","slypark","spi11","prefire","2019","[>100]",0,0,0
"3108","slypark","spi11","prefire","2019","[80-100]",0,0,0
"3109","slypark","spi2","postfire","2021","[60-80]",0,0,0
"3110","slypark","spi2","postfire","2021","[20-40]",2,20,49.421
"3111","slypark","spi2","postfire","2021","[<20]",0,0,0
"3112","slypark","spi2","postfire","2021","[40-60]",0,0,0
"3113","slypark","spi2","postfire","2021","[>100]",0,0,0
"3114","slypark","spi2","postfire","2021","[80-100]",0,0,0
"3115","slypark","spi6","postfire","2021","[60-80]",0,0,0
"3116","slypark","spi6","postfire","2021","[20-40]",0,0,0
"3117","slypark","spi6","postfire","2021","[<20]",1,10,24.7105
"3118","slypark","spi6","postfire","2021","[40-60]",0,0,0
"3119","slypark","spi6","postfire","2021","[>100]",0,0,0
"3120","slypark","spi6","postfire","2021","[80-100]",0,0,0
"3121","slypark","spi6","prefire","2019","[60-80]",0,0,0
"3122","slypark","spi6","prefire","2019","[20-40]",0,0,0
"3123","slypark","spi6","prefire","2019","[<20]",0,0,0
"3124","slypark","spi6","prefire","2019","[40-60]",0,0,0
"3125","slypark","spi6","prefire","2019","[>100]",0,0,0
"3126","slypark","spi6","prefire","2019","[80-100]",1,10,24.7105
"3127","springsfire","springs06","postfire","2020","[60-80]",0,0,0
"3128","springsfire","springs06","postfire","2020","[20-40]",0,0,0
"3129","springsfire","springs06","postfire","2020","[<20]",3,30,74.1315
"3130","springsfire","springs06","postfire","2020","[40-60]",0,0,0
"3131","springsfire","springs06","postfire","2020","[>100]",0,0,0
"3132","springsfire","springs06","postfire","2020","[80-100]",0,0,0
"3133","springsfire","springs06","prefire","2019","[60-80]",0,0,0
