site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton10,nr,prefire,,arpa,live,SH,SM,1,
BurtonSP,2019,burton12,nr,prefire,,arpa,live,SH,SL,tr,
BurtonSP,2019,burton14,nr,prefire,,arpa,live,SH,SL,0.5,
BurtonSP,2019,burton14,nr,prefire,,arpa,live,SH,SM,0.5,
BurtonSP,2019,burton16,nr,prefire,,arpa,live,SH,SL,tr,
BurtonSP,2019,burton16,nr,prefire,,arpa,live,SH,SM,tr,
BurtonSP,2019,burton21,nr,prefire,,arpa,live,SH,SL,tr,
BurtonSP,2019,burton21,nr,prefire,,arpa,live,SH,SM,tr,
BurtonSP,2019,burton3,ag,prefire,,arpa,live,SH,SL,1,
BurtonSP,2019,burton3,ag,prefire,,arpa,live,SH,SM,1,
BurtonSP,2019,burton6,ag,prefire,,arpa,live,SH,SL,tr,
BurtonSP,2019,burton7,nr,prefire,,arpa,live,SH,SL,tr,
BurtonSP,2019,burton7,nr,prefire,,arpa,live,SH,SM,tr,
BurtonSP,2019,burton8,nr,prefire,,arpa,live,SH,SL,0.5,
BurtonSP,2019,burton8,nr,prefire,,arpa,live,SH,SM,0.5,
BurtonSP,2019,burton9,nr,prefire,,arpa,live,SH,SL,1.5,
BurtonSP,2019,burton23,nr,prefire,,arpr,live,SH,SL,tr,
BurtonSP,2019,burton23,nr,prefire,,arpr,live,SH,SM,tr,
BurtonSP,2019,burton12,nr,prefire,,cade,live,TR,TSE,tr,
BurtonSP,2019,burton12,nr,prefire,,cade,live,TR,TSA,2,
BurtonSP,2019,burton12,nr,prefire,,cade,live,TR,TOV,3,
BurtonSP,2019,burton20,nr,prefire,,cade,live,TR,TSA,tr,
BurtonSP,2019,burton20,nr,prefire,,cade,live,TR,TOV,,
BurtonSP,2019,burton23,nr,prefire,,cade,live,TR,TOV,7,
BurtonSP,2019,burton23,nr,prefire,,cade,live,TR,TSA,tr,
BurtonSP,2019,burton23,nr,prefire,,cade,live,TR,TSE,tr,
BurtonSP,2019,burton24,nr,prefire,,cade,live,TR,TOV,50,
BurtonSP,2019,burton24,nr,prefire,,cade,live,TR,TSE,tr,
BurtonSP,2019,burton24,nr,prefire,,cade,live,TR,TSA,15,
BurtonSP,2019,burton4,nr,prefire,,cade,live,TR,TSA,0.5,
BurtonSP,2019,burton4,nr,prefire,,cade,live,TR,TOV,0.5,
BurtonSP,2019,burton12,nr,prefire,,casapp,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,casapp,live,FB,,tr,
BurtonSP,2019,burton23,nr,prefire,,casapp,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,casapp,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,ceco,live,SH,SL,tr,
BurtonSP,2019,burton10,nr,prefire,,ceco,live,SH,SL,5,
BurtonSP,2019,burton10,nr,prefire,,ceco,live,SH,SM,3,
BurtonSP,2019,burton12,nr,prefire,,ceco,live,SH,SL,tr,
BurtonSP,2019,burton12,nr,prefire,,ceco,live,SH,SM,tr,
BurtonSP,2019,burton13,nr,prefire,,ceco,live,SH,SL,tr,
