site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,,,
frenchmeadows,2020,prefire,FM042,vs,ABMA,dead,TR,TOV,1,H,,,
frenchmeadows,2020,prefire,FM064,vs,ABMA,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM064,vs,ABMA,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM064,vs,ABMA,live,TR,TOV,4,H,,,
frenchmeadows,2020,prefire,FM064,vs,ABMA,dead,TR,TOV,1,H,,,
frenchmeadows,2020,prefire,FM046,km,ACGL,live,SH,na,2,x,Acer glabrum,,
frenchmeadows,2020,prefire,FM047,km,ACGL,live,SH,na,2,,,,
frenchmeadows,2020,prefire,FM057,km,ACGL,live,SH,na,4,,,,
frenchmeadows,2020,prefire,FM069,km,ACGL,live,SH,na,5,,,,
frenchmeadows,2020,prefire,FM062,km,ACGL,live,SH,na,12,,,,
frenchmeadows,2020,prefire,FM056,vs,Acryn,live,,na,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,Acryn,live,,na,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,Acryn,live,,na,tr,M,,,
frenchmeadows,2020,prefire,FM043,vs,ADBI,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM046,km,AGAURT,live,FB,na,0.25,x,Agastache urticifolia,,
frenchmeadows,2020,prefire,FM047,km,AGAURT,live,FB,na,0.25,,,,
frenchmeadows,2020,prefire,FM052,vs,ALLCAM,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM042,vs,ALNUS,live,TR,na,4,L,,,
frenchmeadows,2020,prefire,FM042,vs,ALNUS,live,TR,na,7,M,,,
frenchmeadows,2020,prefire,FM042,vs,ALNUS,live,TR,na,4,H,,,
frenchmeadows,2020,prefire,FM045,vs,AMEUTA,live,SH,na,1,L,,,
frenchmeadows,2020,prefire,FM045,vs,AMEUTA,live,SH,na,tr,M,,,
frenchmeadows,2020,prefire,FM040,km,AMEUTA,live,SH,na,tr,Amelanchiar utahensis,,,
frenchmeadows,2020,prefire,FM046,km,AMEUTA,live,SH,na,5,"pubescent above and below, 1cm petiole",,,
frenchmeadows,2020,prefire,FM047,km,AMEUTA,live,SH,na,7,,,,
frenchmeadows,2020,prefire,FM057,km,AMEUTA,live,SH,na,tr,,,,
frenchmeadows,2020,prefire,FM055,km,APOAND,live,FB,na,tr,,,na,
frenchmeadows,2020,prefire,FM040,km,APOAND,live,FB,na,0.5,,,,
frenchmeadows,2020,prefire,FM039,km,APOAND,live,FB,na,1,,,,
frenchmeadows,2020,prefire,FM050,vs,APOAND,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM055,km,ARNE,live,SH,na,4,,,,
frenchmeadows,2020,prefire,FM040,km,ARNE,live,SH,na,4,,,,
frenchmeadows,2020,prefire,FM039,km,ARNE,live,SH,na,2,,,,
frenchmeadows,2020,prefire,FM038,vs,ARNE,live,SH,na,8,L,,,
frenchmeadows,2020,prefire,FM048,vs,ARNE,live,SH,na,tr,L,,,
frenchmeadows,2020,prefire,FM037,vs,ARNE,live,SH,na,5,L,,,
frenchmeadows,2020,prefire,FM056,vs,ARNE,live,SH,na,8,L,,,
frenchmeadows,2020,prefire,FM052,vs,ARNE,live,SH,na,3,L,,,
frenchmeadows,2020,prefire,FM051,vs,ARNE,live,SH,na,1,L,,,
frenchmeadows,2020,prefire,FM064,vs,ARNE,live,SH,na,tr,L,,,
frenchmeadows,2020,prefire,FM045,vs,ARNDEA,live,FB,na,1,L,,,
frenchmeadows,2020,prefire,FM045,vs,ARNDEA,live,FB,na,tr,M,,,
frenchmeadows,2020,prefire,FM038,vs,ARNDEA,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM038,vs,ARNDEA,live,FB,na,tr,M,,,
frenchmeadows,2020,prefire,FM049,vs,ARNDEA,live,FB,na,5,L,,,
frenchmeadows,2020,prefire,FM050,vs,ARNDEA,live,FB,na,1,L,,,
frenchmeadows,2020,prefire,FM052,vs,ARNDEA,live,FB,na,31,L,,,
frenchmeadows,2020,prefire,FM052,vs,ARNDEA,live,FB,na,tr,M,,,
frenchmeadows,2020,prefire,FM064,vs,ARNDEA,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM064,vs,ARNDEA,live,FB,na,4,L,,,
frenchmeadows,2020,prefire,FM056,vs,ARNDEA,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM039,km,ARPA,live,SH,na,0.25,,,,
frenchmeadows,2020,prefire,FM068,km,ARPA,live,SH,na,8,,,,
frenchmeadows,2020,prefire,FM045,vs,ARPA,live,SH,na,tr,L,,,
frenchmeadows,2020,prefire,FM045,vs,ARPA,live,SH,na,1,M,,,
frenchmeadows,2020,prefire,FM045,vs,ARPA,live,SH,na,tr,H,,,
frenchmeadows,2020,prefire,FM064,vs,ARPA,live,SH,na,tr,L,,,
frenchmeadows,2020,prefire,FM064,vs,ARPA,live,SH,na,2,M,,,
frenchmeadows,2020,prefire,FM064,vs,ARPA,live,SH,na,2,H,,,
frenchmeadows,2020,prefire,FM063,vs,ARPA,live,SH,na,2,L,,,
frenchmeadows,2020,prefire,FM063,vs,ARPA,live,SH,na,2,M,,,
frenchmeadows,2020,prefire,FM063,vs,ARPA,dead,SH,na,tr,M,,,
frenchmeadows,2020,prefire,FM063,vs,ARPA,live,SH,na,tr,H,,,
frenchmeadows,2020,prefire,FM038,vs,ASTER,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM069,km,asterunbranched,live,FB,na,tr,,,,
frenchmeadows,2020,prefire,FM043,vs,ATHFEM,live,FERN,na,tr,L,Athyrium filix-femina var. cyclosorum,,
frenchmeadows,2020,prefire,FM047,km,big penstemon ,live,FB,na,tr,x,,,
frenchmeadows,2020,prefire,FM039,km,bigaster,live,FB,na,tr,x,,,
frenchmeadows,2020,prefire,FM046,km,bigaster,live,FB,na,3,,,,
frenchmeadows,2020,prefire,FM047,km,bigaster,live,FB,na,0.5,,,,
frenchmeadows,2020,prefire,FM069,km,bigaster,live,FB,na,0.5,,,,
frenchmeadows,2020,prefire,FM062,km,bigaster,live,FB,na,0.25,,,,
frenchmeadows,2020,prefire,FM062,km,bighairylvs,live,FB,na,tr,,,,
frenchmeadows,2020,prefire,FM047,km,Bigleafyfb,live,FB,na,1,,,,
frenchmeadows,2020,prefire,FM046,km,bigleavyfb,live,FB,na,8,x,coursely serrated margins,,
frenchmeadows,2020,prefire,FM057,km,bigleavyfb ,live,FB,na,tr,,,,
frenchmeadows,2020,prefire,FM051,vs,BOU,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM046,km,bromus1,live,GR,na,0.25,,,,
frenchmeadows,2020,prefire,FM047,km,bromus1,live,GR,na,0.25,,,,
frenchmeadows,2020,prefire,FM039,km,bromus2,live,GR,na,0.25,,,,
frenchmeadows,2020,prefire,FM055,km,CADE,live,TR,TSE,0.25,,,,
frenchmeadows,2020,prefire,FM055,km,CADE,live,TR,TSA,2,,,,
frenchmeadows,2020,prefire,FM055,km,CADE,live,TR,TOV,17,,,,
frenchmeadows,2020,prefire,FM055,km,CADE,dead,TR,TSA,0.25,,,,
frenchmeadows,2020,prefire,FM040,km,CADE,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM040,km,CADE,live,TR,TSA,2,,,,
frenchmeadows,2020,prefire,FM040,km,CADE,live,TR,TOV,1,,,,
frenchmeadows,2020,prefire,FM039,km,CADE,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM039,km,CADE,live,TR,TOV,2,,,,
frenchmeadows,2020,prefire,FM046,km,CADE,live,TR,TSA,1.5,,,,
frenchmeadows,2020,prefire,FM046,km,CADE,live,TR,TOV,10,,,,
frenchmeadows,2020,prefire,FM047,km,CADE,live,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM057,km,CADE,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM057,km,CADE,live,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM057,km,CADE,live,TR,TOV,30,,,,
frenchmeadows,2020,prefire,FM057,km,CADE,dead,TR,TOV,0.25,,,,
frenchmeadows,2020,prefire,FM069,km,CADE,live,TR,TSA,1.5,,,,
frenchmeadows,2020,prefire,FM069,km,CADE,live,TR,TOV,2,,,,
frenchmeadows,2020,prefire,FM069,km,CADE,dead,TR,TOV,2,,,,
frenchmeadows,2020,prefire,FM062,km,CADE,live,TR,TSA,1,,,,
frenchmeadows,2020,prefire,FM045,vs,CADE,live,TR,TOV,7,H,,,
frenchmeadows,2020,prefire,FM037,vs,CADE,live,TR,TSE,2,L,,,
frenchmeadows,2020,prefire,FM037,vs,CADE,live,TR,TSA,3,M,,,
frenchmeadows,2020,prefire,FM037,vs,CADE,live,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM056,vs,CADE,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM056,vs,CADE,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM056,vs,CADE,live,TR,TOV,4,H,,,
frenchmeadows,2020,prefire,FM049,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,CADE,dead,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,CADE,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM049,vs,CADE,live,TR,TOV,18,H,,,
frenchmeadows,2020,prefire,FM050,vs,CADE,live,TR,TSE,1,L,,,
frenchmeadows,2020,prefire,FM050,vs,CADE,live,TR,TOV,5,H,,,
frenchmeadows,2020,prefire,FM054,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM054,vs,CADE,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM054,vs,CADE,live,TR,TOV,9,H,,,
frenchmeadows,2020,prefire,FM053,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM053,vs,CADE,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM051,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM051,vs,CADE,dead,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM043,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM043,vs,CADE,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM043,vs,CADE,live,TR,TOV,10,H,,,
frenchmeadows,2020,prefire,FM042,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM042,vs,CADE,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM042,vs,CADE,live,TR,TOV,23,H,,,
frenchmeadows,2020,prefire,FM041,vs,CADE,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM041,vs,CADE,live,TR,TOV,15,H,,,
frenchmeadows,2020,prefire,FM041,vs,CADE,live,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM064,vs,CADE,live,TR,TOV,5,H,,,
frenchmeadows,2020,prefire,FM063,vs,CADE,live,TR,TOV,2,H,,,
frenchmeadows,2020,prefire,FM037,vs,CALUMB,live,FB,na,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,CAREX,live,GR,na,tr,L,,,
frenchmeadows,2020,prefire,FM049,vs,CAREX,live,GR,na,tr,M,,,
frenchmeadows,2020,prefire,FM040,km,carexlike,live,GR,na,tr,,,,
frenchmeadows,2020,prefire,FM069,km,carexlike,live,GR,na,tr,,,,
frenchmeadows,2020,prefire,FM062,km,carexlike,live,GR,na,3,,,,
frenchmeadows,2020,prefire,FM045,vs,ceanothus,live,SH,na,tr,L,,,
frenchmeadows,2020,prefire,FM045,vs,ceanothus,live,SH,na,tr,M,,,
frenchmeadows,2020,prefire,FM045,vs,ceanothus,live,SH,na,tr,H,,,
frenchmeadows,2020,prefire,FM048,vs,ceanothus,live,SH,na,1,L,,,
