pre_post_fire,year,site,plotid,obs,species,status,lifeform,layer_code,percent,notes
prefire,2019,slypark,spi9,ag,elysie,live,GR,,tr,
prefire,2019,slypark,hcp5,ag,elymus,live,GR,,tr,
prefire,2019,slypark,hcp10,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,erilan,live,FB,,tr,
prefire,2019,slypark,spi10,ag,erilan,live,FB,,tr,
prefire,2019,slypark,spi3,ag,erilan,live,FB,,tr,
prefire,2019,slypark,spi3,ag,erilan,live,FB,,tr,
prefire,2019,slypark,spi4,ag,erilan,live,FB,,tr,
prefire,2019,slypark,spi5,ag,erilan,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,friatr,dead,FB,,tr,Fritillaria atropurpurea
prefire,2019,slypark,hcp1,ag,fraves,live,FB,,tr,
prefire,2019,slypark,spi1,ag,fraves,live,FB,,tr,
prefire,2019,slypark,spi3,ag,fraves,live,FB,,tr,
prefire,2019,slypark,spi6,ag,fraves,live,FB,,tr,
prefire,2019,slypark,hcp1,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,galapa,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,galapa,dead,FB,,tr,
prefire,2019,slypark,hcp9,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi10,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi11,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi2,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi3,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi6,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi7,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi8,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi9,ag,galapa,live,FB,,tr,
prefire,2019,slypark,spi10,ag,gaydif,live,FB,,tr,gayophytum
prefire,2019,slypark,hcp1,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,GALBOL,live,GR,,tr,
prefire,2019,slypark,hcp6,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi10,ag,GALBOL,live,FB,,5,
prefire,2019,slypark,spi11,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi2,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi3,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi4,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi5,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi6,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi7,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi8,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,spi9,ag,GALBOL,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,gasp2,live,FB,,tr,
prefire,2019,slypark,spi3,ag,gasp2,live,FB,,tr,
prefire,2019,slypark,spi4,ag,gasp2,live,FB,,tr,
prefire,2019,slypark,spi6,ag,gasp2,live,FB,,tr,
prefire,2019,slypark,spi8,ag,gasp2,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,gilcap,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,gilcap,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,gilcap,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,gilcap,live,FB,,tr,
prefire,2019,slypark,spi11,ag,gilcap,live,FB,,tr,
prefire,2019,slypark,hcp1,ag,goob,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,goob,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,goob,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,goob,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,hairyopengr,live,GR,,tr,
prefire,2019,slypark,spi8,ag,hairyopengr,live,GR,,tr,
prefire,2019,slypark,hcp10,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,spi11,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,spi4,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,spi5,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,spi6,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,spi7,ag,hiealb,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,hiehor,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,HORTRI,live,FB,,tr,
prefire,2019,slypark,hcp1,ag,irha,live,FB,,tr,
prefire,2019,slypark,hcp2,ag,irha,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,irha,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,irha,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,irha,dead,FB,,tr,
prefire,2019,slypark,hcp6,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi1,ag,irha,live,FB,,tr,not flowering
prefire,2019,slypark,spi10,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi11,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi5,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi6,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi7,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi8,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi9,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi2,ag,irha,live,FB,,tr,not flowering
prefire,2019,slypark,spi3,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi4,ag,irha,live,FB,,tr,
prefire,2019,slypark,spi2,ag,kelgal,live,FB,,tr,
prefire,2019,slypark,spi5,ag,kelgal,live,FB,,tr,
prefire,2019,slypark,spi6,ag,kelgal,live,FB,,tr,
prefire,2019,slypark,spi7,ag,kelgal,live,FB,,tr,
prefire,2019,slypark,spi8,ag,kelgal,live,FB,,tr,
prefire,2019,slypark,spi2,ag,latnevnev,live,FB,,tr,Lathyrus nevadensis subsp. nevadensis
prefire,2019,slypark,spi3,ag,latnevnev,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,latnevnev,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,latnevnev,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,latnevnev,live,FB,,tr,
