site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,
downieville,2020,prefire,RedAnt30b,vs,KECLEM,live,FB,na,tr,Keckiella lemmonii,,,
downieville,2020,prefire,RedAnt60,vs,KECLEM,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,KECLEM,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,largeglabvetch,live,FB,na,tr,Lathyrus sulphueus?,,,
downieville,2020,prefire,RedAnt46,vs,LYSLAT,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,LYSLAT,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,monardella,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt59,vs,MAISTE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,OSMBER,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,OSMBER,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,Penstemon,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,Penstemon,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,potentilla,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,probbigvetch,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt46,vs,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt59,vs,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt58,vs,PROHOO,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,PSETHE,live,FB,na,tr,Pseudognaphalium thermale,,,
downieville,2020,prefire,RedAnt35,vs,PSETHE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt60,vs,PTEAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt49,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt39,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt52,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt43,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt40,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt44,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt55,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt57,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt53,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt58,vs,PYRPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,PYRPPIC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,SENTRI,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,small fuzzy forb (white eri),live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,STELAC,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,STETEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,tallgentian,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,tallpenstemon,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt43,km,tallpenstemon,live,FB,na,tr,,,,na
