site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,
calaveras,2020,prefire,BigTrees29,km,CADE,live,TR,TSE,0.5,,
calaveras,2020,prefire,BigTrees29,km,CADE,live,TR,TOV,5,,
calaveras,2020,prefire,BigTrees29,km,CADE,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees01,km,CADE,live,TR,TSA,0.5,,
calaveras,2020,prefire,BigTrees01,km,CADE,live,TR,TSE,0.75,,
calaveras,2020,prefire,BigTrees35,km,CADE,live,TR,TSE,3,,
calaveras,2020,prefire,BigTrees35,km,CADE,live,TR,TOV,10,,
calaveras,2020,prefire,BigTrees35,km,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees06,km,CADE,live,TR,TSE,1.25,,
calaveras,2020,prefire,BigTrees06,km,CADE,live,TR,TOV,25,,
calaveras,2020,prefire,BigTrees06,km,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees32,km,CADE,live,TR,TOV,15,,
calaveras,2020,prefire,BigTrees32,km,CADE,live,TR,TSA,7,,
calaveras,2020,prefire,BigTrees32,km,CADE,dead,TR,TSA,0.5,,
calaveras,2020,prefire,BigTrees32,km,CADE,live,TR,TSE,18,,
calaveras,2020,prefire,BigTrees32,km,CADE,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees14,km,CADE,live,TR,TSE,75,,
calaveras,2020,prefire,BigTrees14,km,CADE,live,TR,TSA,30,,
calaveras,2020,prefire,BigTrees14,km,CADE,live,TR,TOV,17,,
calaveras,2020,prefire,BigTrees14,km,CADE,dead,TR,TOV,2,,
calaveras,2020,prefire,BigTrees04,km,CADE,live,TR,TSE,15,,
calaveras,2020,prefire,BigTrees04,km,CADE,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees04,km,CADE,live,TR,TSA,30,,
calaveras,2020,prefire,BigTrees04,km,CADE,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees05,km,CADE,live,TR,TSE,1.5,,CHAFOL just outside macroplot
calaveras,2020,prefire,BigTrees05,km,CADE,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees05,km,CADE,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees34,km,CADE,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees34,km,CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees34,km,CADE,live,TR,TOV,25,,
calaveras,2020,prefire,BigTrees34,km,CADE,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees21,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees21,vs,CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees23,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees23,vs,CADE,live,TR,TSA,25,,
calaveras,2020,prefire,BigTrees20,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees20,vs,CADE,live,TR,TSA,7,,
calaveras,2020,prefire,BigTrees20,vs,CADE,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees28,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees28,vs,CADE,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees28,vs,CADE,live,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees19,vs,CADE,live,TR,TSE,2,,
calaveras,2020,prefire,BigTrees19,vs,CADE,live,TR,TSA,4,,
calaveras,2020,prefire,BigTrees19,vs,CADE,live,TR,TOV,3,,
calaveras,2020,prefire,BigTrees18,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees18,vs,CADE,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees18,vs,CADE,live,TR,TOV,2,,
calaveras,2020,prefire,BigTrees17,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees17,vs,CADE,live,TR,TOV,25,,
calaveras,2020,prefire,BigTrees09,vs,CADE,live,TR,TSE,4,,
calaveras,2020,prefire,BigTrees09,vs,CADE,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees09,vs,CADE,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees09,vs,CADE,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees08,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees08,vs,CADE,dead,TR,TSE,tr,Added during QAQC using regen data,
calaveras,2020,prefire,BigTrees08,vs,CADE,live,TR,TSA,22,,
calaveras,2020,prefire,BigTrees08,vs,CADE,live,TR,TOV,5,,
calaveras,2020,prefire,BigTrees08,vs,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees02,vs,CADE,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees02,vs,CADE,live,TR,TSA,7,,
calaveras,2020,prefire,BigTrees02,vs,CADE,live,TR,TOV,4,,
calaveras,2020,prefire,BigTrees03,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees03,vs,CADE,dead,TR,TSE,tr,Added during QAQC using regen data,
calaveras,2020,prefire,BigTrees03,vs,CADE,live,TR,TOV,10,,
calaveras,2020,prefire,BigTrees03,vs,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees31,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees31,vs,CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees31,vs,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees30,vs,CADE,live,TR,TSE,20,,
calaveras,2020,prefire,BigTrees30,vs,CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees30,vs,CADE,dead,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees30,vs,CADE,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees30,vs,CADE,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees13,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees13,vs,CADE,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees13,vs,CADE,live,TR,TOV,2,,
calaveras,2020,prefire,BigTrees11,vs,CADE,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees11,vs,CADE,live,TR,TSA,3,,
calaveras,2020,prefire,BigTrees11,vs,CADE,live,TR,TOV,4,,
calaveras,2020,prefire,BigTrees12,vs,CADE,live,TR,TSE,6,,
calaveras,2020,prefire,BigTrees12,vs,CADE,live,TR,TSA,6,,
calaveras,2020,prefire,BigTrees12,vs,CADE,live,TR,TOV,4,,
calaveras,2020,prefire,BigTrees12,vs,CADE,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees10,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees10,vs,CADE,live,TR,TSA,2,,
calaveras,2020,prefire,BigTrees10,vs,CADE,live,TR,TOV,3,,
calaveras,2020,prefire,BigTrees10,vs,CADE,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees07,vs,CADE,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees07,vs,CADE,live,TR,TSA,1,,
