site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
RioLindo,RIO009,prefire,,km,2021,galcal,live,FB,,tr,,,
Bouverie,BOUV012,prefire,,km,2021,galporpor,live,FB,,tr,,,
RioLindo,RIO009,prefire,,km,2021,galporpor,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,galporten,live,FB,,4,,,
Bouverie,BOUV002,prefire,,km,2021,galporten,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,galporten,live,FB,,5,,,
Bouverie,BOUV003,prefire,,km,2021,galporten,live,FB,,0.25,,,
Bouverie,BOUV004,prefire,,km,2021,galporten,live,FB,,3,,,
Bouverie,BOUV005,prefire,,km,2021,galporten,live,FB,,0.5,,,
Bouverie,BOUV007,prefire,,km,2021,galporten,live,FB,,8,,,
Bouverie,BOUV008,prefire,,km,2021,galporten,live,FB,,2,,,
Bouverie,BOUV009,prefire,,km,2021,galporten,live,FB,,7,erect and small but not tiny lvs,,
Bouverie,BOUV010,prefire,,km,2021,galporten,live,FB,,1,,,
Bouverie,BOUV012,prefire,,km,2021,galporten,live,FB,,0.25,,,
RioLindo,RIO001,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO002,prefire,,km,2021,galporten,live,FB,,1,,,
RioLindo,RIO004,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO006,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO007,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO007,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO008,prefire,,km,2021,galporten,live,FB,,tr,,,
RioLindo,RIO001,prefire,,km,2021,genmon,live,SH,,0.25,,,
RioLindo,RIO008,prefire,,km,2021,genmon,live,SH,,0.5,genista monspessulana,,
Bouverie,BOUV004,prefire,,km,2021,grass2,live,GR,,2,,,
Bouverie,BOUV006,prefire,,km,2021,grass3,live,GR,,3,,,
Bouverie,BOUV001,prefire,,km,2021,hairy aster,live,FB,,0.5,,,
Bouverie,BOUV002,prefire,,km,2021,hairy aster,live,FB,,tr,same as scratchy fb,,
Bouverie,BOUV003,prefire,,km,2021,hairy aster,live,FB,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,hairy aster,live,FB,,0.25,,,
Bouverie,BOUV009,prefire,,km,2021,hairy aster,live,FB,,tr,,,
Bouverie,BOUV010,prefire,,km,2021,hairy aster,live,FB,,0.25,,,
Bouverie,BOUV012,prefire,,km,2021,hairy aster,live,FB,,tr,,,
RioLindo,RIO001,prefire,,km,2021,hedhel,live,FB,,tr,,,
RioLindo,RIO005,prefire,,km,2021,hedhel,live,FB,,tr,hedera helix,,
Bouverie,BOUV001,prefire,,km,2021,hetarb,live,TR,TSE,5,,,
Bouverie,BOUV001,prefire,,km,2021,hetarb,live,TR,TSA,5.5,,,
Bouverie,BOUV002,prefire,,km,2021,hetarb,live,TR,TSE,19,,,
Bouverie,BOUV002,prefire,,km,2021,hetarb,live,TR,TSA,6,,,
Bouverie,BOUV003,prefire,,km,2021,hetarb,live,TR,TSE,16,,,
Bouverie,BOUV003,prefire,,km,2021,hetarb,live,TR,TSA,7,,,
Bouverie,BOUV004,prefire,,km,2021,hetarb,live,TR,TSE,1,,,
Bouverie,BOUV004,prefire,,km,2021,hetarb,live,TR,TSA,1.5,,,
Bouverie,BOUV005,prefire,,km,2021,hetarb,live,TR,TSE,5,,,
Bouverie,BOUV005,prefire,,km,2021,hetarb,live,TR,TSA,7,,,
Bouverie,BOUV005,prefire,,mm,2021,hetarb,dead,TR,TSE,tr,,,
Bouverie,BOUV006,prefire,,km,2021,hetarb,live,TR,TSE,0.5,,,
Bouverie,BOUV006,prefire,,km,2021,hetarb,live,TR,TSA,0.5,,,
Bouverie,BOUV007,prefire,,km,2021,hetarb,live,TR,TSE,0.5,,,
Bouverie,BOUV008,prefire,,km,2021,hetarb,live,TR,TSE,7,3,,
