site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM17,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,unkwirey,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,waxyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM17,nr,whiteunderfb,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,arcvis,live,SH,SL,11.5,
bearmountain,2019,prefire,,BM18,nr,arcvis,live,SH,SM,10.5,
bearmountain,2019,prefire,,BM18,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,broele,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,broele,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,cade,live,TR,TSE,0.5,
bearmountain,2019,prefire,,BM18,nr,cade,live,TR,TOV,25,
bearmountain,2019,prefire,,BM18,nr,cade,dead,TR,TOV,1,
bearmountain,2019,prefire,,BM18,nr,chafol,live,SH,SL,18.5,
bearmountain,2019,prefire,,BM18,nr,chafol,live,SH,SM,16,
bearmountain,2019,prefire,,BM18,nr,cirsium,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,Fgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,flat1,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,hairstrand,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,likelelel,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,pila,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM18,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM18,nr,pipo,live,TR,TOV,1,
bearmountain,2019,prefire,,BM18,nr,pipo,dead,TR,TOV,1.5,
bearmountain,2019,prefire,,BM18,nr,psme,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM18,nr,puffbaff,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,quch,live,TR,TSE,1.5,l m and h if shrub
bearmountain,2019,prefire,,BM18,nr,quke,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM18,nr,quke,live,TR,TRE,0.5,
bearmountain,2019,prefire,,BM18,nr,quke,dead,TR,TOV,1,
bearmountain,2019,prefire,,BM18,nr,smallFgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM18,nr,unkblackseeds,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM18,nr,unkhairyflw,live,FB,,tr,
