site,year,plot_id,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
springsfire,2019,springs23,0,0,2,2,4,11.3,1,3,0,0,2,0,0.05,
springsfire,2019,springs23,180,0,2,2,4,11.3,10,4,0,0,0.05,0,1,
springsfire,2019,springs23,90,0,2,2,4,11.3,1,1,0,1,1,0,1,
springsfire,2019,springs23,270,0,2,2,4,11.3,0,2,1,2,2,3,3,
springsfire,2019,springs24,0,0,2,2,4,11.3,2,0,0,0,1,0,0.05,
springsfire,2019,springs24,180,0,2,2,4,11.3,0,2,0,0,2,0,0.05,
springsfire,2019,springs24,90,0,2,2,4,11.3,0,1,0,0,2,0,1,
springsfire,2019,springs24,270,0,2,2,4,11.3,4,3,1,0,0.05,0.05,0,
springsfire,2019,springs25,0,0,2,2,4,11.3,0,2,2,0,0.05,0,0.05,
springsfire,2019,springs25,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0.05,
springsfire,2019,springs25,90,0,2,2,4,11.3,0,0,0,0,1,0,1,
springsfire,2019,springs25,270,0,2,2,4,11.3,0,1,1,0,0,0,1,
springsfire,2019,springs26,0,0,2,2,4,11.3,4,2,0,1,2,2,0.05,
springsfire,2019,springs26,180,0,2,2,4,11.3,3,1,2,0,0.05,0,1,
springsfire,2019,springs26,90,0,2,2,4,11.3,1,2,0,2,0,0,0.05,
springsfire,2019,springs26,270,0,2,2,4,11.3,2,1,0,2,0.05,2,0.05,
springsfire,2019,springs27,0,0,2,2,4,11.3,2,2,0,0,1.5,0,0.05,
springsfire,2019,springs27,180,0,2,2,4,11.3,0,0,0,0,1.5,0,0.05,
springsfire,2019,springs27,90,0,2,2,4,11.3,0,2,0,0,0.05,1,0.05,
springsfire,2019,springs27,270,0,2,2,4,11.3,1,0,0,0,3,0,0.05,
springsfire,2019,springs28,0,0,2,2,4,11.3,0,0,0,1,0.05,0,0.05,
springsfire,2019,springs28,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0.05,
springsfire,2019,springs28,90,0,2,2,4,11.3,0,0,0,0,0.05,0,1,
springsfire,2019,springs28,270,0,2,2,4,11.3,0,0,0,1,2,0,0.05,
springsfire,2019,springs29,0,0,2,2,4,11.3,0,9,0,2,0.05,2,0.05,
springsfire,2019,springs29,180,0,2,2,4,11.3,3,1,0,0,0.05,0,0.05,
springsfire,2019,springs29,90,0,2,2,4,11.3,0,2,0,0,1,0,0.05,
springsfire,2019,springs29,270,0,2,2,4,11.3,0,0,0,0,1,0,0.05,
springsfire,2019,springs30,0,0,2,2,4,11.3,0,1,0,0,0.05,0,1,
springsfire,2019,springs30,180,0,2,2,4,11.3,0,0,0,0,0.05,0,1,
springsfire,2019,springs30,90,0,2,2,4,11.3,1,2,0,1,0.05,1,0.05,
springsfire,2019,springs30,270,0,2,2,4,11.3,0,1,0,4,0.05,0,0.05,
