plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha,plotid
springs5 prefire na,live,pije,1.393409439,5,58.88,68.6,45.9,5.04,17.6,,20.2343,5.638932923,springs5 prefire na
springs5 prefire na,stump,pije,,20,,,,,,,80.9372,,springs5 prefire na
springs50 prefire ,live,PIJE,0.54417804,2,57.85,68.7,47,4,17.1,1.4,8.09372,2.202212343,springs50 prefire 
springs51 prefire ,live,PIJE,1.896456963,8,53.425,77.2,33.7,4.8875,17.5625,1.525,32.37488,7.674695825,springs51 prefire 
springs6 prefire na,dead,pico,0.020358306,1,16.1,16.1,16.1,,5.9,0.4,4.04686,0.082387213,springs6 prefire na
springs6 prefire na,live,pico,1.298102157,28,19.68214286,68.9,7.7,2.382142857,8.107142857,,113.31208,5.253237697,springs6 prefire na
springs7 prefire na,dead,pico,0.011309734,1,12,12,12,,9.4,,4.04686,0.045768908,springs7 prefire na
springs7 prefire na,live,pico,1.887541123,17,33.17647059,72.4,13.9,3.470588235,14.12352941,,68.79662,7.638614669,springs7 prefire na
springs7 prefire na,stump,pico,,5,,,,,,,20.2343,,springs7 prefire na
springs8 prefire na,live,pico,0.869547293,7,35.28571429,59.6,11.8,3.285714286,12.71428571,,28.32802,3.51893616,springs8 prefire na
springs8 prefire na,live,pije,0.904654591,10,28.8,57.7,8.2,3.28,8.84,,40.4686,3.661010479,springs8 prefire na
