site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
antelope,Antelope17,2020,prefire,"",Antelope17 prefire NA,90,0.1,0,1.7,0.0176510307099832,0,0,0,0,0.0176510307099832,0,0.0176510307099832,antelope Antelope17 prefire 
antelope,Antelope18,2020,prefire,"",Antelope18 prefire NA,0,6.75,4,11.75,0.0294183845166387,0.337824362595043,0,5.38621654435571,0,0.367242747111682,2.18065447139907,2.54789721851075,antelope Antelope18 prefire 
antelope,Antelope18,2020,prefire,"",Antelope18 prefire NA,180,28.4,1.75,19.6,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope18 prefire 
antelope,Antelope18,2020,prefire,"",Antelope18 prefire NA,270,6.85,4.375,6.5,0,0.112608120865014,1.34428379579342,0,2.4679726958774,1.45689191665844,0.999179229100162,2.4560711457586,antelope Antelope18 prefire 
antelope,Antelope18,2020,prefire,"",Antelope18 prefire NA,90,6.25,2.75,19.85,0,0,0,4.38101661990071,2.4679726958774,0,2.77287016833122,2.77287016833122,antelope Antelope18 prefire 
antelope,Antelope19,2020,prefire,"",Antelope19 prefire NA,0,0.9,1,2.85,0.0353020614199664,0.450432483460057,0,0,0,0.485734544880024,0,0.485734544880024,antelope Antelope19 prefire 
antelope,Antelope19,2020,prefire,"",Antelope19 prefire NA,180,0.55,2,0.85,0.0117673538066555,0.563040604325072,0,1.66600326462335,0,0.574807958131727,0.674495248835366,1.24930320696709,antelope Antelope19 prefire 
antelope,Antelope19,2020,prefire,"",Antelope19 prefire NA,270,0.4,1.6,3.45,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope19 prefire 
antelope,Antelope19,2020,prefire,"",Antelope19 prefire NA,90,0.6,0.7,2.75,0.0647204459366051,0.112608120865014,0,0,0,0.177328566801619,0,0.177328566801619,antelope Antelope19 prefire 
bearmountain,BM1,2019,postfire,immediate,BM1 postfire immediate,0,1,3.5,,0,0.225216241730029,0,0,0,0.225216241730029,0,0.225216241730029,bearmountain BM1 postfire immediate
bearmountain,BM1,2019,postfire,immediate,BM1 postfire immediate,180,0.025,0.775,,0.0176510307099832,0.337824362595043,0.448094598597808,0,0,0.803569991902834,0,0.803569991902834,bearmountain BM1 postfire immediate
bearmountain,BM1,2019,postfire,immediate,BM1 postfire immediate,270,0,1.5,,0.0117673538066555,0.112608120865014,0,0,0,0.12437547467167,0,0.12437547467167,bearmountain BM1 postfire immediate
bearmountain,BM1,2019,postfire,immediate,BM1 postfire immediate,90,0,1.5,,0.0294183845166387,0.450432483460057,0,0,0,0.479850867976696,0,0.479850867976696,bearmountain BM1 postfire immediate
bearmountain,BM1,2019,prefire,"",BM1 prefire NA,0,0.275,2.5,,0,0.337824362595043,0,0.589003345564429,0,0.337824362595043,0.238462892941064,0.576287255536107,bearmountain BM1 prefire 
bearmountain,BM1,2019,prefire,"",BM1 prefire NA,180,0.05,1,,0,0,0.896189197195616,0,0,0.896189197195616,0,0.896189197195616,bearmountain BM1 prefire 
bearmountain,BM1,2019,prefire,"",BM1 prefire NA,270,0.05,2,,0.0176510307099832,0,0,0,0,0.0176510307099832,0,0.0176510307099832,bearmountain BM1 prefire 
bearmountain,BM1,2019,prefire,"",BM1 prefire NA,90,0.275,2,,0.0176510307099832,0.337824362595043,0,0,0,0.355475393305026,0,0.355475393305026,bearmountain BM1 prefire 
bearmountain,BM1,2021,postfire,2yr,BM1 postfire 2yr,90,0,0.5,0.45,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,bearmountain BM1 postfire 2yr
bearmountain,BM1,2021,postfire,2yr,BM1 postfire 2yr,0,0,3.35,2.95,0,0.450432483460057,0.448094598597808,0,0,0.898527082057865,0,0.898527082057865,bearmountain BM1 postfire 2yr
bearmountain,BM1,2021,postfire,2yr,BM1 postfire 2yr,180,0,0.9,1.05,0.0176510307099832,0,0,0,0,0.0176510307099832,0,0.0176510307099832,bearmountain BM1 postfire 2yr
