site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
bearmountain,bm11,2019,postfire,immediate,mass_cwd_sound,8.31096819924428
bearmountain,bm11,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm11,2019,postfire,immediate,total_fine,1.32866227116203
bearmountain,bm11,2019,postfire,immediate,total_cwd,8.31096819924428
bearmountain,bm11,2019,postfire,immediate,total_fuel,12.935852372316
bearmountain,bm11,2019,postfire,immediate,duff_load,0.121829783148451
bearmountain,bm11,2019,postfire,immediate,litter_load,3.17439211876118
bearmountain,bm11,2019,postfire,immediate,litter_depth_cm,0.76875
bearmountain,bm11,2019,postfire,immediate,duff_depth_cm,0.01875
bearmountain,bm11,2019,prefire,"",mass_1hr,0.239553184361972
bearmountain,bm11,2019,prefire,"",mass_10hr,0.20511529201099
bearmountain,bm11,2019,prefire,"",mass_100hr,0.781436148783575
bearmountain,bm11,2019,prefire,"",mass_cwd_sound,1.78639570832723
bearmountain,bm11,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm11,2019,prefire,"",total_fine,1.22610462515654
bearmountain,bm11,2019,prefire,"",total_cwd,1.78639570832723
bearmountain,bm11,2019,prefire,"",total_fuel,11.7231093895354
bearmountain,bm11,2019,prefire,"",duff_load,1.66500703636217
bearmountain,bm11,2019,prefire,"",litter_load,7.04560201968946
bearmountain,bm11,2019,prefire,"",litter_depth_cm,1.70625
bearmountain,bm11,2019,prefire,"",duff_depth_cm,0.25625
bearmountain,bm11,2021,postfire,2yr,mass_1hr,0.541598503774893
bearmountain,bm11,2021,postfire,2yr,mass_10hr,0.512788230027476
bearmountain,bm11,2021,postfire,2yr,mass_100hr,1.56287229756715
bearmountain,bm11,2021,postfire,2yr,mass_cwd_sound,3.5939321942678
bearmountain,bm11,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm11,2021,postfire,2yr,total_fine,2.61725903136952
bearmountain,bm11,2021,postfire,2yr,total_cwd,3.5939321942678
bearmountain,bm11,2021,postfire,2yr,total_fuel,11.5276528229121
bearmountain,bm11,2021,postfire,2yr,duff_load,0
bearmountain,bm11,2021,postfire,2yr,litter_load,5.31646159727483
bearmountain,bm11,2021,postfire,2yr,litter_depth_cm,1.2875
bearmountain,bm11,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm11,2021,postfire,2yr,fuel_depth_cm,1.2
bearmountain,bm12,2019,postfire,immediate,mass_1hr,0.108889086738103
bearmountain,bm12,2019,postfire,immediate,mass_10hr,1.50871540529085
bearmountain,bm12,2019,postfire,immediate,mass_100hr,0.576044645155616
bearmountain,bm12,2019,postfire,immediate,mass_cwd_sound,26.3908566949049
bearmountain,bm12,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm12,2019,postfire,immediate,total_fine,2.19364913718457
bearmountain,bm12,2019,postfire,immediate,total_cwd,26.3908566949049
bearmountain,bm12,2019,postfire,immediate,total_fuel,29.819767976354
bearmountain,bm12,2019,postfire,immediate,duff_load,0.0353798014771703
bearmountain,bm12,2019,postfire,immediate,litter_load,1.19988234278737
bearmountain,bm12,2019,postfire,immediate,litter_depth_cm,1.0125
bearmountain,bm12,2019,postfire,immediate,duff_depth_cm,0.00625
bearmountain,bm12,2019,prefire,"",mass_1hr,0.803057014693511
bearmountain,bm12,2019,prefire,"",mass_10hr,1.88589425661357
bearmountain,bm12,2019,prefire,"",mass_100hr,5.76044645155616
bearmountain,bm12,2019,prefire,"",mass_cwd_sound,123.626454998626
bearmountain,bm12,2019,prefire,"",mass_cwd_rotten,2.3333211033556
bearmountain,bm12,2019,prefire,"",total_fine,8.44939772286324
bearmountain,bm12,2019,prefire,"",total_cwd,125.959776101982
bearmountain,bm12,2019,prefire,"",total_fuel,141.562199401982
bearmountain,bm12,2019,prefire,"",duff_load,4.63475399350931
bearmountain,bm12,2019,prefire,"",litter_load,2.51827158362782
bearmountain,bm12,2019,prefire,"",litter_depth_cm,2.125
bearmountain,bm12,2019,prefire,"",duff_depth_cm,0.81875
bearmountain,bm12,2021,postfire,2yr,mass_1hr,0.231389309318469
bearmountain,bm12,2021,postfire,2yr,mass_10hr,0.754357702645427
bearmountain,bm12,2021,postfire,2yr,mass_100hr,0.576044645155616
bearmountain,bm12,2021,postfire,2yr,mass_cwd_sound,9.0030492319936
bearmountain,bm12,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm12,2021,postfire,2yr,total_fine,1.56179165711951
bearmountain,bm12,2021,postfire,2yr,total_cwd,9.0030492319936
bearmountain,bm12,2021,postfire,2yr,total_fuel,14.2237413665018
bearmountain,bm12,2021,postfire,2yr,duff_load,0
bearmountain,bm12,2021,postfire,2yr,litter_load,3.65890047738866
bearmountain,bm12,2021,postfire,2yr,litter_depth_cm,3.0875
bearmountain,bm12,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm12,2021,postfire,2yr,fuel_depth_cm,2.5375
bearmountain,bm13,2019,postfire,immediate,mass_1hr,0.102928025333614
bearmountain,bm13,2019,postfire,immediate,mass_10hr,0.767340200714288
bearmountain,bm13,2019,postfire,immediate,mass_100hr,0
bearmountain,bm13,2019,postfire,immediate,mass_cwd_sound,20.0015336768536
bearmountain,bm13,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm13,2019,postfire,immediate,total_fine,0.870268226047902
bearmountain,bm13,2019,postfire,immediate,total_cwd,20.0015336768536
bearmountain,bm13,2019,postfire,immediate,total_fuel,22.9914707510201
bearmountain,bm13,2019,postfire,immediate,duff_load,0.0390260131382845
bearmountain,bm13,2019,postfire,immediate,litter_load,2.08064283498037
bearmountain,bm13,2019,postfire,immediate,litter_depth_cm,0.65
bearmountain,bm13,2019,postfire,immediate,duff_depth_cm,0.00625
bearmountain,bm13,2019,prefire,"",mass_1hr,0.0643300158335087
bearmountain,bm13,2019,prefire,"",mass_10hr,0.328860086020409
bearmountain,bm13,2019,prefire,"",mass_100hr,0
