site,plotid,fuelType,prefire_NA,postfire_immediate,consumption_immediate
modoc,MOD016,total_fuel,5.146316638011149,2.417515461804107,2.7288011762070425
modoc,MOD016,duff_load,1.6657954262688415,0,1.6657954262688415
modoc,MOD016,litter_load,1.4455075096398682,0.8351821166808138,0.6103253929590544
modoc,MOD016,litter_depth_cm,1.124999999999999,0.6500000000000007,0.4749999999999982
modoc,MOD016,duff_depth_cm,0.2625000000000003,0,0.2625000000000003
modoc,MOD016,fuel_depth_cm,1.1124999999999972,0.912499999999999,0.19999999999999818
modoc,MOD017,mass_1hr,1.8304356734204619,0.12305449905347612,1.7073811743669858
modoc,MOD017,mass_10hr,2.012519211655623,1.3022183134242264,0.7103008982313965
modoc,MOD017,mass_100hr,0.6274653701190249,0.8366204934920316,-0.20915512337300668
modoc,MOD017,mass_cwd_sound,0,0,0
modoc,MOD017,mass_cwd_rotten,0,0,0
modoc,MOD017,total_fine,4.470420255195103,2.2618933059697275,2.2085269492253756
modoc,MOD017,total_cwd,0,0,0
modoc,MOD017,total_fuel,6.020797430180857,5.1744776037980085,0.8463198263828486
modoc,MOD017,duff_load,0,0.3854695026015049,-0.3854695026015049
modoc,MOD017,litter_load,1.5503771749857473,2.527114795226769,-0.9767376202410216
modoc,MOD017,litter_depth_cm,1.25,2.037499999999999,-0.7874999999999992
modoc,MOD017,duff_depth_cm,0,0.0625,-0.0625
modoc,MOD017,fuel_depth_cm,9.962499999999995,1.5999999999999996,8.362499999999995
modoc,MOD018,mass_1hr,0.6263968051825778,0.3994569819485295,0.22693982323404827
modoc,MOD018,mass_10hr,1.1325165520884515,0.9143756392955541,0.21814091279289738
modoc,MOD018,mass_100hr,1.7946270624382592,0.7976120277503383,0.9970150346879209
modoc,MOD018,mass_cwd_sound,0,0,0
modoc,MOD018,mass_cwd_rotten,0,0,0
modoc,MOD018,total_fine,3.5535404197092872,2.111444648994421,1.4420957707148663
modoc,MOD018,total_cwd,0,0,0
modoc,MOD018,total_fuel,12.363644518817837,9.296522537873967,3.0671219809438703
modoc,MOD018,duff_load,5.714925536034628,3.6738807017365476,2.0410448342980807
modoc,MOD018,litter_load,3.0951785630739237,3.5111971871429986,-0.41601862406907486
modoc,MOD018,litter_depth_cm,2.3249999999999997,2.6374999999999993,-0.31249999999999956
modoc,MOD018,duff_depth_cm,0.8749999999999998,0.5625,0.3124999999999998
modoc,MOD018,fuel_depth_cm,2.3249999999999997,2.1624999999999996,0.1625000000000001
modoc,MOD019,mass_1hr,0.11262847833409308,0.20965439797384217,-0.09702591963974909
modoc,MOD019,mass_10hr,1.0805977262646609,0.7225464692506676,0.3580512570139933
modoc,MOD019,mass_100hr,1.9041418951597688,1.692570573475348,0.21157132168442083
modoc,MOD019,mass_cwd_sound,0,0,0
modoc,MOD019,mass_cwd_rotten,0,0,0
modoc,MOD019,total_fine,3.097368099758526,2.624771440699862,0.4725966590586639
modoc,MOD019,total_cwd,0,0,0
modoc,MOD019,total_fuel,6.488751368572777,7.36045679655673,-0.8717054279839527
modoc,MOD019,duff_load,0.5648521053336392,2.6359764915569834,-2.071124386223344
modoc,MOD019,litter_load,2.8265311634806154,2.0997088642998856,0.7268222991807298
modoc,MOD019,litter_depth_cm,2.1875,1.625,0.5625
modoc,MOD019,duff_depth_cm,0.09375,0.4375,-0.34375
modoc,MOD019,fuel_depth_cm,6.175,1.7874999999999979,4.387500000000002
modoc,MOD020,mass_1hr,0.22686945966765926,0.17645402418595718,0.050415435481702076
modoc,MOD020,mass_10hr,0.11086308457038414,0.44345233828153563,-0.3325892537111515
modoc,MOD020,mass_100hr,0,0,0
modoc,MOD020,mass_cwd_sound,0,0,0
modoc,MOD020,mass_cwd_rotten,0,0,0
modoc,MOD020,total_fine,0.3377325442380426,0.6199063624674919,-0.28217381822944926
modoc,MOD020,total_cwd,0,0,0
modoc,MOD020,total_fuel,17.885252534298246,10.22096550610993,7.6642870281883155
modoc,MOD020,duff_load,13.972691580880733,5.821954825366973,8.15073675551376
modoc,MOD020,litter_load,3.574828409179492,3.7791043182754644,-0.20427590909597226
modoc,MOD020,litter_depth_cm,2.625000000000004,2.775,-0.14999999999999591
modoc,MOD020,duff_depth_cm,2.0999999999999956,0.875,1.2249999999999956
modoc,MOD020,fuel_depth_cm,2.2750000000000004,2.2750000000000004,0
modoc,MOD021,mass_1hr,0.4334564972776774,0.25284962341197764,0.18060687386569974
modoc,MOD021,mass_10hr,1.3854348675136112,1.0075889945553524,0.3778458729582588
modoc,MOD021,mass_100hr,1.326753800362978,2.65350760072595,-1.3267538003629722
modoc,MOD021,mass_cwd_sound,2.667311324542669,2.692333006761639,-0.025021682218969943
modoc,MOD021,mass_cwd_rotten,0,0,0
modoc,MOD021,total_fine,3.145645165154267,3.9139462186932894,-0.7683010535390222
modoc,MOD021,total_cwd,2.667311324542669,2.692333006761639,-0.025021682218969943
modoc,MOD021,total_fuel,8.46642286900728,14.17594481302296,-5.70952194401568
modoc,MOD021,duff_load,0,4.469299607531759,-4.469299607531759
modoc,MOD021,litter_load,2.6534663793103443,3.1003659800363,-0.4468996007259558
modoc,MOD021,litter_depth_cm,2.375,2.7750000000000017,-0.4000000000000017
modoc,MOD021,duff_depth_cm,0,0.7874999999999999,-0.7874999999999999
modoc,MOD021,fuel_depth_cm,9.212499999999997,2.2375000000000016,6.974999999999995
modoc,MOD022,mass_1hr,0.13641877978201633,0.12789260604564015,0.00852617373637618
modoc,MOD022,mass_10hr,1.3858899184972675,0.7462484176523742,0.6396415008448934
modoc,MOD022,mass_100hr,0,0.6911946558073065,-0.6911946558073065
modoc,MOD022,mass_cwd_sound,0,0,0
modoc,MOD022,mass_cwd_rotten,0,0,0
modoc,MOD022,total_fine,1.5223086982792837,1.5653356795053237,-0.043026981226039984
modoc,MOD022,total_cwd,0,0,0
modoc,MOD022,total_fuel,16.601177207145764,20.431934244387346,-3.8307570372415825
modoc,MOD022,duff_load,6.879603760751544,11.79360644700266,-4.9140026862511155
modoc,MOD022,litter_load,8.199264748114935,7.072992117879361,1.1262726302355741
modoc,MOD022,litter_depth_cm,2.274999999999999,1.9625000000000008,0.3124999999999982
modoc,MOD022,duff_depth_cm,1.1374999999999993,1.9499999999999993,-0.8125
modoc,MOD022,fuel_depth_cm,2.3874999999999984,2.0749999999999997,0.31249999999999867
modoc,MOD023,mass_1hr,0.10987651600277556,0,0.10987651600277556
modoc,MOD023,mass_10hr,0.8478367727870485,1.090075850726204,-0.24223907793915556
modoc,MOD023,mass_100hr,1.267609253695023,2.535218507390047,-1.2676092536950239
modoc,MOD023,mass_cwd_sound,0,1.164111067150115,-1.164111067150115
modoc,MOD023,mass_cwd_rotten,0,0,0
modoc,MOD023,total_fine,2.2253225424848475,3.625294358116248,-1.3999718156314005
modoc,MOD023,total_cwd,0,1.164111067150115,-1.164111067150115
modoc,MOD023,total_fuel,9.29362674581917,11.201588270755439,-1.907961524936269
modoc,MOD023,duff_load,3.964331057747388,3.2435435927024034,0.7207874650449844
modoc,MOD023,litter_load,3.1039731455869353,3.1686392527866616,-0.06466610719972632
modoc,MOD023,litter_depth_cm,1.7999999999999994,1.8374999999999986,-0.0374999999999992
modoc,MOD023,duff_depth_cm,0.6875,0.5625,0.125
modoc,MOD023,fuel_depth_cm,1.6999999999999997,2.0749999999999997,-0.375
modoc,MOD024,mass_1hr,0.29401330189921354,0.029401330189921374,0.2646119717092922
modoc,MOD024,mass_10hr,1.587888329958428,1.1909162474688215,0.3969720824896066
modoc,MOD024,mass_100hr,3.3073116907845255,2.480483768088392,0.8268279226961335
modoc,MOD024,mass_cwd_sound,3.4010698657710963,1.78307943437756,1.6179904313935363
modoc,MOD024,mass_cwd_rotten,0,0,0
modoc,MOD024,total_fine,5.189213322642165,3.700801345747136,1.488411976895029
modoc,MOD024,total_cwd,3.4010698657710963,1.78307943437756,1.6179904313935363
modoc,MOD024,total_fuel,11.728504284133018,9.819580978158571,1.9089233059744473
modoc,MOD024,duff_load,0,0,0
modoc,MOD024,litter_load,3.1382210957197594,4.335700198033876,-1.1974791023141163
modoc,MOD024,litter_depth_cm,1.5833333333333326,2.1875,-0.6041666666666674
modoc,MOD024,duff_depth_cm,0,0,0
modoc,MOD024,fuel_depth_cm,5.966666666666664,1.7625,4.204166666666664
riolindo,RIO001,mass_1hr,0.6227567202256917,0.17413767867172175,0.44861904155397
riolindo,RIO001,mass_10hr,2.9443313422127755,2.543384078008368,0.4009472642044076
riolindo,RIO001,mass_100hr,2.929914642468241,0,2.929914642468241
riolindo,RIO001,mass_cwd_sound,0,0,0
riolindo,RIO001,mass_cwd_rotten,0,0,0
riolindo,RIO001,total_fine,6.497002704906707,2.7175217566800893,3.779480948226618
riolindo,RIO001,total_cwd,0,0,0
riolindo,RIO001,total_fuel,17.98048060191215,5.481878135423283,12.498602466488865
riolindo,RIO001,duff_load,3.3649030172413794,0,3.3649030172413794
riolindo,RIO001,litter_load,8.118574879764063,2.764356378743193,5.3542185010208705
riolindo,RIO001,litter_depth_cm,5.5249999999999995,1.8812499999999996,3.64375
riolindo,RIO001,duff_depth_cm,0.47500000000000014,0,0.47500000000000014
riolindo,RIO001,fuel_depth_cm,5.4375,2.8187500000000005,2.6187499999999995
riolindo,RIO002,mass_1hr,0.3180120856646642,0.09030931578947364,0.22770276987519056
riolindo,RIO002,mass_10hr,1.8910243315321884,0.4166664827586209,1.4743578487735676
riolindo,RIO002,mass_100hr,2.929914642468241,0.5493589954627947,2.3805556470054463
riolindo,RIO002,mass_cwd_sound,0,0.5411288711795126,-0.5411288711795126
riolindo,RIO002,mass_cwd_rotten,0.2507358362912162,0,0.2507358362912162
riolindo,RIO002,total_fine,5.13895105966509,1.056334794010889,4.0826162656542015
riolindo,RIO002,total_cwd,0.2507358362912162,0.5411288711795126,-0.2903930348882964
riolindo,RIO002,total_fuel,29.185673833342882,12.411249961696754,16.77442387164613
riolindo,RIO002,duff_load,8.146607304900177,9.032108098911067,-0.8855007940108894
riolindo,RIO002,litter_load,15.649379632486385,1.7816781975952807,13.867701434891105
riolindo,RIO002,litter_depth_cm,10.65,1.2125000000000001,9.4375
riolindo,RIO002,duff_depth_cm,1.1500000000000008,1.2750000000000004,-0.12499999999999956
riolindo,RIO002,fuel_depth_cm,8.662500000000001,1.4625,7.200000000000001
riolindo,RIO003,mass_1hr,0.7278371751141172,0.21494925882645613,0.5128879162876611
riolindo,RIO003,mass_10hr,2.172787892663457,0.32680034049727813,1.8459875521661788
riolindo,RIO003,mass_100hr,0.7320973426711338,0.5835692985973943,0.14852804407373954
riolindo,RIO003,mass_cwd_sound,0,0.35834941494282513,-0.35834941494282513
riolindo,RIO003,mass_cwd_rotten,0,0,0
riolindo,RIO003,total_fine,3.632722410448708,1.1253188979211286,2.5074035125275795
riolindo,RIO003,total_cwd,0,0.35834941494282513,-0.35834941494282513
riolindo,RIO003,total_fuel,16.63014127684707,2.1548069117165025,14.475334365130568
riolindo,RIO003,duff_load,7.330026253865727,0,7.330026253865727
riolindo,RIO003,litter_load,5.667392612532636,0.671138598852549,4.996254013680087
riolindo,RIO003,litter_depth_cm,3.8,0.45,3.3499999999999996
riolindo,RIO003,duff_depth_cm,1.0375,0,1.0375
riolindo,RIO003,fuel_depth_cm,3.7374999999999994,0.5125,3.2249999999999996
riolindo,RIO004,mass_1hr,0.5622809406755983,0,0.5622809406755983
riolindo,RIO004,mass_10hr,1.2749185537483894,0.31872963843709734,0.956188915311292
riolindo,RIO004,mass_100hr,8.726942187756505,1.090867773469563,7.6360744142869414
riolindo,RIO004,mass_cwd_sound,5.083558000863658,0.8550996588721627,4.2284583419914945
riolindo,RIO004,mass_cwd_rotten,0.5131225125071942,0,0.5131225125071942
riolindo,RIO004,total_fine,10.564141682180493,1.4095974119066605,9.154544270273831
riolindo,RIO004,total_cwd,5.596680513370854,0.8550996588721627,4.741580854498691
riolindo,RIO004,total_fuel,47.983301808307026,4.647522384819136,43.33577942348789
riolindo,RIO004,duff_load,23.504442262085682,1.9658260801017124,21.53861618198397
riolindo,RIO004,litter_load,8.3180373506699965,0.4169992339386014,7.901038116731395
riolindo,RIO004,litter_depth_cm,4.7375,0.23749999999999988,4.5
riolindo,RIO004,duff_depth_cm,3.4375,0.2875000000000002,3.15
riolindo,RIO004,fuel_depth_cm,5.0125,0.6749999999999998,4.3375
riolindo,RIO005,mass_1hr,0.498937528005972,0.20430930136649744,0.2946282266394746
riolindo,RIO005,mass_10hr,2.717558563348869,1.0413685272169373,1.6761900361319315
riolindo,RIO005,mass_100hr,5.892268465969688,1.6480769863883848,4.244191479581303
riolindo,RIO005,mass_cwd_sound,1.9317802705306568,0.4134254267381912,1.5183548437924657
riolindo,RIO005,mass_cwd_rotten,2.2316057991905294,0,2.2316057991905294
riolindo,RIO005,total_fine,9.108764557324529,2.893754814971819,6.215009742352709
riolindo,RIO005,total_cwd,4.163386069721188,0.4134254267381912,3.749960642982997
riolindo,RIO005,total_fuel,52.26424199047584,5.2133345509205355,47.0509074395553
riolindo,RIO005,duff_load,27.27342445553539,1.5939014292196005,25.679523026315792
riolindo,RIO005,litter_load,11.718666907894733,0.3122528799909255,11.406414027903807
