site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
frenchmeadows,fm56,prefire,NA,total_fine,3.29425102097561
frenchmeadows,fm56,prefire,NA,total_cwd,1.29877671595079
frenchmeadows,fm56,prefire,NA,total_fuel,4.5930277369264
frenchmeadows,fm56,prefire,NA,litter_depth_cm,3.9
frenchmeadows,fm56,prefire,NA,duff_depth_cm,2.3375
frenchmeadows,fm56,prefire,NA,fuel_depth_cm,9.5
frenchmeadows,fm57,prefire,NA,mass_1hr,0.363317048780488
frenchmeadows,fm57,prefire,NA,mass_10hr,1.9469944097561
frenchmeadows,fm57,prefire,NA,mass_100hr,3.5970793902439
frenchmeadows,fm57,prefire,NA,total_fine,5.90739084878049
frenchmeadows,fm57,prefire,NA,total_cwd,6.84883719714548
frenchmeadows,fm57,prefire,NA,total_fuel,12.756228045926
frenchmeadows,fm57,prefire,NA,litter_depth_cm,6.5
frenchmeadows,fm57,prefire,NA,duff_depth_cm,5.6875
frenchmeadows,fm57,prefire,NA,fuel_depth_cm,19.825
frenchmeadows,fm62,prefire,NA,mass_1hr,0.526809720731707
frenchmeadows,fm62,prefire,NA,mass_10hr,2.36420749756098
frenchmeadows,fm62,prefire,NA,mass_100hr,2.21358731707317
frenchmeadows,fm62,prefire,NA,total_fine,5.10460453536585
frenchmeadows,fm62,prefire,NA,total_cwd,0.365084718325059
frenchmeadows,fm62,prefire,NA,total_fuel,5.46968925369091
frenchmeadows,fm62,prefire,NA,litter_depth_cm,3.9375
frenchmeadows,fm62,prefire,NA,duff_depth_cm,1.75
frenchmeadows,fm62,prefire,NA,fuel_depth_cm,19.4375
frenchmeadows,fm63,prefire,NA,mass_1hr,0.112628285121951
frenchmeadows,fm63,prefire,NA,mass_10hr,1.52978132195122
frenchmeadows,fm63,prefire,NA,mass_100hr,2.21358731707317
frenchmeadows,fm63,prefire,NA,total_fine,3.85599692414634
frenchmeadows,fm63,prefire,NA,total_cwd,5.51243545859864
frenchmeadows,fm63,prefire,NA,total_fuel,9.36843238274498
frenchmeadows,fm63,prefire,NA,litter_depth_cm,4.7
frenchmeadows,fm63,prefire,NA,duff_depth_cm,7.1125
frenchmeadows,fm63,prefire,NA,fuel_depth_cm,14.9
frenchmeadows,fm64,prefire,NA,mass_1hr,0.145326819512195
frenchmeadows,fm64,prefire,NA,mass_10hr,1.11256823414634
frenchmeadows,fm64,prefire,NA,mass_100hr,1.10679365853659
frenchmeadows,fm64,prefire,NA,total_fine,2.36468871219512
frenchmeadows,fm64,prefire,NA,total_cwd,0.911211906094863
frenchmeadows,fm64,prefire,NA,total_fuel,3.27590061828999
frenchmeadows,fm64,prefire,NA,litter_depth_cm,4.8125
frenchmeadows,fm64,prefire,NA,duff_depth_cm,6.475
frenchmeadows,fm64,prefire,NA,fuel_depth_cm,69.0625
frenchmeadows,fm68,prefire,NA,mass_1hr,0.159859501463415
frenchmeadows,fm68,prefire,NA,mass_10hr,0.486748602439024
frenchmeadows,fm68,prefire,NA,mass_100hr,0
frenchmeadows,fm68,prefire,NA,total_fine,0.646608103902439
frenchmeadows,fm68,prefire,NA,total_cwd,0
frenchmeadows,fm68,prefire,NA,total_fuel,0.646608103902439
frenchmeadows,fm68,prefire,NA,litter_depth_cm,1.2
frenchmeadows,fm68,prefire,NA,duff_depth_cm,0
frenchmeadows,fm68,prefire,NA,fuel_depth_cm,14.075
frenchmeadows,fm69,prefire,NA,mass_1hr,0.276120957073171
frenchmeadows,fm69,prefire,NA,mass_10hr,0.834426175609756
frenchmeadows,fm69,prefire,NA,mass_100hr,1.10679365853659
frenchmeadows,fm69,prefire,NA,total_fine,2.21734079121951
frenchmeadows,fm69,prefire,NA,total_cwd,8.85809615631071
frenchmeadows,fm69,prefire,NA,total_fuel,11.0754369475302
frenchmeadows,fm69,prefire,NA,litter_depth_cm,2.9375
frenchmeadows,fm69,prefire,NA,duff_depth_cm,1.25
frenchmeadows,fm69,prefire,NA,fuel_depth_cm,16.6375
henrycoe,HENRY001,prefire,NA,mass_1hr,0.0944624326829268
henrycoe,HENRY001,prefire,NA,mass_10hr,1.04303271951219
henrycoe,HENRY001,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY001,prefire,NA,total_fine,1.41419356682927
henrycoe,HENRY001,prefire,NA,total_cwd,1.18325174158213
henrycoe,HENRY001,prefire,NA,total_fuel,2.5974453084114
henrycoe,HENRY001,prefire,NA,litter_depth_cm,11.2
henrycoe,HENRY001,prefire,NA,duff_depth_cm,3.625
henrycoe,HENRY001,prefire,NA,fuel_depth_cm,17.5625
henrycoe,HENRY002,prefire,NA,mass_1hr,0.0508643868292683
henrycoe,HENRY002,prefire,NA,mass_10hr,0.139071029268293
henrycoe,HENRY002,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY002,prefire,NA,total_fine,0.466633830731707
henrycoe,HENRY002,prefire,NA,total_cwd,1.96902358083315
henrycoe,HENRY002,prefire,NA,total_fuel,2.43565741156486
henrycoe,HENRY002,prefire,NA,litter_depth_cm,7.5375
henrycoe,HENRY002,prefire,NA,duff_depth_cm,4.425
henrycoe,HENRY002,prefire,NA,fuel_depth_cm,10.1
henrycoe,HENRY003,prefire,NA,mass_1hr,0.0980956031707317
henrycoe,HENRY003,prefire,NA,mass_10hr,0.834426175609756
henrycoe,HENRY003,prefire,NA,mass_100hr,0.276698414634146
henrycoe,HENRY003,prefire,NA,total_fine,1.20922019341463
