site,postFire_time,burn_unit,mass_1hr,mass_10hr,mass_100hr,total_fine,total_cwd,total_fuel,litter_depth_cm,duff_depth_cm,fuel_depth_cm
riolindo,prefire ,RIO,0.194576463902439,1.41388879756098,1.47572487804878,3.0841901395122,0.784638048375783,3.86882818788798,5.69305555555556,1.44861111111111,5.60277777777778
shaverlake,prefire ,A,0.274909900243902,1.43127267621951,1.54489948170732,3.25108205817073,4.13094702499393,7.38202908316466,4.12708333333333,1.78125,12.4791666666667
shaverlake,prefire ,B,0.276484274121951,1.72448076292683,1.8815492195122,3.88251425656098,1.22631470105763,5.10882895761861,2.60875,1.52583333333333,8.28975
shaverlake,prefire ,C,0.477761919146342,2.08606543902439,3.80460320121951,6.36843055939024,2.78521914661127,9.15364970600151,3.634375,2.78125,10.328125
slypark,postfire 1yr,spiA,0.078718693902439,1.41388879756098,1.98300530487805,3.47561279634146,0.616520592083963,4.09213338842543,2.55625,1.36666666666667,2.49791666666667
slypark,postfire 1yr,spiB,0.030518632097561,0.625819631707317,1.16213334146341,1.81847160526829,0.432016308210123,2.25048791347842,5.05,2.4375,5.655
springsfire,postfire 1yr,alpha,0.0274506214634146,0.216332712195122,0.153721341463415,0.397504675121951,0.160721110331679,0.55822578545363,1.225,0.0541666666666667,3.66111111111111
springsfire,postfire 1yr,bravo,0.020587966097561,0.18542803902439,0.276698414634146,0.482714419756098,0.129609131502266,0.612323551258364,0.8375,0.1125,0.941666666666667
springsfire,postfire 1yr,charlie,0.0263404860365854,0.434596966463415,0.760920640243903,1.2218580927439,0.0859470274390244,1.30780512018293,1.65,0.015625,7.08125
springsfire,postfire 1yr,controlA,0.0348784366829268,0.19469944097561,0.387377780487805,0.616955658146341,0.190396548402763,0.807352206549104,2.8775,0.22375,8.52
springsfire,postfire 1yr,controlB,0.0187713808536585,0.37085607804878,1.42960847560976,1.8192359345122,0.787803130058817,2.60703906457101,3.58333333333333,0.29375,7.22083333333333
springsfire,postfire 1yr,delta,0.0181658524390244,0.394034582926829,1.10679365853659,1.51899409390244,0.205360154057846,1.72435424796029,1.08333333333333,0.0104166666666667,5.51666666666667
springsfire,postfire 1yr,echo,0.00363317048780488,0,0.276698414634146,0.280331585121951,0.240128388733002,0.520459973854954,0.5875,0.0375,0.8625
springsfire,postfire 1yr,foxtrot,0.0319719002926829,0.125163926341463,0.442717463414634,0.599853290048781,0.722776471104036,1.32262976115282,1.1625,0.0125,3.8925
springsfire,postfire 1yr,golf,0.0123527796585366,0.250327852682927,0.0553396829268293,0.318020315268293,0.187164331696525,0.505184646964818,1.07875,0.08875,1.8625
springsfire,postfire 1yr,hotel,0.0172575598170732,0.295525937195122,0,0.312783497012195,0,0.312783497012195,0.715625,0.003125,59.853125
springsfire,postfire 1yr,,0.074479995,0.451980845121951,0.138349207317073,0.664810047439024,0.470578990057738,1.13538903749676,0.6078125,0,39.71875
sugarpinesp,prefire ,"",0.31245266195122,1.42547805,1.10679365853659,2.84472437048781,9.73361494644399,12.5783393169318,3.9375,1.03125,8.365625
valentine,postthin ,"",0.165056953689024,1.50901724466463,1.44882364329268,3.12289784164634,4.5690647016956,7.69196254334195,2.92300347222222,2.04782986111111,5.20963541666667
wilderranch,prefire ,"",0.408792232719512,1.16819664585366,1.07912381707317,2.65611269564634,4.39099834033699,7.04711103598333,7.28958333333333,4.93916666666667,7.47375
