site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsHA
bearmountain,bm1,2019,prefire,"",duff_load,1.1462164215755
bearmountain,bm1,2019,prefire,"",litter_load,7.7992967760143
bearmountain,bm1,2019,prefire,"",litter_depth_cm,1.875
bearmountain,bm1,2019,prefire,"",duff_depth_cm,0.1625
bearmountain,bm1,2021,postfire,2yr,mass_1hr,0.0500819403658594
bearmountain,bm1,2021,postfire,2yr,mass_10hr,0.811826164807443
bearmountain,bm1,2021,postfire,2yr,mass_100hr,0.845273131453339
bearmountain,bm1,2021,postfire,2yr,mass_cwd_sound,0
bearmountain,bm1,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm1,2021,postfire,2yr,total_fine,1.70718123662664
bearmountain,bm1,2021,postfire,2yr,total_cwd,0
bearmountain,bm1,2021,postfire,2yr,total_fuel,10.3384030020825
bearmountain,bm1,2021,postfire,2yr,duff_load,0
bearmountain,bm1,2021,postfire,2yr,litter_load,8.63122176545583
bearmountain,bm1,2021,postfire,2yr,litter_depth_cm,2.075
bearmountain,bm1,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm1,2021,postfire,2yr,fuel_depth_cm,1.9
bearmountain,bm10,2019,postfire,immediate,mass_1hr,0.0352995629988959
bearmountain,bm10,2019,postfire,immediate,mass_10hr,0
bearmountain,bm10,2019,postfire,immediate,mass_100hr,3.06515384988756
bearmountain,bm10,2019,postfire,immediate,mass_cwd_sound,3.47504407571457
bearmountain,bm10,2019,postfire,immediate,mass_cwd_rotten,0.250716149236543
bearmountain,bm10,2019,postfire,immediate,total_fine,3.10045341288645
bearmountain,bm10,2019,postfire,immediate,total_cwd,3.72576022495111
bearmountain,bm10,2019,postfire,immediate,total_fuel,9.99767107904015
bearmountain,bm10,2019,postfire,immediate,duff_load,0.488030060592308
bearmountain,bm10,2019,postfire,immediate,litter_load,2.68342738061028
bearmountain,bm10,2019,postfire,immediate,litter_depth_cm,1.24375
bearmountain,bm10,2019,postfire,immediate,duff_depth_cm,0.075
bearmountain,bm10,2019,prefire,"",mass_1hr,0.0352995629988959
bearmountain,bm10,2019,prefire,"",mass_10hr,0.262897802641639
bearmountain,bm10,2019,prefire,"",mass_100hr,0.76628846247189
bearmountain,bm10,2019,prefire,"",mass_cwd_sound,3.65775690886555
bearmountain,bm10,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm10,2019,prefire,"",total_fine,1.06448582811242
bearmountain,bm10,2019,prefire,"",total_cwd,3.65775690886555
bearmountain,bm10,2019,prefire,"",total_fuel,11.1542536968237
bearmountain,bm10,2019,prefire,"",duff_load,2.52148864639359
bearmountain,bm10,2019,prefire,"",litter_load,3.91052231345216
bearmountain,bm10,2019,prefire,"",litter_depth_cm,1.8125
bearmountain,bm10,2019,prefire,"",duff_depth_cm,0.3875
bearmountain,bm10,2021,postfire,2yr,mass_1hr,0.176497814994479
bearmountain,bm10,2021,postfire,2yr,mass_10hr,0.920142309245736
bearmountain,bm10,2021,postfire,2yr,mass_100hr,2.29886538741567
bearmountain,bm10,2021,postfire,2yr,mass_cwd_sound,1.95173708362051
bearmountain,bm10,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm10,2021,postfire,2yr,total_fine,3.39550551165588
bearmountain,bm10,2021,postfire,2yr,total_cwd,1.95173708362051
bearmountain,bm10,2021,postfire,2yr,total_fuel,9.66230169977533
bearmountain,bm10,2021,postfire,2yr,duff_load,0
bearmountain,bm10,2021,postfire,2yr,litter_load,4.31505910449894
bearmountain,bm10,2021,postfire,2yr,litter_depth_cm,2
bearmountain,bm10,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm10,2021,postfire,2yr,fuel_depth_cm,1.9625
bearmountain,bm11,2019,postfire,immediate,mass_1hr,0.263987609166893
bearmountain,bm11,2019,postfire,immediate,mass_10hr,0.339055577694167
bearmountain,bm11,2019,postfire,immediate,mass_100hr,0.8611426359595
bearmountain,bm11,2019,postfire,immediate,mass_cwd_sound,2.2896717388918
bearmountain,bm11,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm11,2019,postfire,immediate,total_fine,1.46418582282056
bearmountain,bm11,2019,postfire,immediate,total_cwd,2.2896717388918
bearmountain,bm11,2019,postfire,immediate,total_fuel,7.38629409761678
bearmountain,bm11,2019,postfire,immediate,duff_load,0.134256421029593
bearmountain,bm11,2019,postfire,immediate,litter_load,3.49818011487483
bearmountain,bm11,2019,postfire,immediate,litter_depth_cm,0.76875
bearmountain,bm11,2019,postfire,immediate,duff_depth_cm,0.01875
bearmountain,bm11,2019,prefire,"",mass_1hr,0.263987609166893
bearmountain,bm11,2019,prefire,"",mass_10hr,0.226037051796112
bearmountain,bm11,2019,prefire,"",mass_100hr,0.8611426359595
bearmountain,bm11,2019,prefire,"",mass_cwd_sound,0.492152017644152
bearmountain,bm11,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm11,2019,prefire,"",total_fine,1.3511672969225
bearmountain,bm11,2019,prefire,"",total_cwd,0.492152017644152
bearmountain,bm11,2019,prefire,"",total_fuel,11.4424104943355
bearmountain,bm11,2019,prefire,"",duff_load,1.83483775407111
bearmountain,bm11,2019,prefire,"",litter_load,7.76425342569778
bearmountain,bm11,2019,prefire,"",litter_depth_cm,1.70625
bearmountain,bm11,2019,prefire,"",duff_depth_cm,0.25625
bearmountain,bm11,2021,postfire,2yr,mass_1hr,0.596841551159932
bearmountain,bm11,2021,postfire,2yr,mass_10hr,0.565092629490279
bearmountain,bm11,2021,postfire,2yr,mass_100hr,1.722285271919
bearmountain,bm11,2021,postfire,2yr,mass_cwd_sound,0.990128319520778
bearmountain,bm11,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm11,2021,postfire,2yr,total_fine,2.88421945256921
bearmountain,bm11,2021,postfire,2yr,total_cwd,0.990128319520778
bearmountain,bm11,2021,postfire,2yr,total_fuel,9.73308845228685
bearmountain,bm11,2021,postfire,2yr,duff_load,0
bearmountain,bm11,2021,postfire,2yr,litter_load,5.85874068019686
bearmountain,bm11,2021,postfire,2yr,litter_depth_cm,1.2875
bearmountain,bm11,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm11,2021,postfire,2yr,fuel_depth_cm,1.2
bearmountain,bm12,2019,postfire,immediate,mass_1hr,0.11999577358539
bearmountain,bm12,2019,postfire,immediate,mass_10hr,1.66260437663052
bearmountain,bm12,2019,postfire,immediate,mass_100hr,0.634801198961489
bearmountain,bm12,2019,postfire,immediate,mass_cwd_sound,7.2706810194463
bearmountain,bm12,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm12,2019,postfire,immediate,total_fine,2.4174013491774
bearmountain,bm12,2019,postfire,immediate,total_cwd,7.2706810194463
bearmountain,bm12,2019,postfire,immediate,total_fuel,11.0493412516032
bearmountain,bm12,2019,postfire,immediate,duff_load,0.0389885412278417
bearmountain,bm12,2019,postfire,immediate,litter_load,1.32227034175169
bearmountain,bm12,2019,postfire,immediate,litter_depth_cm,1.0125
bearmountain,bm12,2019,postfire,immediate,duff_depth_cm,0.00625
bearmountain,bm12,2019,prefire,"",mass_1hr,0.884968830192249
bearmountain,bm12,2019,prefire,"",mass_10hr,2.07825547078815
bearmountain,bm12,2019,prefire,"",mass_100hr,6.34801198961489
bearmountain,bm12,2019,prefire,"",mass_cwd_sound,34.0590883521215
bearmountain,bm12,2019,prefire,"",mass_cwd_rotten,0.642829963974467
bearmountain,bm12,2019,prefire,"",total_fine,9.31123629059529
bearmountain,bm12,2019,prefire,"",total_cwd,34.701918316096
bearmountain,bm12,2019,prefire,"",total_fuel,51.8957887926964
bearmountain,bm12,2019,prefire,"",duff_load,5.10749890084726
bearmountain,bm12,2019,prefire,"",litter_load,2.77513528515786
bearmountain,bm12,2019,prefire,"",litter_depth_cm,2.125
bearmountain,bm12,2019,prefire,"",duff_depth_cm,0.81875
bearmountain,bm12,2021,postfire,2yr,mass_1hr,0.254991018868953
bearmountain,bm12,2021,postfire,2yr,mass_10hr,0.831302188315261
bearmountain,bm12,2021,postfire,2yr,mass_100hr,0.634801198961489
bearmountain,bm12,2021,postfire,2yr,mass_cwd_sound,2.48034006341424
bearmountain,bm12,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm12,2021,postfire,2yr,total_fine,1.7210944061457
bearmountain,bm12,2021,postfire,2yr,total_cwd,2.48034006341424
bearmountain,bm12,2021,postfire,2yr,total_fuel,8.23354279564224
bearmountain,bm12,2021,postfire,2yr,duff_load,0
bearmountain,bm12,2021,postfire,2yr,litter_load,4.0321083260823
bearmountain,bm12,2021,postfire,2yr,litter_depth_cm,3.0875
bearmountain,bm12,2021,postfire,2yr,duff_depth_cm,0
bearmountain,bm12,2021,postfire,2yr,fuel_depth_cm,2.5375
bearmountain,bm13,2019,postfire,immediate,mass_1hr,0.113426683917643
bearmountain,bm13,2019,postfire,immediate,mass_10hr,0.845608901187146
bearmountain,bm13,2019,postfire,immediate,mass_100hr,0
bearmountain,bm13,2019,postfire,immediate,mass_cwd_sound,5.51042252797316
bearmountain,bm13,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,bm13,2019,postfire,immediate,total_fine,0.959035585104788
bearmountain,bm13,2019,postfire,immediate,total_cwd,5.51042252797316
bearmountain,bm13,2019,postfire,immediate,total_fuel,8.80533318370471
bearmountain,bm13,2019,postfire,immediate,duff_load,0.0430066664783895
bearmountain,bm13,2019,postfire,immediate,litter_load,2.29286840414837
bearmountain,bm13,2019,postfire,immediate,litter_depth_cm,0.65
bearmountain,bm13,2019,postfire,immediate,duff_depth_cm,0.00625
bearmountain,bm13,2019,prefire,"",mass_1hr,0.0708916774485266
bearmountain,bm13,2019,prefire,"",mass_10hr,0.362403814794491
bearmountain,bm13,2019,prefire,"",mass_100hr,0
bearmountain,bm13,2019,prefire,"",mass_cwd_sound,2.47739890160956
bearmountain,bm13,2019,prefire,"",mass_cwd_rotten,0
bearmountain,bm13,2019,prefire,"",total_fine,0.433295492243018
bearmountain,bm13,2019,prefire,"",total_cwd,2.47739890160956
bearmountain,bm13,2019,prefire,"",total_fuel,15.7186410415536
bearmountain,bm13,2019,prefire,"",duff_load,2.66641332166015
bearmountain,bm13,2019,prefire,"",litter_load,10.1415333260409
bearmountain,bm13,2019,prefire,"",litter_depth_cm,2.875
bearmountain,bm13,2019,prefire,"",duff_depth_cm,0.3875
bearmountain,bm13,2021,postfire,2yr,mass_1hr,0.113426683917643
bearmountain,bm13,2021,postfire,2yr,mass_10hr,0.966410172785309
bearmountain,bm13,2021,postfire,2yr,mass_100hr,1.63983784400572
bearmountain,bm13,2021,postfire,2yr,mass_cwd_sound,7.09567142050598
bearmountain,bm13,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,bm13,2021,postfire,2yr,total_fine,2.71967470070868
bearmountain,bm13,2021,postfire,2yr,total_cwd,7.09567142050598
bearmountain,bm13,2021,postfire,2yr,total_fuel,13.2987423505939
