site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
BearMountain,BM13,prefire,NA,total_fine,0.0918106867779204
BearMountain,BM13,prefire,NA,total_cwd,0
BearMountain,BM13,prefire,NA,total_fuel,0.0918106867779204
BearMountain,BM13,prefire,NA,litter_depth_cm,2.875
BearMountain,BM13,prefire,NA,duff_depth_cm,0.3875
BearMountain,BM13,prefire,NA,fuel_depth_cm,
BearMountain,BM14,postfire,2yr,mass_1hr,0.0102964345808235
BearMountain,BM14,postfire,2yr,mass_10hr,0.281520302162536
BearMountain,BM14,postfire,2yr,mass_100hr,0.112023649649452
BearMountain,BM14,postfire,2yr,total_fine,0.403840386392811
BearMountain,BM14,postfire,2yr,total_cwd,0
BearMountain,BM14,postfire,2yr,total_fuel,0.403840386392811
BearMountain,BM14,postfire,2yr,litter_depth_cm,1.225
BearMountain,BM14,postfire,2yr,duff_depth_cm,0
BearMountain,BM14,postfire,2yr,fuel_depth_cm,1.2375
BearMountain,BM14,postfire,NA,mass_1hr,0.0411857383232942
BearMountain,BM14,postfire,NA,mass_10hr,0.140760151081268
BearMountain,BM14,postfire,NA,mass_100hr,0.112023649649452
BearMountain,BM14,postfire,NA,total_fine,0.293969539054014
BearMountain,BM14,postfire,NA,total_cwd,0
BearMountain,BM14,postfire,NA,total_fuel,0.293969539054014
BearMountain,BM14,postfire,NA,litter_depth_cm,0.5875
BearMountain,BM14,postfire,NA,duff_depth_cm,0.01875
BearMountain,BM14,postfire,NA,fuel_depth_cm,
BearMountain,BM14,prefire,NA,mass_1hr,0.0117673538066555
BearMountain,BM14,prefire,NA,mass_10hr,0.0563040604325072
BearMountain,BM14,prefire,NA,mass_100hr,0.112023649649452
BearMountain,BM14,prefire,NA,total_fine,0.180095063888615
BearMountain,BM14,prefire,NA,total_cwd,0
BearMountain,BM14,prefire,NA,total_fuel,0.180095063888615
BearMountain,BM14,prefire,NA,litter_depth_cm,0.4625
BearMountain,BM14,prefire,NA,duff_depth_cm,0.275
BearMountain,BM14,prefire,NA,fuel_depth_cm,
BearMountain,BM15,postfire,2yr,mass_1hr,0.0279474652908068
BearMountain,BM15,postfire,2yr,mass_10hr,0.337824362595043
BearMountain,BM15,postfire,2yr,mass_100hr,0.336070948948356
BearMountain,BM15,postfire,2yr,total_fine,0.701842776834206
BearMountain,BM15,postfire,2yr,total_cwd,0
BearMountain,BM15,postfire,2yr,total_fuel,0.701842776834206
BearMountain,BM15,postfire,2yr,litter_depth_cm,1.6125
BearMountain,BM15,postfire,2yr,duff_depth_cm,0
BearMountain,BM15,postfire,2yr,fuel_depth_cm,2.5625
BearMountain,BM15,postfire,NA,mass_1hr,0.044127576774958
BearMountain,BM15,postfire,NA,mass_10hr,0.422280453243804
BearMountain,BM15,postfire,NA,mass_100hr,0.336070948948356
BearMountain,BM15,postfire,NA,total_fine,0.802478978967118
BearMountain,BM15,postfire,NA,total_cwd,0
BearMountain,BM15,postfire,NA,total_fuel,0.802478978967118
BearMountain,BM15,postfire,NA,litter_depth_cm,1.06875
BearMountain,BM15,postfire,NA,duff_depth_cm,0.33125
