plotID_fuel,time_fire,mass_tonsHA
bearmountain bm17 mass_cwd_sound,postfire_immediate,13.9730905199336
bearmountain bm17 mass_cwd_rotten,postfire_immediate,0
bearmountain bm17 total_fine,postfire_immediate,3.9877944
bearmountain bm17 total_cwd,postfire_immediate,13.9730905199336
bearmountain bm17 total_fuel,postfire_immediate,20.2625141555586
bearmountain bm17 duff_load,postfire_immediate,0.975821875
bearmountain bm17 litter_load,postfire_immediate,1.325807360625
bearmountain bm17 litter_depth_cm,postfire_immediate,0.81875
bearmountain bm17 duff_depth_cm,postfire_immediate,0.125
bearmountain bm17 mass_1hr,prefire_,0.243273228
bearmountain bm17 mass_10hr,prefire_,1.377499392
bearmountain bm17 mass_100hr,prefire_,6.05393613
bearmountain bm17 mass_cwd_sound,prefire_,16.232152397323
bearmountain bm17 mass_cwd_rotten,prefire_,0
bearmountain bm17 total_fine,prefire_,7.67470875
bearmountain bm17 total_cwd,prefire_,16.232152397323
bearmountain bm17 total_fuel,prefire_,35.090421089198
bearmountain bm17 duff_load,prefire_,8.44085921875
bearmountain bm17 litter_load,prefire_,2.742700723125
bearmountain bm17 litter_depth_cm,prefire_,1.69375
bearmountain bm17 duff_depth_cm,prefire_,1.08125
bearmountain bm18 mass_1hr,postfire_immediate,0.207418827509827
bearmountain bm18 mass_10hr,postfire_immediate,0.74520293120572
bearmountain bm18 mass_100hr,postfire_immediate,5.2841844751618
bearmountain bm18 mass_cwd_sound,postfire_immediate,1.37914499810517
bearmountain bm18 mass_cwd_rotten,postfire_immediate,0
bearmountain bm18 total_fine,postfire_immediate,6.23680623387734
bearmountain bm18 total_cwd,postfire_immediate,1.37914499810517
bearmountain bm18 total_fuel,postfire_immediate,21.2085975170981
bearmountain bm18 duff_load,postfire_immediate,7.02691993021207
bearmountain bm18 litter_load,postfire_immediate,6.56572635490351
bearmountain bm18 litter_depth_cm,postfire_immediate,1.25
bearmountain bm18 duff_depth_cm,postfire_immediate,0.94375
bearmountain bm18 mass_1hr,prefire_,0.378764815452728
bearmountain bm18 mass_10hr,prefire_,2.66143904002043
bearmountain bm18 mass_100hr,prefire_,4.40348706263483
bearmountain bm18 mass_cwd_sound,prefire_,3.12460444269525
bearmountain bm18 mass_cwd_rotten,prefire_,0
bearmountain bm18 total_fine,prefire_,7.44369091810799
bearmountain bm18 total_cwd,prefire_,3.12460444269525
bearmountain bm18 total_fuel,prefire_,26.0654734549593
bearmountain bm18 duff_load,prefire_,3.35058433758456
bearmountain bm18 litter_load,prefire_,12.1465937565715
bearmountain bm18 litter_depth_cm,prefire_,2.3125
bearmountain bm18 duff_depth_cm,prefire_,0.45
bearmountain bm19 mass_1hr,postfire_immediate,0.0291039002064527
bearmountain bm19 mass_10hr,postfire_immediate,0.324342811582269
bearmountain bm19 mass_100hr,postfire_immediate,0
bearmountain bm19 mass_cwd_sound,postfire_immediate,3.81426047687469
bearmountain bm19 mass_cwd_rotten,postfire_immediate,0
bearmountain bm19 total_fine,postfire_immediate,0.353446711788721
bearmountain bm19 total_cwd,postfire_immediate,3.81426047687469
bearmountain bm19 total_fuel,postfire_immediate,9.04736716845854
bearmountain bm19 duff_load,postfire_immediate,0
bearmountain bm19 litter_load,postfire_immediate,4.87965997979513
bearmountain bm19 litter_depth_cm,postfire_immediate,0.9375
bearmountain bm19 duff_depth_cm,postfire_immediate,0
bearmountain bm19 mass_1hr,prefire_,0.126116900894628
