site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE12,2020,prefire,NA,litter_load,1.1310213881019828
antelope,ANTELOPE12,2020,prefire,NA,litter_depth_cm,1.75
antelope,ANTELOPE12,2020,prefire,NA,duff_depth_cm,8.9625
antelope,ANTELOPE12,2020,prefire,NA,fuel_depth_cm,10.5375
antelope,ANTELOPE13,2020,prefire,NA,mass_1hr,0.020446396195872116
antelope,ANTELOPE13,2020,prefire,NA,mass_10hr,0.1768163193039255
antelope,ANTELOPE13,2020,prefire,NA,mass_100hr,2.4723247430190205
antelope,ANTELOPE13,2020,prefire,NA,mass_cwd_sound,0.46652465670360244
antelope,ANTELOPE13,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE13,2020,prefire,NA,total_fine,2.6695874585188184
antelope,ANTELOPE13,2020,prefire,NA,total_cwd,0.46652465670360244
antelope,ANTELOPE13,2020,prefire,NA,total_fuel,9.202805230863861
antelope,ANTELOPE13,2020,prefire,NA,duff_load,4.66099510471469
antelope,ANTELOPE13,2020,prefire,NA,litter_load,1.4056980109267503
antelope,ANTELOPE13,2020,prefire,NA,litter_depth_cm,2.175
antelope,ANTELOPE13,2020,prefire,NA,duff_depth_cm,1.5125
antelope,ANTELOPE13,2020,prefire,NA,fuel_depth_cm,3.5375
antelope,ANTELOPE14,2020,prefire,NA,mass_1hr,0.06645078763658438
antelope,ANTELOPE14,2020,prefire,NA,mass_10hr,0.3094285587818697
antelope,ANTELOPE14,2020,prefire,NA,mass_100hr,1.2361623715095102
antelope,ANTELOPE14,2020,prefire,NA,mass_cwd_sound,0.6300979475858005
antelope,ANTELOPE14,2020,prefire,NA,mass_cwd_rotten,1.712560151294843
antelope,ANTELOPE14,2020,prefire,NA,total_fine,1.6120417179279645
antelope,ANTELOPE14,2020,prefire,NA,total_cwd,2.3426580988806434
antelope,ANTELOPE14,2020,prefire,NA,total_fuel,32.12532393609229
antelope,ANTELOPE14,2020,prefire,NA,duff_load,27.079996352185344
antelope,ANTELOPE14,2020,prefire,NA,litter_load,1.0906277670983404
antelope,ANTELOPE14,2020,prefire,NA,litter_depth_cm,1.6875
antelope,ANTELOPE14,2020,prefire,NA,duff_depth_cm,8.7875
