site,Plot ID,year,species_id,status,lifeform,layer_code,percent,notes
slypark,hcp10,2019,hial,live,FB,,tr,
slypark,hcp4,2019,hial,live,FB,,tr,
slypark,spi11,2019,hial,live,FB,,tr,
slypark,spi4,2019,hial,live,FB,,tr,
slypark,spi5,2019,hial,live,FB,,tr,
slypark,spi6,2019,hial,live,FB,,tr,
slypark,spi7,2019,hial,live,FB,,tr,
slypark,hcp10,2019,hiho,live,FB,,tr,
slypark,hcp5,2019,hortri,live,FB,,tr,
slypark,hcp1,2019,irha,live,FB,,tr,
slypark,hcp2,2019,irha,live,FB,,tr,
slypark,hcp3,2019,irha,live,FB,,tr,
slypark,hcp4,2019,irha,live,FB,,tr,
slypark,hcp6,2019,irha,dead,FB,,tr,
slypark,hcp6,2019,irha,live,FB,,tr,
slypark,spi1,2019,irha,live,FB,,tr,not flowering
slypark,spi10,2019,irha,live,FB,,tr,
slypark,spi11,2019,irha,live,FB,,tr,
slypark,spi5,2019,irha,live,FB,,tr,
slypark,spi6,2019,irha,live,FB,,tr,
slypark,spi7,2019,irha,live,FB,,tr,
slypark,spi8,2019,irha,live,FB,,tr,
slypark,spi9,2019,irha,live,FB,,tr,
slypark,spi2,2019,irha,live,FB,,tr,not flowering
slypark,spi3,2019,irha,live,FB,,tr,
slypark,spi4,2019,irha,live,FB,,tr,
slypark,spi2,2019,kega,live,FB,,tr,
slypark,spi5,2019,kega,live,FB,,tr,
slypark,spi6,2019,kega,live,FB,,tr,
slypark,spi7,2019,kega,live,FB,,tr,
slypark,spi8,2019,kega,live,FB,,tr,
slypark,spi2,2019,lane,live,FB,,tr,
slypark,spi3,2019,lane,live,FB,,tr,
slypark,hcp5,2019,lane,live,FB,,tr,
slypark,hcp6,2019,lane,live,FB,,tr,
slypark,hcp7,2019,lane,live,FB,,tr,
slypark,spi1,2019,lane,live,FB,,tr,
slypark,spi10,2019,lane,live,FB,,tr,
slypark,spi11,2019,lane,live,FB,,tr,
slypark,spi4,2019,lane,live,FB,,tr,
slypark,spi4,2019,lane,live,FB,,tr,fuzzy leaves no notch
slypark,spi6,2019,lane,live,FB,,tr,
slypark,spi7,2019,lane,live,FB,,tr,
slypark,spi8,2019,lane,live,FB,,tr,
slypark,hcp2,2019,lasu,live,FB,,tr,
slypark,spi11,2019,lasu,live,FB,,tr,
slypark,spi4,2019,lasu,live,FB,,tr,lotus oblongifolius
slypark,spi7,2019,lasu,live,FB,,tr,
slypark,hcp7,2019,leci,live,FB,,tr,
slypark,hcp7,2019,lopu,live,FB,,tr,
slypark,hcp8,2019,lopu,live,FB,,tr,
slypark,spi11,2019,lopu,live,FB,,tr,
slypark,spi9,2019,lopu,live,FB,,tr,
slypark,spi10,2019,lualc,live,FB,,tr,
slypark,spi9,2019,lualc,live,FB,,tr,
slypark,spi10,2019,lualf,live,FB,,7,
slypark,spi10,2019,lualf,dead,FB,,tr,
slypark,hcp10,2019,luzcom,live,GR,,tr,
slypark,hcp11,2019,luzcom,live,GR,,tr,
slypark,hcp2,2019,luzcom,live,GR,,tr,
slypark,hcp3,2019,luzcom,live,GR,,tr,
slypark,hcp7,2019,luzcom,live,GR,,tr,
slypark,hcp8,2019,luzcom,live,GR,,tr,
slypark,hcp9,2019,luzcom,live,GR,,tr,
slypark,spi1,2019,luzcom,live,GR,,tr,
slypark,spi11,2019,luzcom,live,GR,,tr,
slypark,spi4,2019,luzcom,live,GR,,tr,
slypark,spi5,2019,luzcom,live,GR,,tr,
slypark,spi6,2019,luzcom,live,GR,,tr,
slypark,spi7,2019,luzcom,live,GR,,tr,
slypark,spi8,2019,luzcom,live,GR,,tr,
slypark,spi9,2019,luzcom,live,GR,,tr,
slypark,hcp1,2019,mael,live,FB,,tr,
slypark,hcp10,2019,mael,live,FB,,tr,
slypark,hcp10,2019,mael,live,FB,,tr,
slypark,hcp11,2019,mael,live,FB,,tr,
slypark,hcp2,2019,mael,live,FB,,tr,
slypark,hcp5,2019,mael,live,FB,,1,
slypark,hcp6,2019,mael,live,FB,,tr,
slypark,hcp9,2019,mael,live,FB,,tr,
slypark,spi1,2019,mael,live,FB,,tr,
slypark,spi10,2019,mael,live,FB,,tr,
slypark,spi11,2019,mael,live,FB,,tr,
slypark,spi2,2019,mael,live,FB,,tr,
slypark,spi3,2019,mael,live,FB,,tr,could be small magr
slypark,spi4,2019,mael,live,FB,,tr,
slypark,spi5,2019,mael,live,FB,,tr,
slypark,spi6,2019,mael,live,FB,,tr,
slypark,spi7,2019,mael,live,FB,,tr,
slypark,spi8,2019,mael,live,FB,,tr,
slypark,spi9,2019,mael,live,FB,,tr,
slypark,hcp5,2019,magr,live,FB,,1,
slypark,hcp6,2019,magr,live,FB,,tr,
slypark,hcp6,2019,magr,dead,FB,,tr,
slypark,hcp7,2019,magr,live,FB,,tr,
slypark,hcp8,2019,magr,live,FB,,tr,
slypark,spi3,2019,magr,live,FB,,tr,
slypark,hcp1,2019,mara,live,FB,,tr,
slypark,hcp2,2019,mara,live,FB,,tr,
slypark,spi5,2019,mara,live,FB,,tr,
slypark,spi6,2019,mara,live,FB,,tr,
slypark,hcp10,2019,mito,live,FB,,tr,
slypark,hcp11,2019,mito,live,FB,,tr,
slypark,hcp5,2019,mito,live,FB,,tr,
slypark,hcp7,2019,mito,live,FB,,tr,
slypark,hcp9,2019,mito,live,FB,,tr,
slypark,spi2,2019,mito,live,FB,,tr,
slypark,spi3,2019,mito,live,FB,,tr,
slypark,spi5,2019,mito,live,FB,,tr,
slypark,hcp5,2019,oppgr,live,GR,,tr,
slypark,hcp7,2019,oppgrass,live,GR,,tr,
slypark,hcp8,2019,oppgrass,live,GR,,tr,
slypark,hcp9,2019,oppgrass,live,GR,,tr,
slypark,hcp5,2019,orsp,dead,FB,,tr,
slypark,hcp7,2019,orsp,dead,FB,,tr,
slypark,hcp1,2019,osbe,live,FB,,tr,
slypark,hcp10,2019,osbe,live,FB,,tr,
slypark,hcp11,2019,osbe,live,FB,,tr,
slypark,hcp3,2019,osbe,live,FB,,tr,
slypark,hcp4,2019,osbe,live,FB,,tr,
slypark,hcp6,2019,osbe,live,FB,,tr,
slypark,hcp8,2019,osbe,live,FB,,tr,
slypark,hcp9,2019,osbe,live,FB,,tr,
slypark,spi1,2019,osbe,live,FB,,tr,
slypark,spi10,2019,osbe,live,FB,,tr,
slypark,spi11,2019,osbe,live,FB,,tr,
slypark,spi2,2019,osbe,live,FB,,tr,
slypark,spi3,2019,osbe,live,FB,,tr,
slypark,spi4,2019,osbe,live,FB,,,
slypark,spi5,2019,osbe,live,FB,,tr,
slypark,spi6,2019,osbe,live,FB,,tr,
slypark,spi7,2019,osbe,live,FB,,tr,
slypark,spi8,2019,osbe,live,FB,,tr,
slypark,spi9,2019,osbe,live,FB,,tr,
slypark,hcp2,2019,osoc,live,FB,,tr,
slypark,hcp6,2019,pheg,live,FB,,tr,
slypark,hcp2,2019,pila,live,TR,TSE,tr,
slypark,hcp3,2019,pila,live,TR,TSE,tr,
slypark,hcp4,2019,pila,live,TR,TSE,tr,
slypark,hcp1,2019,pipo,live,TR,TOV,1,
slypark,hcp1,2019,pipo,live,TR,TSE,tr,
slypark,hcp10,2019,pipo,live,TR,TOV,30,
slypark,hcp10,2019,pipo,live,TR,TSE,tr,
slypark,hcp11,2019,pipo,live,TR,TSE,tr,
slypark,hcp3,2019,pipo,live,TR,TOV,30,
slypark,hcp3,2019,pipo,live,TR,TSE,tr,
slypark,hcp4,2019,pipo,live,TR,TOV,20,
slypark,hcp4,2019,pipo,live,TR,TSE,tr,
slypark,hcp5,2019,pipo,live,TR,TOV,15,
slypark,hcp5,2019,pipo,live,TR,TSE,tr,
slypark,hcp6,2019,pipo,live,TR,TOV,5,
slypark,hcp6,2019,pipo,live,TR,TSE,tr,
slypark,hcp7,2019,pipo,live,TR,TOV,35,
slypark,hcp7,2019,pipo,live,TR,TSE,tr,
slypark,hcp8,2019,pipo,live,TR,TOV,30,
slypark,hcp8,2019,pipo,live,TR,TSE,tr,
slypark,hcp9,2019,pipo,live,TR,TOV,8,
slypark,hcp9,2019,pipo,dead,TR,TSE,tr,
slypark,hcp9,2019,pipo,live,TR,TSE,tr,
slypark,spi1,2019,pipo,live,TR,TOV,65,
slypark,spi10,2019,pipo,live,TR,TOV,75,
slypark,spi11,2019,pipo,live,TR,TOV,60,
