site,year,Plot ID,species_id,status,lifeform,layer_code,percent,notes,,,,,,,,,,,,,
bearmtn,2019,BM7,Fgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,arvi,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,arbi,live,SH,SM,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,puffspike,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,4forb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,puffball,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,waxyfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,tallflower,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,longbladegrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,unkhairyflr,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,irisspp2,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,unksmellyseeds,,,,,,,,,,,,,,,,,,
bearmtn,2019,BM7,tallgrass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,droopygrass,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,softarrow,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,whiteunderfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,tallgrass2,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,unklightgrass,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,tighttopgrass,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,grass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,grass2,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,grass3,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,grass4,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,unkfuzzy,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,apan,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,forktoothedfb,,,,tr,FB,,,,,,,,,,,,,
bearmtn,2019,BM7,cade,live,TR,TOV,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,cade,live,TR,TSA,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,cade,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM7,pipo,live,TR,TSE,tr,,,,,,,,,,,,,,
