site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crownlive,ht_to_crowndead,crown_class,crown_width,deacy,bolechar,stump_diam,stump_ht,scorch_ht,scorch,torch_ht,torch,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTES
,,,,,,cm,m,m,m,,m,,m,cm,m,m,%,m,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,440,live,abma,14.9,6,2,0.1,OV,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,441,live,abco,32.4,22,14.2,none,IN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,442,live,abma,14.2,7,3,0.1,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,443,live,abco,50.9,25,11,none,CO,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,444,live,abma,25.1,12,3.5,0.2,OV,1.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,446,live,abco,28.2,13,4,1,IN,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,445,live,abma,54.5,26,13.9,2.1,CO,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,447,live,abma,54.1,22.1,9.4,2.5,CO,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,448,live,abco,13.7,7.2,2,0.3,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,449,live,abco,26,14.8,1.5,0.05,IN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,450,live,abma,31.6,17.7,8,1,IN,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,451,live,abma,36.8,16.5,5,0.1,IN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,452,live,abco,10.3,5,0.2,0.2,OV,1.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,453,live,abma,32.7,11,7,0.05,IN,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,,dead,abma,18.9,4.5,,0.01,,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,454,live,abma,12.2,4.5,1,0.1,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,455,live,abco,11.7,5.8,1.25,0.3,IN,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,456,live,abma,33.5,14.8,3,0.2,IN,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,,dead,abma,15.3,5.3,,0.01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,457,live,abma,50.7,25,8.2,2.3,CO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,458,live,abma,31.3,14,9,0.5,IN,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,459,live,abco,38.2,18,4,0.3,IN,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,460,live,abma,32.2,16.6,9,0.05,IN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,,stump,abma,,,,,,,5,,18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,461,live,abco,33.3,16.5,7,0.1,IN,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,462,live,abco,17.3,10,4,0,OV,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,463,live,abma,72.3,47.2,9,0.8,CO,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,464,live,abco,23.55,10.2,3.5,1.2,OV,3.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,465,live,abma,25.05,10,7,0.7,OV,2.25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,466,live,abco,8.45,4.5,2,0.8,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,467,live,abco,21.05,9.6,4.5,0.3,OV,2.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,468,live,pico,16.7,16,14,1,OV,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,469,live,abma,28.5,14,8,0.8,OV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,470,live,abco,33.1,22,14,3,IN,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,471,live,abco,28.2,16.5,3.1,0.1,IN,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton3,472,live,abco,58.9,25.8,16,2,CO,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,473,live,abco,25.2,16.3,5,0.2,IN,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,474,live,abco,10.6,5.8,3.5,0.6,OV,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,475,live,abco,21,13.2,3,0.1,IN,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,476,live,abco,48.5,17.5,5.5,0.3,IN,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,477,live,abco,10,5.5,2.5,0.1,OV,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,478,live,abco,7.9,4.2,2,0.1,OV,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,,dead,abco,9.9,6,,0.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,479,live,abco,30.7,16,6,0.1,IN,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,480,live,abco,11,6,2.5,0.2,OV,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,481,live,abco,14.8,7,3,0.1,OV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,482,live,abco,8.8,5,2,0.2,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,483,live,abco,12.5,6,2.5,0.3,IN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,484,live,abco,7.7,5,2.5,0.4,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,485,live,abco,9.8,7,3.5,0.5,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,486,live,abco,11.2,6.5,3.5,0.5,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,487,live,abco,9.4,5.5,3.5,0.2,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,488,live,abco,12.4,7.2,1.5,0.2,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,489,live,abco,14,9.2,5,0.4,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,490,live,abco,19.3,12.5,4.5,0.5,IN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,491,live,abco,13,8,2.5,0.1,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,492,live,abco,8.5,5,2,0.2,OV,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,493,live,abco,8,5,2.5,0.2,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,494,live,abco,11,6.6,3,0.2,OV,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,495,live,abco,13,7,3,0.2,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,496,live,abco,9.1,4.5,2.2,0.2,OV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,497,live,abco,10.4,7.5,3,0.1,OV,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,498,live,abco,21.3,8,2.5,0.1,OV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,499,live,abco,39.5,20,5,0.2,CO,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton4,500,live,abco,8.1,7,1.75,0.01,OV,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
