Site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crown,crown_class,crown_width,stump_diam,stump_ht,decay,scorch_ht,scorch,torch_ht,torch,bolechar_ht,resprout,note
,,,,,,cm,m,m,,m,cm,m,,m,%,m,%,m,,
slypark,2019,spi2,spi-no tag,live,pipo,35.5,21.4,10,CO,4.5,,,,,,,,,,
slypark,2019,spi2,spi-no tag,stump,pipo,,,,,,40,0.21,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,38.3,24,9,CO,3,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,36.9,23,9.2,CO,3.5,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,35.9,22,11,CO,4,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,28.2,19,10,CO,2,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,36,19.5,9.5,CO,4,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,42,22,10,CO,4.5,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,36.9,21,12,CO,3.5,,,,,,,,,,
slypark,2019,spi2,spi-no tag,live,pipo,29.9,20,10,CO,3,,,,,,,,,,
slypark,2019,spi3,spi-no tag,stump,pipo,,,,,,59,0.28,3,,,,,,,some of the first stumps of spi3 may be the last stumps of spi2. 
slypark,2019,spi3,spi-no tag,stump,pipo,,,,,,40,0.2,2,,,,,,,
slypark,2019,spi3,spi-no tag,stump,abco,,,,,,69,0.55,2,,,,,,,
slypark,2019,spi3,spi-no tag,stump,quke,,,,,,59,0.24,1,,,,,,,
slypark,2019,spi3,spi-no tag,stump,cade,,,,,,80,0.27,2,,,,,,,
slypark,2019,spi3,spi-no tag,stump,unk,,,,,,31,0.25,3,,,,,,,
slypark,2019,spi3,spi-no tag,live,psme,70.9,26,16,OP,6,,,,,,,,,,
slypark,2019,spi3,spi-no tag,stump,unk,,,,,,35,0.29,3,,,,,,,
slypark,2019,spi3,spi-no tag,stump,abco,,,,,,30,0.25,2,,,,,,,
slypark,2019,spi3,spi-no tag,stump,pipo,,,,,,50,0.23,3,,,,,,,
slypark,2019,spi3,spi-no tag,stump,psme,,,,,,35,0.42,2,,,,,,,
slypark,2019,spi3,spi-no tag,stump,cade,,,,,,85,0.26,3,,,,,,,
slypark,2019,spi3,spi-no tag,stump,unk,,,,,,34,0.17,4,,,,,,,
slypark,2019,spi3,spi-no tag,live,cade,81.8,29,15,DO,6,,,,,,,,,,
slypark,2019,spi4,spi-no tag,live,cade,43.8,19,4,CO,8,,,,,,,,,,
slypark,2019,spi4,spi-no tag,stump,unk,,,,,,28,0.33,3,,,,,,,
slypark,2019,spi4,spi-no tag,stump,unk,,,,,,84,0.18,4,,,,,,,
slypark,2019,spi4,spi-no tag,live,cade,48.2,23,8,CO,7,,,,,,,,,,
slypark,2019,spi4,spi-no tag,stump,cade,,,,,,60,0.17,4,,,,,,,
slypark,2019,spi4,spi-no tag,stump,pipo,,,,,,100,0.43,1,,,,,,,
slypark,2019,spi4,spi-no tag,live,abco,62.3,32,11,DO,5.5,,,,,,,,,,
slypark,2019,spi4,spi-no tag,stump,cad3,,,,,,72,0.26,2,,,,,,,
slypark,2019,spi4,spi-no tag,stump,cade,,,,,,21,0.27,2,,,,,,,
slypark,2019,spi5,SPI-no tag,live,cade,72.7,27,27,CO,7,,,,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,pipo,,,,,,35,0.11,1,,,,,,,stump
slypark,2019,spi5,SPI-no tag,stump,pipo,,,,,,55,0.28,2,,,,,,,stump
slypark,2019,spi5,SPI-no tag,live,cade,66.5,25,14,CO,6.5,,,,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,40,0.19,3,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,58,0.17,2,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,unk,,,,,,26,0.14,4,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,52,0.25,4,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,abco,,,,,,50,0.33,1,,,,,,,
slypark,2019,spi5,SPI-no tag,live,cade,49.3,23,9,CO,6,,,,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,16.5,0.18,4,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,abco,,,,,,35,0.21,1,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,pipo,,,,,,41,0.09,1,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,85,0.17,1,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,30,0.34,2,,,,,,,
slypark,2019,spi5,SPI-no tag,stump,cade,,,,,,45,0.15,4,,,,,,,
slypark,2019,spi5,SPI-no tag,live,abco,31.5,18,5,IN,6.5,,,,,,,,,,
slypark,2019,spi6,spi-no tag,stump,cade,,,,,,76,0.4,4,,,,,,,
slypark,2019,spi6,spi-no tag,stump,cade,,,,,,56,0.39,2,,,,,,,
slypark,2019,spi6,spi-no tag,live,pisme,84.6,38,17,CO,9,,,,,,,,,,
slypark,2019,spi6,spi-no tag,live,abco,62.4,35,14,CO,5.8,,,,,,,,,,
slypark,2019,spi6,spi-no tag,live,cade,58.8,21,11,IN,4.5,,,,,,,,,,
slypark,2019,spi6,spi-no tag,live,cade,96.6,36,19,CO,6,,,,,,,,,,
slypark,2019,spi6,spi-no tag,dead,quke,85.9,9,,,,,,4,,,,,,,
slypark,2019,spi7,spi-no tag,stump,pipo,,,,,,2.79,1.05,4,,,,,,,stump
slypark,2019,spi7,spi-no tag,live,pipo,40.3,19,9,CO,5.5,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,39.25,21.2,10.5,CO,5,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,47.1,22,9,CO,5.5,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,43,19,7,CO,5,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,39.25,20,7,CO,6,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,40.6,22,10,CO,4.5,,,,,,,,,,
slypark,2019,spi7,spi-no tag,stump,pipo,,,,,,0.95,0.5,4,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,34.1,18,5,CO,4,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,37.7,17.5,8,CO,6,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,40.3,20.3,6,CO,6,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,45.25,22,8,CO,6.2,,,,,,,,,,
slypark,2019,spi7,spi-no tag,live,pipo,46.1,22,7,CO,7,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,38.5,21,7,CO,2,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,26.3,17,7,IN,2,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,50.6,22,7,CO,4,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,34,9,7,IN,3,,,,,,,,,,broken top
slypark,2019,spi8,SPI-no tag,stump,quke,,,,,,90,0.85,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,40.9,20,6,CO,2.5,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,40.5,19,6,CO,3.5,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pìpo,45.9,21,8,CO,3,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,10.7,5,4,OV,1,,,,,,,,,,
slypark,2019,spi8,SPI-no tag,live,pipo,45.7,21,8,CO,3.5,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,43.4,16,6,CO,3,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,36.2,19,6,CO,2,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,53.5,20,6,CO,4,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,43.9,18,5,CO,2.5,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,34,19,5,CO,2,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,42.4,22,7,CO,3,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,44.6,20,6,CO,3,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,31.9,14.3,6,CO,2,,,,,,,,,,
slypark,2019,spi9,spi-no tag,live,pipo,36.8,19.6,7,CO,3.5,,,,,,,,,,
