site,plotid,year,pre_post_fire,azimuth,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,postTime,slope_percent,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth,sum_d2_1000r_cm2,sum_d2_1000s_cm2,plot_id_time
BearMountain,BM10,2019,prefire,0,2,2,4,11.3,0,1,0,0.05,2,,0.05,2.5,,,,,0,,,0.05,2.25,,BearMountain_BM10_2019_prefire_NA_0,0,0,BM10 prefire NA
BearMountain,BM10,2019,prefire,180,2,2,4,11.3,0,0,0,2,3,,0,1,,,,,0,,,1,2,,BearMountain_BM10_2019_prefire_NA_180,0,0,BM10 prefire NA
BearMountain,BM10,2019,prefire,270,2,2,4,11.3,2,0,0,0,2,,0,3,,,,,0,,,0,2.5,,BearMountain_BM10_2019_prefire_NA_270,0,0,BM10 prefire NA
BearMountain,BM10,2019,prefire,90,2,2,4,11.3,0,1,1,0,1,,1,0,,,,,0,,,0.5,0.5,,BearMountain_BM10_2019_prefire_NA_90,0,0,BM10 prefire NA
BearMountain,BM11,2019,postfire,0,2,2,4,11.3,2,0,0,0.05,0.05,,0,0.05,,,,immediate,0,,,0.025,0.05,,BearMountain_BM11_2019_postfire_immediate_0,0,0,BM11 postfire immediate
BearMountain,BM11,2019,postfire,180,2,2,4,11.3,12,0,0,0,0.5,,0,0.5,,,,immediate,0,,,0,0.5,,BearMountain_BM11_2019_postfire_immediate_180,0,0,BM11 postfire immediate
BearMountain,BM11,2019,postfire,270,2,2,4,11.3,5,1,0,0.05,2,,0.05,0.05,,,,immediate,0,,,0.05,1.025,,BearMountain_BM11_2019_postfire_immediate_270,0,0,BM11 postfire immediate
BearMountain,BM11,2019,postfire,90,2,2,4,11.3,4,2,1,0,2,,0,1,,,,immediate,0,,,0,1.5,,BearMountain_BM11_2019_postfire_immediate_90,0,0,BM11 postfire immediate
BearMountain,BM11,2019,prefire,0,2,2,4,11.3,5,0,0,0,2,,0,3,,,,,0,,,0,2.5,,BearMountain_BM11_2019_prefire_NA_0,0,0,BM11 prefire NA
BearMountain,BM11,2019,prefire,180,2,2,4,11.3,3,1,0,0,6,,0,2,,,,,0,,,0,4,,BearMountain_BM11_2019_prefire_NA_180,0,0,BM11 prefire NA
BearMountain,BM11,2019,prefire,270,2,2,4,11.3,7,0,0,0.05,0.05,,1,0.05,,,,,0,,,0.525,0.05,,BearMountain_BM11_2019_prefire_NA_270,0,0,BM11 prefire NA
BearMountain,BM11,2019,prefire,90,2,2,4,11.3,8,1,1,,0.05,,0.5,0.5,,,,,0,,,0.5,0.275,,BearMountain_BM11_2019_prefire_NA_90,0,0,BM11 prefire NA
BearMountain,BM12,2019,postfire,0,2,2,4,11.3,2,1,1,0,2,,0,0,,,,immediate,0,,,0,1,,BearMountain_BM12_2019_postfire_immediate_0,0,0,BM12 postfire immediate
BearMountain,BM12,2019,postfire,180,2,2,4,11.3,0,4,0,0,0.05,,0.05,0.05,,,,immediate,0,,,0.025,0.05,,BearMountain_BM12_2019_postfire_immediate_180,0,0,BM12 postfire immediate
BearMountain,BM12,2019,postfire,270,2,2,4,11.3,4,3,0,0,2,,0,2,,,,immediate,0,,,0,2,,BearMountain_BM12_2019_postfire_immediate_270,0,0,BM12 postfire immediate
BearMountain,BM12,2019,postfire,90,2,2,4,11.3,2,4,0,0,1,,0,1,,,,immediate,0,,,0,1,,BearMountain_BM12_2019_postfire_immediate_90,0,0,BM12 postfire immediate
BearMountain,BM12,2019,prefire,0,2,2,4,11.3,9,2,0,0,1,,0,1,,,,,0,,,0,1,,BearMountain_BM12_2019_prefire_NA_0,0,0,BM12 prefire NA
BearMountain,BM12,2019,prefire,180,2,2,4,11.3,10,6,7,0,3,,0,7,,,,,0,,,0,5,,BearMountain_BM12_2019_prefire_NA_180,0,0,BM12 prefire NA
BearMountain,BM12,2019,prefire,270,2,2,4,11.3,12,3,1,0.05,0.5,,0.5,1,,,,,0,,,0.275,0.75,,BearMountain_BM12_2019_prefire_NA_270,0,0,BM12 prefire NA
BearMountain,BM12,2019,prefire,90,2,2,4,11.3,28,4,2,4,2,,2,1.5,,,,,0,,,3,1.75,,BearMountain_BM12_2019_prefire_NA_90,0,0,BM12 prefire NA
BearMountain,BM13,2019,postfire,0,2,2,4,11.3,2,0,0,0,0,,0.05,2,,,,immediate,0,,,0.025,1,,BearMountain_BM13_2019_postfire_immediate_0,0,0,BM13 postfire immediate
BearMountain,BM13,2019,postfire,180,2,2,4,11.3,3,3,0,0,0.05,,0,0.05,,,,immediate,0,,,0,0.05,,BearMountain_BM13_2019_postfire_immediate_180,0,0,BM13 postfire immediate
BearMountain,BM13,2019,postfire,270,2,2,4,11.3,1,4,0,0,2,,0,0.05,,,,immediate,0,,,0,1.025,,BearMountain_BM13_2019_postfire_immediate_270,0,0,BM13 postfire immediate
BearMountain,BM13,2019,postfire,90,2,2,4,11.3,2,0,0,0,0.05,,0,1,,,,immediate,0,,,0,0.525,,BearMountain_BM13_2019_postfire_immediate_90,0,0,BM13 postfire immediate
