plotid,fuel_type,mass_ton_acre,PlotType
VR29,mass_100hr,0.830095244,UpperMontane
VR29,mass_cwd_sound,6.38765549,UpperMontane
VR29,mass_cwd_rotten,2.865228197,UpperMontane
VR29,total_fine,2.276915163,UpperMontane
VR29,total_cwd,9.252883687,UpperMontane
VR29,total_fuel,11.52979885,UpperMontane
VR2N,mass_1hr,0.716393369,UpperMontane
VR2N,mass_10hr,2.090831604,UpperMontane
VR2N,mass_100hr,0.918829029,UpperMontane
VR2N,mass_cwd_sound,3.266651163,UpperMontane
VR2N,mass_cwd_rotten,0,UpperMontane
VR2N,total_fine,3.726054002,UpperMontane
VR2N,total_cwd,3.266651163,UpperMontane
VR2N,total_fuel,6.992705166,UpperMontane
VR3,mass_1hr,0.343212111,UpperMontane
VR3,mass_10hr,1.704066098,UpperMontane
VR3,mass_100hr,2.457303343,UpperMontane
VR3,mass_cwd_sound,5.600397803,UpperMontane
VR3,mass_cwd_rotten,4.397332599,UpperMontane
VR3,total_fine,4.504581552,UpperMontane
VR3,total_cwd,9.997730402,UpperMontane
VR3,total_fuel,14.50231195,UpperMontane
VR30,mass_1hr,0.131141673,UpperMontane
VR30,mass_10hr,0.90396169,UpperMontane
VR30,mass_100hr,0.283315397,UpperMontane
VR30,mass_cwd_sound,1.352756106,UpperMontane
VR30,mass_cwd_rotten,0,UpperMontane
VR30,total_fine,1.31841876,UpperMontane
VR30,total_cwd,1.352756106,UpperMontane
VR30,total_fuel,2.671174867,UpperMontane
VR30N,mass_1hr,0.160618374,Riparian
VR30N,mass_10hr,1.257085804,Riparian
VR30N,mass_100hr,0.837319606,Riparian
VR30N,mass_cwd_sound,0.829959234,Riparian
VR30N,mass_cwd_rotten,0,Riparian
VR30N,total_fine,2.255023784,Riparian
VR30N,total_cwd,0.829959234,Riparian
VR30N,total_fuel,3.084983018,Riparian
VR31,mass_1hr,0.061763898,Riparian
VR31,mass_10hr,0.556284117,Riparian
VR31,mass_100hr,1.660190488,Riparian
VR31,mass_cwd_sound,0,Riparian
VR31,mass_cwd_rotten,5.058968824,Riparian
VR31,total_fine,2.278238503,Riparian
VR31,total_cwd,5.058968824,Riparian
VR31,total_fuel,7.337207327,Riparian
VR31N,mass_1hr,0.101728774,UpperMontane
VR31N,mass_10hr,0.973497205,UpperMontane
VR31N,mass_100hr,1.660190488,UpperMontane
VR31N,mass_cwd_sound,0.152410396,UpperMontane
VR31N,mass_cwd_rotten,3.189866584,UpperMontane
VR31N,total_fine,2.735416467,UpperMontane
VR31N,total_cwd,3.34227698,UpperMontane
VR31N,total_fuel,6.077693446,UpperMontane
VR33,mass_1hr,0.232522911,MixedConifer
VR33,mass_10hr,2.225136468,MixedConifer
VR33,mass_100hr,0.276698415,MixedConifer
VR33,mass_cwd_sound,2.941067931,MixedConifer
VR33,mass_cwd_rotten,1.066684142,MixedConifer
VR33,total_fine,2.734357794,MixedConifer
VR33,total_cwd,4.007752073,MixedConifer
