site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
slypark,spi5,2019,prefire,"",spi5 prefire NA,270,3,8.5,,0.30518632097561,4.72841499512195,5.53396829268293,0,0,10.5675696087805,0,10.5675696087805,slypark spi5 prefire NA
slypark,spi5,2019,prefire,"",spi5 prefire NA,90,0,1.5,,0.494111186341463,2.50327852682927,5.53396829268293,0,0,8.53135800585366,0,8.53135800585366,slypark spi5 prefire NA
slypark,spi5,2020,postfire,immediate,spi5 postfire immediate,0,1.25,2.5,,0.0435980458536585,1.11256823414634,1.10679365853659,0,0,2.26295993853659,0,2.26295993853659,slypark spi5 postfire immediate
slypark,spi5,2020,postfire,immediate,spi5 postfire immediate,180,2.25,2,,0.203457547317073,1.66885235121951,0,0,0,1.87230989853659,0,1.87230989853659,slypark spi5 postfire immediate
slypark,spi5,2020,postfire,immediate,spi5 postfire immediate,270,1.25,1,,0,0.278142058536585,0,0,0,0.278142058536585,0,0.278142058536585,slypark spi5 postfire immediate
slypark,spi5,2020,postfire,immediate,spi5 postfire immediate,90,3,0,,0,0.556284117073171,0,0,0,0.556284117073171,0,0.556284117073171,slypark spi5 postfire immediate
slypark,spi5,2021,postfire,1yr,spi5 postfire 1yr,90,3.05,1.4,0.95,0.0435980458536585,0.278142058536585,0,0,0,0.321740104390244,0,0.321740104390244,slypark spi5 postfire 1yr
slypark,spi5,2021,postfire,1yr,spi5 postfire 1yr,0,0,0.65,0.75,0.0726634097560976,1.39071029268293,2.21358731707317,0,0,3.6769610195122,0,3.6769610195122,slypark spi5 postfire 1yr
slypark,spi5,2021,postfire,1yr,spi5 postfire 1yr,180,2.85,4.5,3.8,0.0435980458536585,1.39071029268293,0,0.486779624433413,0,1.43430833853659,0.486779624433413,1.92108796297,slypark spi5 postfire 1yr
slypark,spi5,2021,postfire,1yr,spi5 postfire 1yr,270,0.4,1.1,1.15,0.0145326819512195,2.22513646829268,0,0,0,2.2396691502439,0,2.2396691502439,slypark spi5 postfire 1yr
slypark,spi6,2019,prefire,"",spi6 prefire NA,0,14,2,,0.363317048780488,6.11912528780488,11.0679365853659,0,0.61699317396935,17.5503789219512,0.61699317396935,18.1673720959206,slypark spi6 prefire NA
slypark,spi6,2019,prefire,"",spi6 prefire NA,180,3.75,0.05,,0.232522911219512,2.78142058536585,2.21358731707317,0,0,5.22753081365854,0,5.22753081365854,slypark spi6 prefire NA
slypark,spi6,2019,prefire,"",spi6 prefire NA,270,2,0.525,,0.0871960917073171,3.8939888195122,6.64076195121951,0,0,10.621946862439,0,10.621946862439,slypark spi6 prefire NA
slypark,spi6,2019,prefire,"",spi6 prefire NA,90,8,3.5,,0.450513140487805,2.50327852682927,3.32038097560976,0.319376111590762,0,6.27417264292683,0.319376111590762,6.59354875451759,slypark spi6 prefire NA
slypark,spi6,2020,postfire,immediate,spi6 postfire immediate,0,3,0,,0,0,3.32038097560976,0,0,3.32038097560976,0,3.32038097560976,slypark spi6 postfire immediate
slypark,spi6,2020,postfire,immediate,spi6 postfire immediate,180,3.5,0.25,,0.348784366829268,2.50327852682927,2.21358731707317,0,0,5.06565021073171,0,5.06565021073171,slypark spi6 postfire immediate
slypark,spi6,2020,postfire,immediate,spi6 postfire immediate,270,1,1.25,,0.348784366829268,1.9469944097561,5.53396829268293,0,0,7.82974706926829,0,7.82974706926829,slypark spi6 postfire immediate
slypark,spi6,2020,postfire,immediate,spi6 postfire immediate,90,0.25,6,,0.421447776585366,1.66885235121951,2.21358731707317,0,0,4.30388744487805,0,4.30388744487805,slypark spi6 postfire immediate
slypark,spi6,2021,postfire,1yr,spi6 postfire 1yr,90,5.1,5.65,3.8,0.0871960917073171,0.834426175609756,4.42717463414634,0.73644889380531,0,5.34879690146341,0.73644889380531,6.08524579526872,slypark spi6 postfire 1yr
slypark,spi6,2021,postfire,1yr,spi6 postfire 1yr,0,0.3,1,0.75,0.0435980458536585,0.556284117073171,0,0,0,0.599882162926829,0,0.599882162926829,slypark spi6 postfire 1yr
slypark,spi6,2021,postfire,1yr,spi6 postfire 1yr,180,1.2,2.6,3.45,0.188924865365854,4.17213087804878,2.21358731707317,0,0,6.57464306048781,0,6.57464306048781,slypark spi6 postfire 1yr
slypark,spi6,2021,postfire,1yr,spi6 postfire 1yr,270,0.15,1.15,1.1,0.029065363902439,3.05956264390244,5.53396829268293,0,0,8.62259630048781,0,8.62259630048781,slypark spi6 postfire 1yr
slypark,spi7,2019,prefire,"",spi7 prefire NA,0,4.5,5.5,,0,0,0,0,0.295718621843298,0,0.295718621843298,0.295718621843298,slypark spi7 prefire NA
