site,plotid,pre_post_fire,year,status,BA_m2_acre_plot,n_trees_totalPlot
BurtonSP,Burton28,prefire,2020,DEAD,3.25732892694804,1
BurtonSP,Burton28,prefire,2020,LIVE,14.4515304100355,5
BurtonSP,burton3,prefire,2019,DEAD,0.464405934016911,2
BurtonSP,burton3,prefire,2019,LIVE,34.8398384133026,36
BurtonSP,Burton30,prefire,2020,LIVE,17.4226366842966,12
BurtonSP,Burton31,prefire,2020,DEAD,14.0579595363754,5
BurtonSP,Burton31,prefire,2020,LIVE,19.4488009757432,13
BurtonSP,Burton32,prefire,2020,DEAD,6.17337878995499,5
BurtonSP,Burton32,prefire,2020,LIVE,31.7794009519366,15
BurtonSP,Burton33,prefire,2020,LIVE,8.97907235702296,3
BurtonSP,Burton34,prefire,2020,DEAD,8.28823024201234,3
BurtonSP,Burton34,prefire,2020,LIVE,30.2309001155052,16
BurtonSP,Burton35,prefire,2020,DEAD,3.66290853852648,2
BurtonSP,Burton35,prefire,2020,LIVE,33.5864057763733,19
BurtonSP,Burton37,prefire,2020,LIVE,17.3325986388448,14
BurtonSP,Burton38,postfire,2020,DEAD,0.176714586764426,1
BurtonSP,Burton38,postfire,2020,LIVE,15.4813209199374,5
BurtonSP,Burton39,postfire,2020,DEAD,1.72303005280622,5
BurtonSP,Burton39,postfire,2020,LIVE,21.7049259224416,10
BurtonSP,burton4,prefire,2019,DEAD,0.0769768739945839,1
BurtonSP,burton4,prefire,2019,LIVE,26.3268684503295,48
BurtonSP,Burton40,postfire,2020,DEAD,8.67531569033818,18
BurtonSP,Burton40,postfire,2020,LIVE,20.9795223612507,10
BurtonSP,Burton41,postfire,2020,DEAD,7.78926482531053,10
BurtonSP,Burton41,postfire,2020,LIVE,15.9797267404477,7
BurtonSP,Burton42,prefire,2020,DEAD,6.34593862043504,4
BurtonSP,Burton42,prefire,2020,LIVE,21.0228311794758,5
BurtonSP,Burton43,prefire,2020,DEAD,3.66806860446001,3
BurtonSP,Burton43,prefire,2020,LIVE,16.0593818221795,15
BurtonSP,Burton44,prefire,2020,DEAD,2.29022104446696,1
BurtonSP,Burton44,prefire,2020,LIVE,17.5548584651046,10
BurtonSP,Burton45,prefire,2020,DEAD,2.10255015332314,2
