site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
bearmountain,BM19,prefire,2019,[>100],LIVE,10.8803485230122,1,117.7,27,4.04686,44.0312472238373
bearmountain,BM19,prefire,2019,[20-40],DEAD,1.25036173011037,1,39.9,8,4.04686,5.06003887111446
bearmountain,BM19,prefire,2019,[40-60],DEAD,1.63312552504212,1,45.6,11.11,4.04686,6.60903036227195
bearmountain,BM19,prefire,2019,[40-60],LIVE,1.26292810072473,1,40.1,19,4.04686,5.11089321369888
bearmountain,BM2,prefire,2019,[<20],LIVE,0.311025526687023,1,19.9,7,4.04686,1.25867676292865
bearmountain,BM2,prefire,2019,[20-40],DEAD,0.45238934211693,1,24,3,4.04686,1.83075633303932
bearmountain,BM2,prefire,2019,[20-40],LIVE,0.59395736106932,1,27.5,15,4.04686,2.40366228621699
bearmountain,BM2,prefire,2019,[40-60],LIVE,4.29623005554528,2,51.75,25.5,8.09372,17.386241562584
bearmountain,BM2,prefire,2019,[60-80],LIVE,3.57847038197962,1,67.5,28,4.04686,14.4815686500181
bearmountain,BM2,prefire,2019,[80-100],DEAD,5.43671458259635,1,83.2,2.2,4.04686,22.0016227757259
bearmountain,BM20,prefire,2019,[>100],LIVE,16.9716689128555,1,147,33,4.04686,68.6819680566783
bearmountain,BM20,prefire,2019,[20-40],LIVE,1.23162998391334,1,39.6,20,4.04686,4.98423411669955
bearmountain,BM20,prefire,2019,[40-60],LIVE,1.93220514566387,1,49.6,21,4.04686,7.81936371578128
bearmountain,BM21,prefire,2019,[<20],DEAD,0.517263230413559,2,18.1,7,8.09372,2.09329187663142
bearmountain,BM21,prefire,2019,[20-40],DEAD,1.81053911617197,2,33.95,13.5,8.09372,7.32699832767169
bearmountain,BM21,prefire,2019,[20-40],LIVE,2.53420498392638,4,28.225,10.25,16.18744,10.2555727812523
bearmountain,BM22,prefire,2019,[<20],DEAD,1.0024822157605,8,12.175,4.5625,32.37488,4.05690517967255
bearmountain,BM22,prefire,2019,[20-40],DEAD,2.27276949727627,5,24,5.5,20.2343,9.19757996774744
bearmountain,BM22,prefire,2019,[40-60],DEAD,2.31573863079574,1,54.3,7,4.04686,9.37147003542206
