site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
caples,11,postfire,2020,ABCO,DEAD,1.20297080493097,28,280,12.0297080493097,113.31208,4.86825443164294
caples,11,postfire,2020,ABCO,LIVE,0.506533120705224,6,60,5.06533120705224,24.28116,2.04986862485714
caples,11,postfire,2020,ABCO,M,0.0732870734229427,2,20,0.732870734229427,8.09372,0.29658252595237
caples,11,postfire,2020,CADE27,DEAD,0.528651503782823,26,260,5.28651503782823,105.21836,2.13937862459855
caples,11,postfire,2020,CADE27,LIVE,0.407151978701564,8,80,4.07151978701564,32.37488,1.64768705652821
caples,11,postfire,2020,CADE27,M,0.482185777639903,16,160,4.82185777639903,64.74976,1.95133833609982
caples,11,postfire,2020,PIJE,DEAD,0.122317909967519,10,100,1.22317909967519,40.4686,0.495003457131152
caples,11,postfire,2020,PIJE,LIVE,1.79040779044776,24,240,17.9040779044776,97.12464,7.24552967085144
caples,11,postfire,2020,PIJE,M,0.447881156659029,10,100,4.47881156659029,40.4686,1.81251233763716
caples,11,prefire,2013-2018,ABCO,DEAD,0.534128870574356,6,60,5.34128870574356,24.28116,2.16154476117254
caples,11,prefire,2013-2018,ABCO,LIVE,1.15438293295055,26,260,11.5438293295055,105.21836,4.67162611604026
caples,11,prefire,2013-2018,CADE27,DEAD,0.0153953747989168,2,20,0.153953747989168,8.09372,0.0623029264587444
caples,11,prefire,2013-2018,CADE27,LIVE,0.883085986960823,36,360,8.83085986960823,145.68696,3.57372535719228
caples,11,prefire,2013-2018,PIJE,LIVE,1.30360230081076,30,300,13.0360230081076,121.4058,5.27549600705902
caples,110,prefire,2013-2018,ABCO,LIVE,5.08227538702937,38,380,50.8227538702937,153.78068,20.5672569727537
caples,110,prefire,2013-2018,ABCO,M,0.145166713337077,2,20,1.45166713337077,8.09372,0.587469365535284
caples,110,prefire,2013-2018,ABMA,DEAD,0.03348309450196,2,20,0.3348309450196,8.09372,0.135501395816202
caples,110,prefire,2013-2018,ABMA,LIVE,2.06332422745042,20,200,20.6332422745042,80.9372,8.34998428309999
caples,110,prefire,2013-2018,PICO,LIVE,0.865843355681595,4,40,8.65843355681595,16.18744,3.50394684237362
