plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha
BigTrees23 prefire ,live,ABCO,0.627578685648038,2,62,74.3,49.7,11.5,38,9.5,8.09372,2.53972307980162
BigTrees23 prefire ,live,PILA,0.275253781936923,1,59.2,59.2,59.2,25,38,5,4.04686,1.11391351996926
BigTrees23 prefire ,live,SEGI,1.53460910641636,5,59.38,79.7,27.1,12.9,29,,20.2343,6.21034820839211
BigTrees24 prefire ,dead,PILA,0.167638525588205,1,46.2,46.2,46.2,,26.8,1.3,4.04686,0.678409643661883
BigTrees24 prefire ,live,ABCO,0.85112106710871,1,104.1,104.1,104.1,18.8,46.9,18.8,4.04686,3.44436780163955
BigTrees24 prefire ,live,SEGI,1.2430302346046,11,34.9681818181818,59.2,9.4,5.36363636363636,18.0181818181818,0.786363636363636,44.51546,5.03036933521196
BigTrees25 prefire ,dead,CADE,0.483133753223123,2,51.35,72.3,30.4,,11.35,4.25,8.09372,1.95517466056853
BigTrees25 prefire ,live,ABCO,1.10573537070971,2,74.7,112.9,36.5,18.25,38.85,6.6,8.09372,4.4747562423103
BigTrees25 prefire ,live,CADE,0.269705729310684,2,36.4,56.2,16.6,19.45,28.05,9.9,8.09372,1.09146132771823
BigTrees25 prefire ,live,CONU,0.00882473376393373,1,10.6,10.6,10.6,2,7.5,,4.04686,0.0357124620799128
BigTrees25 prefire ,live,QUKE,0.0526852941988642,1,25.9,25.9,25.9,4,9,3,4.04686,0.213210009681616
BigTrees27 prefire ,dead,ABCO,1.95690356170823,13,40.8538461538462,81.3,17.3,,13.9615384615385,,52.60918,7.91931474773455
BigTrees27 prefire ,dead,PILA,0.207499053176952,1,51.4,51.4,51.4,,2.3,,4.04686,0.839719618339681
BigTrees27 prefire ,live,ABCO,1.18945488793706,2,74.45,119.5,29.4,11.45,35.9,1.7,8.09372,4.81355740779698
BigTrees27 prefire ,live,CADE,0.992012072844252,2,73.65,103.5,43.8,10.65,24.55,10.4,8.09372,4.01453397711049
BigTrees28 prefire ,dead,PIPO,2.11240690027378,1,164,164,164,,55,,4.04686,8.54861498844194
BigTrees28 prefire ,live,ABCO,2.19942194819474,5,69.78,108,25.5,7.66,35.8,7,20.2343,8.90075270527138
BigTrees28 prefire ,live,CADE,0.0111220233918713,1,11.9,11.9,11.9,0,4.5,,4.04686,0.0450092715836282
BigTrees29 prefire ,dead,unkconifer,0.104062115057508,1,36.4,36.4,36.4,,1.8,,4.04686,0.421124810941628
BigTrees29 prefire ,live,PILA,2.20147281914892,2,117.575,131.4,103.75,17.5,47.65,2.3,8.09372,8.90905229290098
BigTrees30 prefire ,dead,ABCO,0.440182683861407,2,52.7,57.7,47.7,,30.5,,8.09372,1.78135769601137
BigTrees30 prefire ,dead,CADE,0.541999345569762,4,37.825,53.1,11,,14.85,5,16.18744,2.19339547161245
BigTrees30 prefire ,live,ABCO,0.368587358082422,2,47.5,57,38,,28.5,4.6,8.09372,1.49162143592943
BigTrees30 prefire ,live,CADE,10.5314801566182,5,132.14,317,49.5,24.64,30.52,8.32,20.2343,42.6194257866121
BigTrees31 prefire ,dead,CADE,0.0314159265358979,1,20,20,20,,6.9,1,4.04686,0.127135856461064
BigTrees32 prefire ,dead,ABCO,0.456881819611564,3,43.2,54.2,33.4,,11.8666666666667,,12.14058,1.84893676051325
BigTrees32 prefire ,dead,CADE,0.0359680942909495,1,21.4,21.4,21.4,,12.6,2.8,4.04686,0.145557842062272
BigTrees32 prefire ,live,ABCO,0.611935910427651,3,43.7666666666667,74.4,10.6,10.1,21.5666666666667,,12.14058,2.47641895847324
BigTrees32 prefire ,live,CADE,0.138251282508363,5,17.78,26.2,9.8,4.6,7.52,1.36,20.2343,0.559483585131792
BigTrees32 prefire ,live,PIPO,0.838234254043685,2,56.95,102.7,11.2,10.8,27.1,6.5,8.09372,3.39221667331923
BigTrees33 prefire ,dead,ABCO,0.4185386812745,1,73,73,73,,13,,4.04686,1.69376744770252
BigTrees33 prefire ,dead,CADE,0.167638525588205,1,46.2,46.2,46.2,,12.3,2.2,4.04686,0.678409643661883
BigTrees33 prefire ,dead,PIPO,3.26258324066117,4,100.75,117,79.5,,36.65,,16.18744,13.2032176133021
BigTrees33 prefire ,live,CADE,0.159525362560309,2,27.9,43.3,12.5,2.4,7.2,0.5,8.09372,0.645576808730813
BigTrees34 prefire ,dead,ABCO,1.6787445919649,1,146.2,146.2,146.2,,48,12,4.04686,6.79364433943906
BigTrees34 prefire ,dead,CADE,0.161391468596542,2,29.6,41.9,17.3,,11.65,0.75,8.09372,0.653128678604601
BigTrees34 prefire ,live,ABCO,0.461149673231465,4,37.4,50.8,28.5,11.95,20.1,3.4875,16.18744,1.86620816661349
BigTrees34 prefire ,live,ACEMAC,0.178788234265336,3,27.1166666666667,33.6,21.95,2.53333333333333,10.8,0,12.14058,0.723530953719017
BigTrees34 prefire ,live,CADE,2.09258894841677,5,59.42,134.1,20.3,12.02,23.4,4.92,20.2343,8.46841451178989
BigTrees34 prefire ,live,CONU,0.00650388219109427,1,9.1,9.1,9.1,2,5.4,0,4.04686,0.0263203006838518
BigTrees34 prefire ,live,PILA,0.143200861734093,1,42.7,42.7,42.7,14.2,18.5,1.4,4.04686,0.579513839317233
BigTrees35 prefire ,dead,CADE,0.0794226038754036,1,31.8,31.8,31.8,,12,2.5,4.04686,0.321412158719216
BigTrees35 prefire ,live,ABCO,1.19952447778998,4,49.2,111.4,16.9,8.425,22.55,,16.18744,4.85430762818916
BigTrees35 prefire ,live,CADE,0.144039666972602,2,29.75,35.4,24.1,7.75,13.5,1.75,8.09372,0.582908366684743
BigTrees35 prefire ,live,PILA,4.45288557321654,3,136.066666666667,156.9,109.8,36.3666666666667,62.4,31.3333333333333,12.14058,18.0202045108271
BigTrees36 prefire ,dead,ABCO,0.197522140307314,3,27.3666666666667,34.3,14,,8.83333333333333,,12.14058,0.799344448724058
BigTrees36 prefire ,dead,CADE,0.102921716924255,1,36.2,36.2,36.2,,4.2,2,4.04686,0.416509779352092
BigTrees36 prefire ,live,ABCO,0.176095693011669,3,26.7333333333333,34.8,22.2,10.5,18.0666666666667,2.5,12.14058,0.712634616221201
BigTrees36 prefire ,live,CADE,2.62116525032545,5,77.45,101,28.7,17.88,27.66,4.72,20.2343,10.607488804932
BigTrees36 prefire ,live,CONU,0.0728645292110349,3,17.4,21,15.5,3.63333333333333,10.1333333333333,,12.14058,0.294872548682969
bliss1 prefire ,dead,abco,0.8764368061095,7,39.0571428571429,55.9,29.3,,7.05714285714286,,28.32802,3.54681705317229
bliss1 prefire ,live,abco,1.49039825840055,22,28.5,42.4,13.4,5.19772727272727,13.3363636363636,,89.03092,6.03143309599086
bliss1 prefire ,stump,abco,,19,,,,,,,76.89034,
bliss1 prefire ,stump,abma,,1,,,,,,,4.04686,
bliss1 prefire ,stump,cade,,1,,,,,,,4.04686,
bliss10 prefire ,"",abco,,13,,,,,,,52.60918,
bliss10 prefire ,"",abma,,1,,,,,,,4.04686,
bliss10 prefire ,"",pila,,2,,,,,,,8.09372,
bliss10 prefire ,dead,abco,0.18991320290032,2,31.05,46.7,15.4,,5.45,,8.09372,0.768552144289189
bliss10 prefire ,live,abco,2.05108222627754,17,36.9,64,14.7,8.5,17.1470588235294,,68.79662,8.30044261823353
bliss10 prefire ,live,abma,0.220618344098343,1,53,53,53,13,20.8,,4.04686,0.892811551997821
bliss10 prefire ,live,pila,1.4420106629518,1,135.5,135.5,135.5,21,33,,4.04686,5.83561527147312
bliss11 prefire ,dead,abco,0.364369769944978,2,47.8,53.7,41.9,,2.75,,8.09372,1.47455344719953
bliss11 prefire ,dead,cade,0.0107513154587477,1,11.7,11.7,11.7,4,6,,4.04686,0.0435090684773876
bliss11 prefire ,dead,pila,0.453645979178366,1,76,76,76,,2,,4.04686,1.83584176729776
bliss11 prefire ,live,abco,1.64447767009586,11,41.6363636363636,63.3,21.1,7.99090909090909,18.2090909090909,,44.51546,6.65497090400415
bliss11 prefire ,live,pije,0.370461318100289,4,32.25,51.3,19.1,10.925,17.075,,16.18744,1.49920508976733
bliss11 prefire ,live,pila,0.0759644957619646,1,31.1,31.1,31.1,6.8,15.4,,4.04686,0.307417679319264
bliss11 prefire ,stump,abco,,22,,,,,,,89.03092,
bliss11 prefire ,stump,abma,,1,,,,,,,4.04686,
bliss12 prefire ,dead,abco,0.0261270553035795,4,9.05,10.5,7.6,1.0625,5.075,,16.18744,0.105732535025844
bliss12 prefire ,dead,cade,0.21139384266924,3,28.2333333333333,42.3,19.9,,7.83333333333333,,12.14058,0.855481286144441
bliss12 prefire ,live,abco,0.0186265028431339,1,15.4,15.4,15.4,1,4.7,,4.04686,0.0753788492957648
bliss12 prefire ,live,pije,0.142865693067863,1,42.65,42.65,42.65,7.8,18,,4.04686,0.578157458648614
bliss12 prefire ,live,pila,1.68103343856258,3,83.8166666666667,98.6,76.25,6.03333333333333,27.6333333333333,,12.14058,6.80290698118135
bliss13 prefire ,dead,abco,0.125036173011037,1,39.9,39.9,39.9,,15,,4.04686,0.506003887111446
bliss13 prefire ,dead,pila,0.182466842913149,1,48.2,48.2,48.2,,14,,4.04686,0.738417767911505
bliss13 prefire ,live,abco,1.16621338548581,8,41.1625,63,21.2,4.4,13.5,,32.37488,4.71950230118709
bliss13 prefire ,live,cade,0.0642424281732577,1,28.6,28.6,28.6,2,9.5,,4.04686,0.25998011287723
bliss13 prefire ,live,pila,0.53552373771255,2,57.4,68.1,46.7,6.75,18.25,,8.09372,2.16718959319941
bliss13 prefire ,stump,pila,,1,,,,,,,4.04686,
bliss14 prefire ,dead,abco,0.129461891661782,1,40.6,40.6,40.6,,7.5,,4.04686,0.523914150890398
bliss14 prefire ,dead,pila,0.0518747632942381,1,25.7,25.7,25.7,,11,,4.04686,0.20992990458492
bliss14 prefire ,live,abco,0.985032239366139,5,48.56,57.6,24.5,7.3,18.8,,20.2343,3.98628756820125
bliss14 prefire ,live,pije,0.15067392525882,1,43.8,43.8,43.8,8,21,,4.04686,0.609756281172909
bliss14 prefire ,live,pila,0.37917216913053,3,39.9,43.6,34.1,8.66666666666667,16.6666666666667,,12.14058,1.53445668436758
bliss14 prefire ,stump,abco,,4,,,,,,,16.18744,
bliss15 prefire ,dead,abco,0.369843995143858,2,48.5,50,47,,19.55,,8.09372,1.49670687018787
bliss15 prefire ,live,abco,0.704493513187714,7,33.1857142857143,54.5,19,4.32857142857143,15.7142857142857,,28.32802,2.85098661877883
bliss15 prefire ,live,pije,0.712188058994518,2,64.8,83.1,46.5,10.4,24.95,,8.09372,2.88212536842256
bliss15 prefire ,live,pila,0.499617689876509,5,34.38,44.8,17.8,3.11,12.34,,20.2343,2.02188284445365
bliss15 prefire ,stump,abco,,3,,,,,,,12.14058,
bliss15 prefire ,stump,pije,,4,,,,,,,16.18744,
bliss15 prefire ,stump,pila,,4,,,,,,,16.18744,
bliss2 prefire ,dead,abco,0.161918470764181,2,31.55,37.5,25.6,,3.8,,8.09372,0.655261382596735
bliss2 prefire ,dead,cade,0.729110444172621,1,96.35,96.35,96.35,,16.3,,4.04686,2.95060789210441
bliss2 prefire ,live,abco,0.615525180034378,4,43.875,48.3,33.8,8,16.8,,16.18744,2.49094423007392
bliss2 prefire ,live,abco ,0.081433223173701,1,32.2,32.2,32.2,6.5,14,,4.04686,0.329548853532724
bliss2 prefire ,live,cade,0.180327614665595,3,22.75,44.45,7.6,3.23333333333333,7.33333333333333,,12.14058,0.72976061068561
bliss2 prefire ,live,pila,0.253828905437604,2,38.65,49.7,27.6,6.5,13,,8.09372,1.02721004425922
bliss2 prefire ,stump,abco,,20,,,,,,,80.9372,
bliss2 prefire ,stump,abco ,,1,,,,,,,4.04686,
