site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
caples,8,prefire,NA,litter_depth_cm,2.91666666666667
caples,8,prefire,NA,duff_depth_cm,2.08333333333333
caples,8,prefire,NA,fuel_depth_cm,3.74166666666667
caples,82,postfire,1yr,mass_1hr,0.0254321934146342
caples,82,postfire,1yr,mass_10hr,1.66885235121951
caples,82,postfire,1yr,mass_100hr,1.38349207317073
caples,82,postfire,1yr,total_fine,3.07777661780488
caples,82,postfire,1yr,total_cwd,5.57362669976257
caples,82,postfire,1yr,total_fuel,8.65140331756745
caples,82,postfire,1yr,litter_depth_cm,2.66666666666667
caples,82,postfire,1yr,duff_depth_cm,0.5
caples,82,postfire,1yr,fuel_depth_cm,9.06666666666666
caples,82,postfire,NA,mass_1hr,0.0254321934146342
caples,82,postfire,NA,mass_10hr,1.66885235121951
caples,82,postfire,NA,mass_100hr,1.38349207317073
caples,82,postfire,NA,total_fine,3.07777661780488
caples,82,postfire,NA,total_cwd,0
caples,82,postfire,NA,total_fuel,3.07777661780488
caples,82,postfire,NA,litter_depth_cm,3
caples,82,postfire,NA,duff_depth_cm,0.75
caples,82,postfire,NA,fuel_depth_cm,9.06666666666666
caples,82,prefire,NA,mass_1hr,0.0544975573170732
caples,82,prefire,NA,mass_10hr,0.903961690243902
caples,82,prefire,NA,mass_100hr,1.10679365853659
caples,82,prefire,NA,total_fine,2.06525290609756
caples,82,prefire,NA,total_cwd,5.32564898958558
caples,82,prefire,NA,total_fuel,7.39090189568314
caples,82,prefire,NA,litter_depth_cm,1.875
caples,82,prefire,NA,duff_depth_cm,2.125
caples,82,prefire,NA,fuel_depth_cm,2.4125
caples,83,prefire,NA,mass_1hr,0.178025353902439
caples,83,prefire,NA,mass_10hr,0.76489066097561
caples,83,prefire,NA,mass_100hr,0.276698414634146
caples,83,prefire,NA,total_fine,1.2196144295122
caples,83,prefire,NA,total_cwd,6.42670799158213
caples,83,prefire,NA,total_fuel,7.64632242109432
caples,83,prefire,NA,litter_depth_cm,1.75
caples,83,prefire,NA,duff_depth_cm,1.625
caples,83,prefire,NA,fuel_depth_cm,0.975
caples,84,prefire,NA,mass_1hr,0.127160967073171
caples,84,prefire,NA,mass_10hr,0.973497204878049
caples,84,prefire,NA,mass_100hr,2.21358731707317
caples,84,prefire,NA,total_fine,3.31424548902439
caples,84,prefire,NA,total_cwd,4.90312427557738
caples,84,prefire,NA,total_fuel,8.21736976460177
caples,84,prefire,NA,litter_depth_cm,2.125
caples,84,prefire,NA,duff_depth_cm,4.125
