Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
FB,CHAANGCIR,Chamerion,angustifolium,,ssp circumvagum,,,,,,,,,,x,,,,,,,,,
FB,CHEGRA,Chelianthes,gracillima,D.C. Eaton,,,,,,,,,,,,,,,,,,,,
FB,CHEATR,Chenopodium,atrovirens,,,,,,,,,,,,x,,,,,,,,,
FB,CHIMEN,Chimaphila,menziesii,,,,,,,,,,,,,,,,,,,,,
FB,CHIUMBOCC,Chimaphila,umbellata,,ssp occidentalis,,,,x,,,,,,,,,,,,,,,
FB,CHIUMB,Chimaphila,umbellata,,,,,,,x,,,x,,,,,,,,x,,,
FB,CHLPOM,Chlorogalum,pomeridianum,,,,,,,,,,,,,,x,x,,,,,,
SH,CHRSEM,Chrysolepis,sempervirens,,,,,,,,,,x,,x,x,,,,,x,,x,
FB,CIRALP,Circaea,alpina,,,,,,,,,,,,,,,,,,,,,
FB,CIRALPPAC,Circaea,alpina,,ssp pacifica,,,,,,,,,,x,,,,,,,,,
FB,CIRAND,Cirsium,andersonii,,,,,,,,,,,,,,,x,,,,,,
FB,CIROCC,Cirsium,occidentalis,,,,,,,,,,,,,,,,,,,x,,
FB,CIRVUL,Cirsium,vulgare,,,,CIRVUL,,x,x,,,,x,,,,,,,,x,,bullthistle
FB,CIRSIUM,Cirsium,,,,,,,,,,,,,,,,,,,,,,
FB,CISUMB,Cistanthe,umbellata,,,,,,,,,,,,,,,,,,,,,
FB,CLARHO,Clarkia,rhombifolia,,,,CLARHO,,,,,x,,,,,,x,,,,x,,
FB,CLAUNG,Clarkia,unguiculata,,,,,,,,,,,,,,,x,,,,,,
FB,CLAUNG,Clarkia,unguiculata,,,,,,,,,,,,,,,,,,,,,
FB,CLARKIA,Clarkia,,,,,,,,,,,,,,,,,,,,,,
FB,CLALAN,Claytonia,lanceolata,,,,,,,,,,,,,,,,,,x,,,
FB,CLAPAR,Claytonia,parviflora,,,,,,,,,x,,,,,,,,,,,,
FB,CLAPARPAR,Claytonia,parviflora,,subsp. parviflora,,,,,,,,,,,,,,,,,,,
FB,CLPE,Claytonia,perferiolata,,,,,,,,,,,,,,,,,,,x,,
FB,CLIDOU,Clinopodium,douglassi,,,,,,,,,,,x,,,,,,,,,,
FB,CLIAND,Clintonia,andrewsiana,,,,,,,,,,,x,,,,,,,,,,
FB,CLINTONIA,Clintonia,,,,,,,,,,,,,,,,,,,,,,
FB,COLPAR,Collinsia,parviflora,,,,,,,x,,,,,x,x,,,,,,,,
FB,COLTOR,Collinsia,torreyi,,,,,,,,,,x,,,,,,,x,x,,,
FB,COLLINSIA,Collinsia,,,,,,,,,,,,,,,,,,,,,,
FB,COLGRA,Collomia,grandiflora,,,,COLGRA,,,,x,x,,,x,x,,,,,,x,,
FB,COLHET,Collomia,heterophylla,,,,,,,,,x,,,,,,,,,,x,,
FB,COLLIN,Collomia,linearis,,,,,,,,,,,,x,,,,,,,,,
FB,COLTIN,Collomia,tinctora,,,,,,,,,,,,,,,,,,x,,,
FB,COLLOMIA,Collomia,,,,,,,,,,,,,,,,,,,,,,
FB,COMUMB,Comandra,umbellata,,,,,,,,,,,,,x,,x,,,,,,
FB,CONARV,Convolvulus,arvensis,,,,,,,,,,,,,,,,,,,x,,orchard morning glory narrow leaves
FB,CONCAN,Conyza ,canadensis,,,,,,x,,,,,,,,,,,,,,,
FB,CORMAC,Corallorhiza,maculata,,,,,,,,,,,,x,,,,,,,,,
FB,CORSTR,Corallorhiza,striata,,,,,,,,,,,,,,,,,,,,,
FB,CORTEN,Cordylanthus,tenuis,,,,,,,,,,,,,,,,,,,,,
FB,CORDY,Cordylanthus,,,,,,,,,,,,,,,,,,,,,,
TR,CONU,Cornus,nuttalii,,,,CORNUT,,x,x,,x,,,,x,,,,,x,x,,
TR,CORSER,Cornus,sericea,,,,,,,,,,,,,,,,,,,,,
TR,CORSERSER,Cornus,sericea,,ssp sericea,,,,,,,,,,x,,,,,,,,,
SH,CORCOR,Corylus,cornuta,,,,CORCOR,,,,,x,,x,,,x,,,,,x,,var californica
SH,CORCORCAL,Corylus,cornuta,,ssp californica,,,,x,x,,,,,,,,,,,,,,
SH,COTPAN,Cotoneaster,pannosus,,,,,,,,,,,x,,,x,,,,,,,
FB,CRYPTANTHA,CRYPTANTHA,,,,,,,,,,,,,,,,,,,x,,,called plagio before
FB,CRYPTANTHASMALL,CRYPTANTHA,,,,,,,,,,,,,,,,,,,,,,
FB,CRYPTANTHATALL,CRYPTANTHA,,,,,,,,,,,,,,,,,,,,,,
FERN,CRYACR,Cryptogramma,acrostichoides,,,,,,,,,,,,,,,,,,,,,
